hours,max_ff,time,inlet_T,outlet_T,block_T,Sn_T,bottom_right_T,mass_flow,SOC,power,TPV_height,TPV_density
56.23413251903491,3.1622776601683795,52635.14803781667,2172.9999999999995,2672.9995542401725,2540.0105366744197,2533.1320449045397,2672.9996846651197,0.021763471638552464,0.7400012388921273,2611.614268318771,1.0000024811319785,386357.95365199406
56.23413251903491,3.1622776601683795,54659.57680850194,2172.9999999999995,2672.999273919043,2534.915163672917,2528.036748959086,2672.9994813429103,0.02176348183316721,0.7300012880869503,2611.614027488135,1.000002653029172,386357.8516102372
56.23413251903491,3.1622776601683795,56684.005579187186,2172.9999999999995,2672.9988385210722,2529.819833728181,2522.9414851361207,2672.9991626199635,0.02176349805777256,0.7200013383693497,2611.6137002500564,1.0000029379507311,386357.6931178338
56.23413251903491,3.1622776601683795,58708.43434987245,2172.9999999999995,2672.998127282646,2524.7245444650343,2517.8462509758874,2672.9986367265133,0.021763532831789324,0.7100013884015992,2611.6141581477714,1.0000037833974742,386357.43421476893
56.23413251903491,3.1622776601683795,60732.8631205577,2172.9999999999995,2672.997099327993,2519.6292787008692,2512.7510296308637,2672.997870250521,0.02176356810660383,0.7000014397326771,2611.6130218389953,1.0000043168172308,386357.0600216124
56.23413251903491,3.1622776601683795,62757.29189124296,2172.9999999999995,2672.995583463097,2514.5340376610793,2507.6558244364387,2672.996730321401,0.021763622085832587,0.6900014959967136,2611.611581538292,1.0000051935380403,386356.508220939
56.23413251903491,3.1622776601683795,64781.720661928215,2172.9999999999995,2672.9933727034554,2509.4388185835264,2502.560637759049,2672.995054065725,0.02176370639845177,0.6800015577560091,2611.6101515255236,1.000006728920314,386355.7034671395
56.23413251903491,3.1622776601683795,66806.14943261347,2172.9999999999995,2672.9899972275853,2504.343614727379,2497.4654504681434,2672.992471347708,0.021763872267979587,0.6700016179016658,2611.6124243828745,1.0000107795557487,386354.47473792406
56.23413251903491,3.1622776601683795,68830.57820329872,2172.9999999999995,2672.985377628549,2499.248428130179,2492.3702920232345,2672.9889102603383,0.021764038098715858,0.6600016817954142,2611.6081938020607,1.0000135121882805,386352.79312906414
56.23413251903491,3.1622776601683795,70855.00697398398,2172.9999999999995,2672.978928905888,2494.153262060727,2487.275158491641,2672.983901026464,0.021764275454200427,0.6500017637491343,2611.602991200924,1.0000175960490316,386350.44569312874
56.23413251903491,3.1622776601683795,72879.43574466924,2172.9999999999995,2672.97000532292,2489.058114941669,2482.180037171901,2672.976917540928,0.021764625504473112,0.640001864485714,2611.5983830374694,1.0000242394213446,386347.19737613795
56.23413251903491,3.1622776601683795,74903.86451535451,2172.9999999999995,2672.9577950441626,2483.9629869140776,2477.0849407054457,2672.9672923369794,0.021765115017456156,0.6300019837013461,2611.5933391223953,1.0000338128575086,386342.7526657775
56.23413251903491,3.1622776601683795,76928.29328603977,2172.9999999999995,2672.940408352215,2478.867848845819,2471.9897962223113,2672.9534759435487,0.0217659659724578,0.6200020909763168,2611.604619948235,1.0000545151662528,386336.4236949648
56.23413251903491,3.1622776601683795,78952.72205672503,2172.9999999999995,2672.9178979372664,2473.772742233649,2466.894731082691,2672.9354716335315,0.021766808909428816,0.6100022081569315,2611.588165152918,1.0000694252076785,386328.2296701443
56.23413251903491,3.1622776601683795,80977.15082741027,2172.9999999999995,2672.888207203044,2468.6776801747674,2461.799746046305,2672.9115638144194,0.02176793850573104,0.6000023943346804,2611.568580992643,1.0000899035831465,386317.42201134516
56.23413251903491,3.1622776601683795,83001.57959809553,2172.9999999999995,2672.8493025799576,2463.582657829602,2456.7047954059976,2672.880030607758,0.021769506295487743,0.5900026470527864,2611.553409434293,1.0001207556811997,386303.2605572811
56.23413251903491,3.1622776601683795,85026.00836878078,2172.9999999999995,2672.796468141643,2458.487586898948,2451.6096585632863,2672.836892598832,0.0217720906330875,0.5800028638170565,2611.587360594453,1.0001835507765557,386284.02882889676
56.23413251903491,3.1622776601683795,87050.43713946604,2172.9999999999995,2672.730546581373,2453.392584048789,2446.514734269423,2672.782756622865,0.02177463124785879,0.5700030916843862,2611.547610024078,1.000230459092579,386260.0337763623
56.23413251903491,3.1622776601683795,89074.86591015129,2172.9999999999995,2672.6468608774207,2448.2976800195675,2441.4199947216102,2672.713614962359,0.02177788508829423,0.5600034859222869,2611.500461019699,1.0002912838837223,386229.5732990429
56.23413251903491,3.1622776601683795,91099.29468083657,2172.9999999999995,2672.541187545821,2443.202858116425,2436.325313826047,2672.6257889115923,0.021782216602515968,0.5500040336397307,2611.467443760271,1.0003782599098536,386191.1106028722
56.23413251903491,3.1622776601683795,93123.72345152182,2172.9999999999995,2672.4087972974844,2438.108109231616,2431.2306799438893,2672.515122457733,0.02178775270575324,0.5400046992360237,2611.4388899028595,1.0004921542889136,386142.92509927705
56.23413251903491,3.1622776601683795,95148.15222220706,2172.9999999999995,2672.244244490303,2433.0134403397033,2426.136134637402,2672.3767989182465,0.02179465549959237,0.5300054833929755,2611.405516516904,1.0006345626277289,386083.0359136924
56.23413251903491,3.1622776601683795,97172.58099289233,2172.9999999999995,2672.0335807905303,2427.918574276161,2421.0410142304363,2672.1986065269425,0.021804848853445045,0.5200061037773809,2611.5244324634355,1.000878880837243,386006.3684539464
56.23413251903491,3.1622776601683795,99197.00976357756,2172.9999999999995,2671.782410908381,2422.8238977760025,2415.9465317127233,2671.985103435549,0.02181485759589424,0.5100067191320562,2611.4081436727542,1.001071358761652,385914.9650585295
56.23413251903491,3.1622776601683795,101221.43853426284,2172.9999999999995,2671.478369773863,2417.729498076252,2410.852588790007,2671.7253279460683,0.02182703298918763,0.5000078160166659,2611.2729171481415,1.0013065790637563,385804.32933713286
56.23413251903491,3.1622776601683795,103245.86730494807,2172.9999999999995,2671.1117228788376,2412.6353060842457,2405.758762690274,2671.410503191089,0.021842411929081956,0.49000932911422523,2611.1907450778313,1.0016214152429497,385670.92404936673
56.23413251903491,3.1622776601683795,105270.29607563336,2172.9999999999995,2670.6723382736027,2407.541273372364,2400.664966407252,2671.031401079324,0.021861198401047114,0.4800111133511495,2611.1312941709452,1.0020139293648949,385511.0696088214
56.23413251903491,3.1622776601683795,107294.7248463186,2172.9999999999995,2670.149134423133,2402.4474022255263,2395.571314237553,2670.577867720417,0.021883650559543784,0.47001313812968115,2611.0651040869234,1.0024834524508996,385320.743849376
56.23413251903491,3.1622776601683795,109319.15361700387,2172.9999999999995,2669.529981389205,2397.3537155009244,2390.4778873360738,2670.0387265460763,0.0219102736355494,0.4600154413393461,2610.985862518019,1.0030392451649388,385095.54691856314
56.23413251903491,3.1622776601683795,111343.58238768912,2172.9999999999995,2668.8016596796765,2392.2602369139863,2385.384715583968,2669.401742028053,0.021941709286496795,0.4500180671310226,2610.896611308982,1.003695276209416,384830.6873031308
