% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 21:31"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,57600,2173,2491.1495888046306,2181.102236656725,2172.9999999999986,2491.1799810056273,2173.000000000002,2491.206394663374,2181.497449824298,2182.6698669053494,2494.795323745164
20,58320,2173,2486.1809107354725,2180.804987093858,2172.9999999999986,2486.211357030819,2173.000000000002,2486.237819798325,2181.1941672721578,2182.326604217714,2489.8657708610363
20,59040,2173,2481.207734063299,2180.510845105054,2172.9999999999986,2481.238205299922,2173.000000000002,2481.264673639659,2180.905381387824,2181.996869331646,2484.9112857051846
20,59760,2173,2476.2335377657405,2180.2294614118296,2172.9999999999986,2476.264016318288,2173.000000000002,2476.290454382976,2180.636633512269,2181.685626968486,2479.93287612973
20,60480,2173,2471.263028312454,2179.9654390385685,2172.9999999999986,2471.293516206371,2173.000000000002,2471.3199145868084,2180.3894594202957,2181.397015336922,2474.9361084357274
20,61200,2173,2466.3041595308036,2179.726589543632,2172.9999999999986,2466.3346239801413,2173.000000000002,2466.3609721653434,2180.162107113328,2181.13451714245,2469.934738083165
20,61920,2173,2461.3690664555565,2179.5149930507155,2172.9999999999986,2461.3993676167725,2173.000000000002,2461.425587711601,2179.9476325668256,2180.8965816919804,2464.953833072863
20,62640,2173,2456.4684964841817,2179.327086445408,2172.9999999999986,2456.498474859522,2173.000000000002,2456.5244316377807,2179.740304359622,2180.678175334836,2460.015150315986
20,63360,2173,2451.616764233142,2179.1588258365778,2172.9999999999986,2451.6464043856686,2173.000000000002,2451.672027018109,2179.536523187217,2180.466492493647,2455.1496633659285
20,64080,2173,2446.8211945130915,2179.00398332545,2172.9999999999986,2446.8505365072074,2173.000000000002,2446.8758460193662,2179.3376035309975,2180.2534792397155,2450.374424092974
20,64800,2173,2442.0861410376615,2178.854185166744,2172.9999999999986,2442.1151074662357,2173.000000000002,2442.1401690254193,2179.14623069894,2180.03303999715,2445.701004504025
20,65520,2173,2437.409039582311,2178.7060556413103,2172.9999999999986,2437.437517801027,2173.000000000002,2437.462306755969,2178.96543565005,2179.8050949533135,2441.125415189799
20,66240,2173,2432.7793690507297,2178.5579454992962,2172.9999999999986,2432.807412749733,2173.000000000002,2432.831856940777,2178.795759933944,2179.5758713993714,2436.6196350233213
20,66960,2173,2428.186759961966,2178.408931888511,2172.9999999999986,2428.214621569957,2173.000000000002,2428.2388223992753,2178.6336996274986,2179.3515053882666,2432.1540958861515
20,67680,2173,2423.6144497817872,2178.258192152693,2172.9999999999986,2423.642365659831,2173.000000000002,2423.6666234312156,2178.47435529447,2179.1417884359416,2427.6769677998345
20,68400,2173,2419.0542975352564,2178.1036335951635,2172.9999999999986,2419.082269391511,2173.000000000002,2419.1066760875583,2178.3125811487266,2178.950644933393,2423.156544224656
20,69120,2173,2414.4988259540255,2177.932136515589,2172.9999999999986,2414.526627173493,2173.000000000002,2414.550909222724,2178.142839228331,2178.7794143450997,2418.5667997684695
20,69840,2173,2409.9465323151007,2177.738052200998,2172.9999999999986,2409.9741730390465,2173.000000000002,2409.99822882426,2177.965061935885,2178.624460726665,2413.9040560057547
20,70560,2173,2405.4041048783497,2177.5198153703636,2172.9999999999986,2405.4319113875126,2173.000000000002,2405.4559893276873,2177.7815245897036,2178.4715687424546,2409.1928883049227
20,71280,2173,2400.8879808534875,2177.2908588227538,2172.9999999999986,2400.9157581817954,2173.000000000002,2400.9397929132033,2177.600235420591,2178.3073719220974,2404.488359731714
20,72000,2173,2396.4105783272666,2177.0693915471347,2172.9999999999986,2396.438018341261,2173.000000000002,2396.4617925157204,2177.426175311384,2178.1273870833243,2399.8296590181994
