% Model,LargeGraphiteBlockCharge_v3_rad_spacing.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 27 2022, 14:38"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.01,2880,2673,2173.808666735988,2255.3816539007353,2294.074909184829,2173.141853967923,0.24229738871773068,5.233893360880596E8,2290.21797844466
5,0.01,2970,2673,2173.9064231498255,2257.9548572649283,2296.6009325048294,2173.163276234732,0.24229738871773054,5.233893360880596E8,2292.7449883461186
5,0.01,3060,2673,2174.01299240707,2260.527085158613,2299.1253556300057,2173.1872852805354,0.24229738871773068,5.233893360880596E8,2295.270398495879
5,0.01,3150,2673,2174.1286676536765,2263.0982743490717,2301.648493174154,2173.2141238004597,0.24229738871773077,5.233893360880596E8,2297.794612426239
5,0.01,3240,2673,2174.25372498081,2265.668403260256,2304.170766277501,2173.244040060782,0.2422973887177305,5.233893360880596E8,2300.318090070821
5,0.01,3330,2673,2174.3884393522435,2268.237483858405,2306.692670234137,2173.277286040855,0.24229738871773046,5.233893360880596E8,2302.8412938381557
5,0.01,3420,2673,2174.5330997490805,2270.805552695615,2309.2146924583326,2173.3141159513643,0.24229738871773068,5.233893360880596E8,2305.3646320122216
5,0.01,3510,2673,2174.6880256090967,2273.37266293877,2311.7371709741865,2173.3547853042915,0.2422973887177305,5.233893360880596E8,2307.888424415931
5,0.01,3600,2673,2174.853577207007,2275.9388713637636,2314.2602039345047,2173.3995506494553,0.24229738871773107,5.233893360880596E8,2310.4128667233717
5,0.01,3690,2673,2175.0301643656976,2278.5042262582397,2316.783796711594,2173.448669984109,0.24229738871773102,5.233893360880596E8,2312.9380292448536
5,0.01,3780,2673,2175.2182461972966,2281.068762224736,2319.3079195917267,2173.502403816667,0.24229738871773093,5.233893360880596E8,2315.463867758782
5,0.01,3870,2673,2175.418334886377,2283.632496413367,2321.8325173495305,2173.5610167813697,0.24229738871773054,5.233893360880596E8,2317.990227463243
5,0.01,3960,2673,2175.630985493926,2286.1954264136098,2324.357397907195,2173.6247796082334,0.24229738871773068,5.233893360880596E8,2320.5168664906646
5,0.01,4050,2673,2175.856783992693,2288.757525976022,2326.8821596109246,2173.6939712028816,0.2422973887177308,5.233893360880596E8,2323.0434657339947
5,0.01,4140,2673,2176.096327485239,2291.318740085122,2329.406343138921,2173.768880599492,0.24229738871773046,5.233893360880596E8,2325.5696624444727
5,0.01,4230,2673,2176.3502173942325,2293.8789884081402,2331.9295701836036,2173.849808524717,0.24229738871773068,5.233893360880596E8,2328.0950845863254
5,0.01,4320,2673,2176.619034084982,2296.4381712415934,2334.4515783133256,2173.937068400065,0.24229738871773093,5.233893360880596E8,2330.6193709549025
5,0.01,4410,2673,2176.9033256172042,2298.996178166581,2336.9721244571924,2174.030986660801,0.24229738871773068,5.233893360880596E8,2333.1421881039987
5,0.01,4500,2673,2177.203596396756,2301.5528911873557,2339.4908138107266,2174.131902320181,0.2422973887177305,5.233893360880596E8,2335.6632301754034
5,0.01,4590,2673,2177.5203082106714,2304.1081832337286,2342.0072659497123,2174.240165829781,0.24229738871773077,5.233893360880596E8,2338.18222574675
5,0.01,4680,2673,2177.853867658795,2306.661923922907,2344.52122293129,2174.3561373617713,0.2422973887177307,5.233893360880596E8,2340.6989582122305
5,0.01,4770,2673,2178.204637400578,2309.2139856921513,2347.0326120002705,2174.4801845815873,0.2422973887177307,5.233893360880596E8,2343.213254004231
5,0.01,4860,2673,2178.5729330348477,2311.764250411339,2349.5414089552123,2174.612680128841,0.2422973887177307,5.233893360880596E8,2345.724981766213
5,0.01,4950,2673,2178.9590460108025,2314.3126109063373,2352.047453999618,2174.7539991237604,0.2422973887177308,5.233893360880596E8,2348.234028759432
5,0.01,5040,2673,2179.363253664215,2316.8589644193207,2354.550539961965,2174.9045168509606,0.2422973887177308,5.233893360880596E8,2350.7402908785084
5,0.01,5130,2673,2179.7858360921523,2319.403212086142,2357.050520149612,2175.064606818416,0.2422973887177305,5.233893360880596E8,2353.2436818760257
5,0.01,5220,2673,2180.2270780064896,2321.9452595395173,2359.5473665209574,2175.234639436053,0.2422973887177304,5.233893360880596E8,2355.7441167722714
5,0.01,5310,2673,2180.7049376477503,2324.485130744067,2362.0457348531504,2175.4171440736563,0.24229738871773054,5.233893360880596E8,2358.246254260025
5,0.01,5400,2673,2181.19576348312,2327.022852618706,2364.535733980666,2175.6089382132836,0.24229738871773054,5.233893360880596E8,2360.7400122232775
5,0.01,5490,2673,2181.704130569445,2329.5577276404865,2367.0215019714924,2175.8117590108227,0.2422973887177305,5.233893360880596E8,2363.229756301724
5,0.01,5580,2673,2182.227974833295,2332.089774255436,2369.5021938365294,2176.0262551100877,0.24229738871773068,5.233893360880596E8,2365.7146350027742
5,0.01,5670,2673,2182.769679206512,2334.6189151558738,2371.978683599595,2176.2527994004204,0.24229738871773046,5.233893360880596E8,2368.195453439239
5,0.01,5760,2673,2183.330003187087,2337.14512564473,2374.451469797179,2176.4916713952475,0.24229738871773068,5.233893360880596E8,2370.6726241625
5,0.01,5850,2673,2183.910449680385,2339.6684062333175,2376.92064850699,2176.74311320734,0.24229738871773046,5.233893360880596E8,2373.1462971052715
5,0.01,5940,2673,2184.5121743908653,2342.1887309736976,2379.386256572869,2177.007369103068,0.24229738871773043,5.233893360880596E8,2375.616600837913
5,0.01,6030,2673,2185.1362278499532,2344.7060643638824,2381.8481531250877,2177.28471085228,0.24229738871773046,5.233893360880596E8,2378.0834349770635
5,0.01,6120,2673,2185.7834244182845,2347.220341566927,2384.3062125547226,2177.575451364202,0.24229738871773068,5.233893360880596E8,2380.5466341875617
