% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:27"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
4,2448,2672.999999999995,2196.0454377615174,2256.4558737700772,2672.9999999999895,2196.03581067541,2673.0000000000005,2196.026156314227
4,2592,2672.999999999995,2197.852425555513,2261.23369035751,2672.9999999999895,2197.8424429108554,2673.0000000000005,2197.8324517281185
4,2736,2672.999999999995,2199.7209907639717,2265.992379981385,2672.9999999999895,2199.710640397914,2673.0000000000005,2199.700297397217
4,2880,2672.999999999995,2201.6537918573104,2270.736540532931,2672.9999999999895,2201.6430964370543,2673.0000000000005,2201.6323993409455
4,3024,2672.999999999995,2203.648363870764,2275.4611530718803,2672.9999999999895,2203.6373745641577,2673.0000000000005,2203.6263650758033
4,3168,2672.999999999995,2205.706156583758,2280.168251359899,2672.9999999999895,2205.694896681993,2673.0000000000005,2205.68358584046
4,3312,2672.999999999995,2207.828429354964,2284.8608035337775,2672.9999999999895,2207.8168107202955,2673.0000000000005,2207.8051454514316
4,3456,2672.999999999995,2210.0105836051166,2289.5307142727124,2672.9999999999895,2209.9985646281384,2673.0000000000005,2209.986531041036
4,3600,2672.999999999995,2212.2526075119404,2294.178604692945,2672.9999999999895,2212.2402483804735,2673.0000000000005,2212.2278801901994
4,3744,2672.999999999995,2214.5553832188216,2298.8076768433575,2672.9999999999895,2214.542713978081,2673.0000000000005,2214.5300176640476
4,3888,2672.999999999995,2216.913311768178,2303.4085651228775,2672.9999999999895,2216.900382746234,2673.0000000000005,2216.887402778703
4,4032,2672.999999999995,2219.326515528307,2307.9828219055007,2672.9999999999895,2219.3133130807278,2673.0000000000005,2219.300057319225
4,4176,2672.999999999995,2221.795372228267,2312.5359640015636,2672.9999999999895,2221.7818464704133,2673.0000000000005,2221.768284445924
