% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 15:53"
% Table,Accumulated Probe Table 26 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
1,1,6228,2673,2571.5,2546.1,2626.8,2460.5,1.2238
1,1,6264,2673,2572.2,2547.1,2627.2,2461.8,1.2238
1,1,6300,2673,2573,2548.1,2627.6,2463.1,1.2238
1,1,6336,2673,2573.8,2549.2,2628,2464.5,1.2238
1,1,6372,2673,2574.6,2550.2,2628.4,2465.8,1.2238
1,1,6408,2673,2575.3,2551.2,2628.8,2467.1,1.2238
1,1,6444,2673,2576.1,2552.2,2629.2,2468.4,1.2238
1,1,6480,2673,2576.9,2553.2,2629.6,2469.7,1.2238
1,1,6516,2673,2577.6,2554.2,2630,2471,1.2238
1,1,6552,2673,2578.4,2555.2,2630.4,2472.3,1.2238
1,1,6588,2673,2579.1,2556.1,2630.8,2473.6,1.2238
1,1,6624,2673,2579.8,2557.1,2631.2,2474.9,1.2238
1,1,6660,2673,2580.6,2558,2631.5,2476.1,1.2238
1,1,6696,2673,2581.3,2559,2631.9,2477.4,1.2238
1,1,6732,2673,2582,2559.9,2632.3,2478.7,1.2238
1,1,6768,2673,2582.7,2560.9,2632.7,2479.9,1.2238
1,1,6804,2673,2583.4,2561.8,2633,2481.2,1.2238
1,1,6840,2673,2584.1,2562.7,2633.4,2482.4,1.2238
1,1,6876,2673,2584.8,2563.6,2633.7,2483.6,1.2238
1,1,6912,2673,2585.5,2564.5,2634.1,2484.9,1.2238
1,1,6948,2673,2586.2,2565.4,2634.4,2486.1,1.2238
1,1,6984,2673,2586.9,2566.3,2634.8,2487.3,1.2238
1,1,7020,2673,2587.6,2567.2,2635.1,2488.5,1.2238
1,1,7056,2673,2588.2,2568.1,2635.5,2489.7,1.2238
1,1,7092,2673,2588.9,2568.9,2635.8,2490.9,1.2238
1,1,7128,2673,2589.6,2569.8,2636.2,2492.1,1.2238
1,1,7164,2673,2590.2,2570.7,2636.5,2493.3,1.2238
1,1,7200,2673,2590.9,2571.5,2636.8,2494.5,1.2238
1,1,7236,2673,2591.5,2572.3,2637.1,2495.6,1.2238
1,1,7272,2673,2592.2,2573.2,2637.5,2496.8,1.2238
1,1,7308,2673,2592.8,2574,2637.8,2497.9,1.2238
1,1,7344,2673,2593.4,2574.8,2638.1,2499.1,1.2238
1,1,7380,2673,2594.1,2575.6,2638.4,2500.2,1.2238
1,1,7416,2673,2594.7,2576.5,2638.7,2501.4,1.2238
1,1,7452,2673,2595.3,2577.3,2639,2502.5,1.2238
1,1,7488,2673,2595.9,2578.1,2639.4,2503.6,1.2238
1,1,7524,2673,2596.5,2578.8,2639.7,2504.8,1.2238
1,1,7560,2673,2597.1,2579.6,2640,2505.9,1.2238
1,1,7596,2673,2597.7,2580.4,2640.3,2507,1.2238
1,1,7632,2673,2598.3,2581.2,2640.6,2508.1,1.2238
1,1,7668,2673,2598.9,2581.9,2640.9,2509.2,1.2238
1,1,7704,2673,2599.5,2582.7,2641.1,2510.3,1.2238
1,1,7740,2673,2600.1,2583.5,2641.4,2511.4,1.2238
1,1,7776,2673,2600.7,2584.2,2641.7,2512.4,1.2238
1,1,7812,2673,2601.3,2584.9,2642,2513.5,1.2238
1,1,7848,2673,2601.8,2585.7,2642.3,2514.6,1.2238
1,1,7884,2673,2602.4,2586.4,2642.6,2515.6,1.2238
1,1,7920,2673,2603,2587.1,2642.8,2516.7,1.2238
1,1,7956,2673,2603.5,2587.9,2643.1,2517.8,1.2238
1,1,7992,2673,2604.1,2588.6,2643.4,2518.8,1.2238
1,1,8028,2673,2604.6,2589.3,2643.7,2519.8,1.2238
1,1,8064,2673,2605.2,2590,2643.9,2520.9,1.2238
1,1,8100,2673,2605.7,2590.7,2644.2,2521.9,1.2238
1,1,8136,2673,2606.3,2591.4,2644.5,2522.9,1.2238
1,1,8172,2673,2606.8,2592,2644.7,2523.9,1.2238
1,1,8208,2673,2607.3,2592.7,2645,2524.9,1.2238
1,1,8244,2673,2607.9,2593.4,2645.2,2525.9,1.2238
1,1,8280,2673,2608.4,2594.1,2645.5,2526.9,1.2238
1,1,8316,2673,2608.9,2594.7,2645.7,2527.9,1.2238
1,1,8352,2673,2609.4,2595.4,2646,2528.9,1.2238
1,1,8388,2673,2609.9,2596,2646.2,2529.9,1.2238
1,1,8424,2673,2610.4,2596.7,2646.5,2530.9,1.2238
1,1,8460,2673,2610.9,2597.3,2646.7,2531.8,1.2238
1,1,8496,2673,2611.4,2598,2646.9,2532.8,1.2238
1,1,8532,2673,2611.9,2598.6,2647.2,2533.8,1.2238
1,1,8568,2673,2612.4,2599.2,2647.4,2534.7,1.2238
1,1,8604,2673,2612.9,2599.8,2647.7,2535.7,1.2238
1,1,8640,2673,2613.4,2600.4,2647.9,2536.6,1.2238
1,1,8676,2673,2613.9,2601.1,2648.1,2537.5,1.2238
1,1,8712,2673,2614.3,2601.7,2648.3,2538.5,1.2238
1,1,8748,2673,2614.8,2602.3,2648.6,2539.4,1.2238
1,1,8784,2673,2615.3,2602.9,2648.8,2540.3,1.2238
1,1,8820,2673,2615.8,2603.5,2649,2541.2,1.2238
1,1,8856,2673,2616.2,2604,2649.2,2542.1,1.2238
1,1,8892,2673,2616.7,2604.6,2649.4,2543,1.2238
1,1,8928,2673,2617.1,2605.2,2649.7,2543.9,1.2238
1,1,8964,2673,2617.6,2605.8,2649.9,2544.8,1.2238
1,1,9000,2673,2618,2606.3,2650.1,2545.7,1.2238
1,1,9036,2673,2618.5,2606.9,2650.3,2546.6,1.2238
1,1,9072,2673,2618.9,2607.5,2650.5,2547.5,1.2238
1,1,9108,2673,2619.4,2608,2650.7,2548.4,1.2238
1,1,9144,2673,2619.8,2608.6,2650.9,2549.2,1.2238
1,1,9180,2673,2620.2,2609.1,2651.1,2550.1,1.2238
1,1,9216,2673,2620.7,2609.7,2651.3,2550.9,1.2238
1,1,9252,2673,2621.1,2610.2,2651.5,2551.8,1.2238
1,1,9288,2673,2621.5,2610.7,2651.7,2552.6,1.2238
1,1,9324,2673,2621.9,2611.3,2651.9,2553.5,1.2238
1,1,9360,2673,2622.3,2611.8,2652.1,2554.3,1.2238
