% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_allhours.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 28 2023, 13:58"
% Table,Probe Table 1 - 
% Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate"
2276.472699190651,2672.9999999999995,2607.7464753179484,2430.6758562507,2639.693750151328,2374.9963518269806,4.895396221031698
2456.472699190651,2672.9999999999995,2611.2504168726264,2443.771915781223,2641.56902251629,2389.187272556468,4.895396221031695
2636.472699190651,2672.9999999999995,2614.5643343098745,2456.1627965708376,2643.337270222091,2402.7332714111653,4.895396221031695
2816.472699190651,2672.9999999999995,2617.7020278551627,2467.8878266970087,2645.0064474902324,2415.657991998563,4.895396221031698
2996.472699190651,2672.9999999999995,2620.6754117867586,2478.9903050403277,2646.5840726383954,2427.991580863797,4.895396221031706
3176.472699190651,2672.9999999999995,2623.4908653135226,2489.493886635923,2648.073079965077,2439.7540214665055,4.895396221031693
3356.472699190651,2672.9999999999995,2626.156149855656,2499.429530274744,2649.4777573010597,2450.9709993338224,4.895396221031689
3536.472699190651,2672.9999999999995,2628.6795243556485,2508.8352147591636,2650.8040563140044,2461.6728763495094,4.895396221031707
3716.472699190651,2672.9999999999995,2631.0668363712084,2517.736298592826,2652.056072114647,2471.878932846829,4.8953962210316995
3896.472699190651,2672.9999999999995,2633.3241049719936,2526.154130903204,2653.2368812921895,2481.6059481945213,4.895396221031691
4076.472699190651,2672.9999999999995,2635.461897503807,2534.115472243203,2654.350791303533,2490.8756973447594,4.895396221031695
4256.472699190651,2672.9999999999995,2637.489460580585,2541.6516654797892,2655.4032872704774,2499.7145789783654,4.895396221031695
4436.472699190651,2672.9999999999995,2639.4076863590813,2548.783070456256,2656.3966609297036,2508.139773588948,4.8953962210316915
4616.472699190651,2672.9999999999995,2641.21843773463,2555.5268125073794,2657.333251939361,2516.1657166106484,4.895396221031693
4796.472699190651,2672.9999999999995,2642.932536303414,2561.908571228209,2658.2174803489493,2523.814619998568,4.895396221031695
4976.472699190651,2672.9999999999995,2644.5598912514834,2567.946457760209,2659.052264008679,2531.102749852301,4.895396221031695
5156.472699190651,2672.9999999999995,2646.1007512389833,2573.658261021557,2659.84011676061,2538.0458211144855,4.895396221031693
