% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 18:43"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
195,1056.4120069879336,1037.6837628727294
196,1056.3471739633574,1037.6156235558778
197,1056.28234093878,1037.5474842390265
198,1056.2175079142044,1037.479344922175
199,1056.1526748896274,1037.4112056053234
200,1056.0878418650511,1037.3430662884728
201,1056.0230088404755,1037.2749269716214
202,1055.9581758158984,1037.2067876547699
203,1055.8933427913219,1037.138648337918
204,1055.8285097667456,1037.070509021067
205,1055.7636767421702,1037.0023697042154
206,1055.698843717593,1036.934230387364
207,1055.6340106930168,1036.8660910705128
208,1055.5691776684407,1036.797951753662
209,1055.5043446438638,1036.7298124368099
210,1055.4395116192877,1036.6616731199588
211,1055.3746785947108,1036.593533803107
212,1055.3098455701354,1036.5253944862557
213,1055.2450125455584,1036.4572551694052
214,1055.1801795209817,1036.3891158525535
215,1055.1153464964054,1036.3209765357017
216,1055.0505134718294,1036.2528372188506
217,1054.985680447253,1036.184697901999
218,1054.920847422677,1036.1165585851481
219,1054.8560143981006,1036.0484192682964
220,1054.7911813735238,1035.9802799514457
221,1054.7263483489469,1035.9121406345944
222,1054.661515324371,1035.8440013177426
223,1054.596682299794,1035.7758620008917
224,1054.5318492752178,1035.7077226840402
225,1054.467016250642,1035.639583367189
226,1054.4021832260657,1035.571444050337
227,1054.3373502014895,1035.503304733485
228,1054.272517176913,1035.435165416635
229,1054.207684152336,1035.3670260997837
230,1054.1428511277607,1035.2988867829322
231,1054.0780181031832,1035.2307474660806
232,1054.0131850786074,1035.1626081492288
233,1053.9483520540307,1035.0944688323782
234,1053.8835190294542,1035.0263295155262
235,1053.8186860048784,1034.9581901986753
236,1053.7538529803016,1034.8900508818242
237,1053.689019955725,1034.8219115649722
238,1053.6241869311493,1034.753772248121
239,1053.5593539065726,1034.6856329312698
240,1053.494520881996,1034.6174936144184
241,1053.4296878574198,1034.5493542975673
242,1053.3648548328435,1034.481214980715
243,1053.300021808267,1034.4130756638651
244,1053.2351887836905,1034.3449363470131
245,1053.1703557591147,1034.2767970301622
246,1053.1055227345378,1034.2086577133098
247,1053.0406897099622,1034.1405183964587
248,1052.9758566853852,1034.072379079608
249,1052.911023660808,1034.004239762756
250,1052.846190636232,1033.936100445905
251,1052.7813576116557,1033.8679611290531
252,1052.7165245870801,1033.799821812203
253,1052.6516915625025,1033.7316824953514
254,1052.5868585379264,1033.6635431784994
255,1052.5220255133506,1033.5954038616485
256,1052.4571924887746,1033.5272645447976
257,1052.392359464198,1033.4591252279458
258,1052.3275264396216,1033.3909859110945
259,1052.262693415045,1033.3228465942436
260,1052.1978603904681,1033.2547072773912
261,1052.1330273658928,1033.1865679605398
262,1052.068194341316,1033.118428643689
263,1052.003361316739,1033.050289326838
264,1051.9385282921633,1032.982150009987
265,1051.8736952675865,1032.9140106931345
266,1051.8088622430103,1032.8458713762843
267,1051.7440292184342,1032.7777320594325
