% Model,LargeGraphiteBlockCharge_v3_Tinbnd_charge_skeleton.mph
% Version,COMSOL 6.0.0.405
% Date,"Sep 26 2022, 17:21"
% Table,Accumulated Probe Table 24 - 
% hours (h),init_T_add,max_T_add,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate","State variable TimeInt (J), Domain Probe 7",Global Variable Probe 1
5,0,0,10800,2673,2313.2086761140695,2452.8177968261934,2509.8276017059943,2259.6011281448446,0.2447698110515854,2.846656801084057E8,5.2873004359916234E8
5,0,0,10980,2673,2317.082754214357,2456.5223260780044,2512.9243098374177,2262.8125015279015,0.24476981105158543,2.884293628664959E8,5.2873004359916234E8
5,0,0,11160,2673,2320.9722370550007,2460.1864028374257,2515.9779669670147,2266.065104764616,0.2447698110515854,2.921519159030281E8,5.2873004359916234E8
5,0,0,11340,2673,2324.87536817901,2463.8098845605386,2518.9887096941616,2269.357396184023,0.24476981105158532,2.9583319489238155E8,5.2873004359916234E8
5,0,0,11520,2673,2328.7904034429125,2467.392646881548,2521.9566890830833,2272.687818759861,0.24476981105158518,2.99473073950907E8,5.2873004359916234E8
5,0,0,11700,2673,2332.715630389262,2470.934583186759,2524.8820700723513,2276.0548024549526,0.2447698110515851,3.030714453048649E8,5.2873004359916234E8
5,0,0,11880,2673,2336.649359810995,2474.435604413373,2527.7650300535215,2279.4567662062873,0.24476981105158518,3.066282190450463E8,5.2873004359916234E8
5,0,0,12060,2673,2340.5899207506363,2477.8956389122504,2530.6057635304146,2282.8921200860404,0.2447698110515851,3.1014332293462926E8,5.2873004359916234E8
5,0,0,12240,2673,2344.5356635822877,2481.314632132445,2533.4044762740523,2286.3592682934755,0.24476981105158474,3.136167021743864E8,5.2873004359916234E8
5,0,0,12420,2673,2348.484985659299,2484.6925461607275,2536.161386322064,2289.856610760087,0.2447698110515851,3.1704831891437775E8,5.2873004359916234E8
5,0,0,12600,2673,2352.436307850443,2488.0293595774956,2538.8767229542386,2293.3825445716634,0.24476981105158552,3.2043815200593996E8,5.2873004359916234E8
5,0,0,12780,2673,2356.3880718723453,2491.3250671126243,2541.550728816451,2296.9354665640953,0.24476981105158552,3.2378619677543944E8,5.2873004359916234E8
5,0,0,12960,2673,2360.3387518212458,2494.5796793580525,2544.183655870757,2300.513775068485,0.24476981105158527,3.2709246468712026E8,5.2873004359916234E8
5,0,0,13140,2673,2364.286858439414,2497.7932224381325,2546.775768226661,2304.1158712881124,0.24476981105158513,3.303569829543374E8,5.2873004359916234E8
5,0,0,13320,2673,2368.2309273401524,2500.965737673505,2549.327340255476,2307.74016173864,0.2447698110515854,3.335797942722168E8,5.2873004359916234E8
5,0,0,13500,2673,2372.169535626779,2504.0972811622823,2551.8386553845085,2311.3850593663283,0.24476981105158532,3.367609563825929E8,5.2873004359916234E8
5,0,0,13680,2673,2376.1012923179924,2507.1879235359147,2554.3100069096354,2315.048984692592,0.2447698110515851,3.399005417393875E8,5.2873004359916234E8
5,0,0,13860,2673,2380.0248291175035,2510.237749638483,2556.7416966410933,2318.7303682850743,0.2447698110515852,3.4299863726682323E8,5.2873004359916234E8
5,0,0,14040,2673,2383.9388162258197,2513.246858111159,2559.1340351924177,2322.4276522383434,0.2447698110515854,3.460553439467912E8,5.2873004359916234E8
5,0,0,14220,2673,2387.8419678770274,2516.2153610391847,2561.487342026461,2326.1392911111043,0.24476981105158493,3.490707763603627E8,5.2873004359916234E8
5,0,0,14400,2673,2391.7330172203597,2519.1433836644574,2563.8019437630023,2329.8637536851415,0.24476981105158463,3.52045062486206E8,5.2873004359916234E8
5,0,0,14580,2673,2395.610742177505,2522.031063912347,2566.07817338404,2333.5995240728626,0.24476981105158474,3.549783432223457E8,5.2873004359916234E8
5,0,0,14760,2673,2399.473955931442,2524.878552137636,2568.3163721713818,2337.345102694189,0.2447698110515851,3.578707720211124E8,5.2873004359916234E8
5,0,0,14940,2673,2403.3215014585726,2527.686010678247,2570.5168884906393,2341.0990077781275,0.2447698110515851,3.607225145645271E8,5.2873004359916234E8
5,0,0,15120,2673,2407.1522623641167,2530.453613501247,2572.6800740792046,2344.859776053354,0.24476981105158482,3.635337483441003E8,5.2873004359916234E8
5,0,0,15300,2673,2410.9651552542473,2533.181545900665,2574.8062897198647,2348.625963612446,0.2447698110515852,3.663046623080651E8,5.2873004359916234E8
5,0,0,15480,2673,2414.759122858135,2535.8700041436623,2576.895899677015,2352.3961477850407,0.24476981105158496,3.69035456582741E8,5.2873004359916234E8
5,0,0,15660,2673,2418.533156632503,2538.5191949749624,2578.9492739401326,2356.1689277809737,0.24476981105158518,3.7172634196002626E8,5.2873004359916234E8
5,0,0,15840,2673,2422.286278709881,2541.1293353964834,2580.966786684189,2359.9429251126057,0.24476981105158482,3.7437753957464546E8,5.2873004359916234E8
5,0,0,16020,2673,2426.0175373445145,2543.7006522751435,2582.948817452902,2363.716784871828,0.24476981105158502,3.769892806229365E8,5.2873004359916234E8
5,0,0,16200,2673,2429.726027751713,2546.2333818855177,2584.895748277667,2367.489176157382,0.24476981105158527,3.7956180586802185E8,5.2873004359916234E8
5,0,0,16380,2673,2433.4108831487665,2548.7277695828166,2586.8079666801177,2371.2587925454877,0.2447698110515851,3.8209536524059933E8,5.2873004359916234E8
5,0,0,16560,2673,2437.071249360899,2551.1840696071395,2588.685861473597,2375.024353373383,0.24476981105158518,3.84590217706577E8,5.2873004359916234E8
5,0,0,16740,2673,2440.7063226549485,2553.602544533319,2590.529826098777,2378.784603958583,0.2447698110515854,3.870466307262473E8,5.2873004359916234E8
5,0,0,16920,2673,2444.315337899184,2555.9834649714658,2592.3402558235152,2382.53831577449,0.24476981105158496,3.89464879852191E8,5.2873004359916234E8
5,0,0,17100,2673,2447.8975458008927,2558.327109317005,2594.117549312637,2386.2842875743704,0.24476981105158463,3.918452485647233E8,5.2873004359916234E8
5,0,0,17280,2673,2451.4522442778707,2560.6337632450554,2595.8621063100177,2390.0213456325573,0.24476981105158493,3.9418802776151544E8,5.2873004359916234E8
5,0,0,17460,2673,2454.9787646806026,2562.9037194727816,2597.574329477142,2393.7483437581973,0.24476981105158513,3.9649351541596055E8,5.2873004359916234E8
5,0,0,17640,2673,2458.4764522097726,2565.137277506526,2599.2546220726713,2397.4641640379155,0.24476981105158518,3.9876201642480874E8,5.2873004359916234E8
5,0,0,17820,2673,2461.9447056508116,2567.3347430870776,2600.9033890356463,2401.1677170191965,0.24476981105158527,4.009938420373785E8,5.2873004359916234E8
5,0,0,18000,2673,2465.382954146938,2569.4964279883225,2602.52103627629,2404.8579417937735,0.24476981105158502,4.03189309548415E8,5.2873004359916234E8
5,100,100,0,2757.750236575906,2157.750227807339,2173.0041451725892,2174.90140636146,2172.9999999999995,0.2447698110515844,12689.521132690683,5.2873004359916234E8
5,100,100,180,2771.92127053042,2171.9212705304194,2178.9188815514917,2251.6478638295944,2173.0000151198583,0.24476981105158493,6357450.0443225885,5.2873004359916234E8
5,100,100,360,2772.329413208863,2172.329413208864,2185.1052131580486,2269.3674983661135,2173.0021394579994,0.2447698110515852,1.2702210567512434E7,5.2873004359916234E8
