time,T_in
1096,698.815401
1097,698.738277
1098,698.659148
1099,698.612574
1100,698.546324
1101,698.478641
1102,698.403597
1103,698.3463
1104,698.274144
1105,698.197734
1106,698.135386
1107,698.059515
1108,697.974333
1109,697.922247
1110,697.848483
1111,697.789177
1112,697.703256
1113,697.641285
1114,697.588853
1115,697.519771
1116,697.447785
1117,697.37909
1118,697.310332
1119,697.250786
1120,697.174196
1121,697.094629
1122,697.038069
1123,696.969899
1124,696.897064
1125,696.818194
1126,696.756435
1127,696.674736
1128,696.618569
1129,696.529353
1130,696.489066
1131,696.416546
1132,696.338101
1133,696.277121
1134,696.205474
1135,696.157097
1136,696.078692
1137,695.997581
1138,695.93513
1139,695.860647
1140,695.798645
1141,695.741338
1142,695.672939
1143,695.590801
1144,695.544245
1145,695.469555
1146,695.39039
1147,695.322405
1148,695.262944
1149,695.195274
1150,695.121318
1151,695.06
1152,695.003708
1153,694.935819
1154,694.874844
1155,694.805858
1156,694.735331
1157,694.664209
1158,694.606751
1159,694.519172
1160,694.463203
1161,694.397004
1162,694.306739
1163,694.239132
1164,694.194362
1165,694.127805
1166,694.049141
1167,693.995714
1168,693.917532
1169,693.836286
1170,693.766195
1171,693.698766
1172,693.636739
1173,693.560632
1174,693.500919
1175,693.425408
1176,693.374431
1177,693.298313
1178,693.23995
1179,693.162584
1180,693.083594
1181,693.049598
1182,692.966021
1183,692.892738
1184,692.833726
1185,692.760584
1186,692.6874
1187,692.626749
1188,692.553649
1189,692.485337
1190,692.389336
1191,692.326857
1192,692.26564
1193,692.206741
1194,692.137077
1195,692.081356
1196,692.00372
1197,691.948868
1198,691.870763
1199,691.819061
1200,691.748811
1201,691.685709
1202,691.611548
1203,691.555539
1204,691.476742
1205,691.434319
1206,691.355381
1207,691.295593
1208,691.221375
1209,691.176226
1210,691.110269
1211,691.057936
1212,690.970673
1213,690.924801
1214,690.850716
1215,690.785139
1216,690.70836
1217,690.634141
1218,690.567668
1219,690.496611
1220,690.43006
1221,690.347131
1222,690.306135
1223,690.22891
1224,690.17491
1225,690.115963
1226,690.046449
1227,689.973583
1228,689.916775
1229,689.845932
1230,689.784637
1231,689.73816
1232,689.65149
1233,689.585124
1234,689.537045
