% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 18:08"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,6660,2173,2672.9996754679887,2623.202090575396,2603.147497193022,2672.999930676672,0.0644131498282226,32.206554009982234
72,10,6840,2173,2672.999615895925,2621.8589494639928,2601.8058736369994,2672.9999158306746,0.06441315777438036,32.206554145833785
72,10,7020,2173,2672.9995478555957,2620.5159036895234,2600.4645891003097,2672.99989852573,0.06441316637815749,32.206554065026
72,10,7200,2173,2672.9994670839437,2619.1729799880177,2599.1230420346883,2672.9998774443325,0.06441317587707411,32.20655361172136
72,10,7380,2173,2672.999374272997,2617.8301471796613,2597.781521888799,2672.9998527074395,0.06441318671010361,32.20655304998147
72,10,7560,2173,2672.999265562263,2616.4874193741753,2596.4401604308237,2672.9998230569918,0.06441320180473636,32.20655359488203
72,10,7740,2173,2672.999138976028,2615.1447908243836,2595.0988033659546,2672.9997877630935,0.0644132194807523,32.20655427905004
72,10,7920,2173,2672.9989965880786,2613.8022312634644,2593.757317073725,2672.9997473705566,0.06441323678561678,32.2065537597987
72,10,8100,2173,2672.9988371796744,2612.4597333412416,2592.4158504864336,2672.999701396915,0.06441325544279375,32.20655282035421
72,10,8280,2173,2672.9986538379694,2611.1173176852435,2591.0746217794044,2672.999647470502,0.06441328020803545,32.206553393305654
72,10,8460,2173,2672.9984431951298,2609.7749840494153,2589.7334219932286,2672.999584312346,0.06441330923523228,32.206554338662585
72,10,8640,2173,2672.9982083899154,2608.4327081414267,2588.3920854728412,2672.9995128276732,0.06441333793754826,32.206553565188266
72,10,8820,2173,2672.9979477770207,2607.090484427322,2587.0507699455734,2672.9994323205533,0.06441336871033145,32.20655216457025
72,10,9000,2173,2672.9976523697005,2605.7483261663497,2585.7095617667455,2672.9993395073047,0.06441340725550038,32.20655240888363
72,10,9180,2173,2672.997321565486,2604.406228728861,2584.368445025263,2672.9992340016065,0.06441345020687443,32.20655257622901
72,10,9360,2173,2672.996949161247,2603.064189729562,2583.027220466462,2672.9991133365643,0.06441349993018201,32.206553449889164
72,10,9540,2173,2672.996529885242,2601.7222066125046,2581.6859763684474,2672.998975364127,0.06441355534658441,32.2065541508632
72,10,9720,2173,2672.996068163686,2600.3802673512646,2580.344816763669,2672.9988214703703,0.06441361133981854,32.20655240613305
72,10,9900,2173,2672.9955598147076,2599.038371526753,2579.003669065168,2672.9986498828434,0.06441367281212859,32.206550397421594
72,10,10080,2173,2672.9949968496812,2597.6965212543423,2577.662516299428,2672.9984573532415,0.06441374339988586,32.206549428302075
72,10,10260,2173,2672.994373699031,2596.3547146678784,2576.321350326842,2672.9982414703863,0.06441382299037582,32.206549083633156
72,10,10440,2173,2672.993684941458,2595.0129492953974,2574.9801852241476,2672.9979998230992,0.06441391113599065,32.20654879037559
72,10,10620,2173,2672.992924865306,2593.6712231496977,2573.6390458595256,2672.9977298401554,0.06441400822374393,32.20654837408762
