% Model,tin_tegs_model_3_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 3 2024, 14:57"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 43"
297,774.4733689846702,757.755580859225,799.6849562057185
298,774.3985175327401,757.6843554555263,799.5914473205961
299,774.3236660808108,757.6131300518282,799.4979384354737
300,774.2488146288806,757.5419046481297,799.4044295503514
301,774.1739631769505,757.4706792444313,799.310920665229
302,774.0991117250207,757.3994538407328,799.2174117801065
303,774.0242602730906,757.3282284370352,799.1239028949841
304,773.9494088211607,757.257003033337,799.0303940098619
305,773.8745573692306,757.1857776296383,798.9368851247394
306,773.7997059173006,757.11455222594,798.843376239617
307,773.7248544653706,757.0433268222423,798.7498673544945
308,773.6500030134405,756.9721014185433,798.6563584693723
309,773.5751515615104,756.9008760148453,798.5628495842499
310,773.5003001095803,756.829650611147,798.4693406991274
311,773.4254486576505,756.7584252074491,798.375831814005
312,773.3505972057205,756.6871998037508,798.2823229288828
313,773.2757457537903,756.6159744000526,798.1888140437603
314,773.2008943018606,756.5447489963535,798.0953051586379
315,773.1260428499306,756.4735235926552,798.0017962735154
316,773.0511913979999,756.4022981889576,797.9082873883932
317,772.9763399460702,756.3310727852588,797.8147785032708
318,772.9014884941403,756.2598473815613,797.7212696181483
319,772.8266370422105,756.1886219778627,797.6277607330259
320,772.7517855902804,756.1173965741644,797.5342518479036
321,772.6769341383505,756.0461711704664,797.4407429627812
322,772.6020826864203,755.9749457667677,797.3472340776588
323,772.52723123449,755.9037203630697,797.2537251925363
324,772.4523797825601,755.8324949593712,797.1602163074141
325,772.37752833063,755.7612695556725,797.0667074222916
326,772.3026768787003,755.6900441519746,796.9731985371692
327,772.2278254267699,755.6188187482768,796.8796896520467
328,772.15297397484,755.5475933445786,796.7861807669245
329,772.0781225229102,755.4763679408798,796.6926718818021
330,772.0032710709798,755.4051425371815,796.5991629966796
331,771.9284196190501,755.3339171334827,796.5056541115572
332,771.8535681671199,755.2626917297853,796.412145226435
333,771.7787167151898,755.1914663260868,796.3186363413125
334,771.7038652632604,755.1202409223879,796.2251274561901
335,771.62901381133,755.0490155186903,796.1316185710676
336,771.5541623594,754.9777901149918,796.0381096859454
337,771.4793109074698,754.9065647112942,795.944600800823
338,771.40445945554,754.8353393075947,795.8510919157005
339,771.3296080036097,754.7641139038967,795.7575830305781
340,771.2547565516801,754.6928885001987,795.6640741454559
341,771.1799050997499,754.6216630965002,795.5705652603334
342,771.10505364782,754.5504376928028,795.477056375211
343,771.0302021958898,754.4792122891042,795.3835474900885
344,770.95535074396,754.4079868854055,795.2900386049663
345,770.8804992920301,754.3367614817076,795.1965297198439
346,770.8056478400997,754.265536078009,795.1030208347214
347,770.7307963881698,754.1943106743109,795.009511949599
348,770.6559449362398,754.1230852706123,794.9160030644767
349,770.5810934843095,754.0518598669142,794.8224941793543
350,770.5062420323796,753.9806344632162,794.7289852942318
351,770.4313905804497,753.909409059518,794.6354764091094
352,770.3565391285197,753.8381836558191,794.5419675239872
353,770.2816876765897,753.7669582521207,794.4484586388647
354,770.2068362246598,753.695732848423,794.3549497537423
355,770.1319847727298,753.6245074447248,794.2614408686198
356,770.0571333207993,753.5532820410263,794.1679319834974
357,769.9822818688699,753.482056637328,794.074423098375
358,769.9074304169393,753.4108312336293,793.9809142132527
359,769.8325789650098,753.3396058299317,793.8874053281303
360,769.7577275130794,753.268380426233,793.7938964430078
361,769.6828760611494,753.197155022535,793.7003875578854
362,769.6080246092197,753.1259296188365,793.6068786727632
363,769.5331731572895,753.0547042151389,793.5133697876407
364,769.4583217053598,752.98347881144,793.4198609025183
365,769.3834702534296,752.9122534077414,793.3263520173958
366,769.3086188014993,752.8410280040432,793.2328431322736
367,769.2337673495697,752.7698026003452,793.1393342471512
368,769.1589158976394,752.698577196647,793.0458253620287
369,769.0840644457093,752.6273517929485,792.9523164769063
370,769.0092129937793,752.55612638925,792.8588075917841
371,768.9343615418494,752.4849009855523,792.7652987066616
372,768.8595100899192,752.4136755818539,792.6717898215392
373,768.7846586379892,752.3424501781552,792.5782809364167
374,768.7098071860594,752.2712247744576,792.4847720512945
375,768.6349557341292,752.1999993707594,792.391263166172
376,768.5601042821999,752.1287739670605,792.2977542810496
377,768.4852528302692,752.0575485633627,792.2042453959272
378,768.4104013783393,751.986323159664,792.1107365108049
379,768.3355499264092,751.9150977559653,792.0172276256825
380,768.260698474479,751.8438723522678,791.92371874056
381,768.1858470225492,751.7726469485694,791.8302098554376
382,768.1109955706194,751.7014215448706,791.7367009703154
383,768.0361441186892,751.630196141173,791.6431920851929
384,767.9612926667592,751.5589707374742,791.5496832000705
385,767.8864412148288,751.4877453337759,791.456174314948
386,767.8115897628994,751.4165199300779,791.3626654298258
387,767.7367383109694,751.3452945263795,791.2691565447034
388,767.6618868590392,751.2740691226813,791.1756476595809
389,767.5870354071093,751.202843718983,791.0821387744585
390,767.5121839551792,751.1316183152854,790.9886298893363
391,767.437332503249,751.060392911586,790.8951210042138
392,767.3624810513189,750.9891675078887,790.8016121190914
393,767.2876295993892,750.9179421041897,790.7081032339689
394,767.2127781474588,750.8467167004915,790.6145943488467
395,767.137926695529,750.7754912967935,790.5210854637243
396,767.0630752435994,750.704265893095,790.4275765786018
397,766.988223791669,750.6330404893969,790.3340676934794
398,766.9133723397388,750.5618150856986,790.2405588083572
399,766.8379512871817,750.4891449543126,790.1490912394676
400,766.7608214327417,750.4121406398618,790.0637476192768
