% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 10:00"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,5,3168,2673.0000000000014,2207.8466037825183,2460.3090428675555,2672.999999999996,2207.7186458473,2673.0000000000027,2207.592360572766,2398.604875379028,2341.2337357037977,2188.4959892273814,16.74119323400502,-1901120.930712851
4,5,3312,2673.0000000000014,2210.5653437546566,2468.153715046405,2672.999999999996,2210.4324167604336,2673.0000000000027,2210.3012889125903,2406.6169824243143,2348.6928227007397,2190.0522717664226,16.83816439744102,-1901003.259160747
4,5,3456,2673.0000000000014,2213.407735923245,2475.6909162280513,2672.999999999996,2213.2697525711296,2673.0000000000027,2213.1336810101807,2414.4323019943354,2356.0725859698246,2191.6989092392623,16.942234231603987,-1901043.7455383677
4,5,3600,2673.0000000000014,2216.37855275653,2482.9197103253864,2672.999999999996,2216.2355546116137,2673.0000000000027,2216.094601886799,2422.0464160225292,2363.368245965855,2193.441588939414,17.05251470375185,-1901098.1887698595
4,5,3744,2673.0000000000014,2219.4741300545134,2489.8652912649322,2672.999999999996,2219.326101919035,2673.0000000000027,2219.1802644064333,2429.470006233233,2370.5787679302794,2195.2794768861713,17.168667625380504,-1901121.1693474448
4,5,3888,2673.0000000000014,2222.6782255682897,2496.5726899051083,2672.999999999996,2222.5253020753444,2673.0000000000027,2222.374688599082,2436.729695018074,2377.7112741995174,2197.2001025038653,17.28919443669991,-1900991.4649656694
4,5,4032,2673.0000000000014,2226.014868777468,2503.0209310183814,2672.999999999996,2225.856934108946,2673.0000000000027,2225.701423741725,2443.80506716214,2384.75308964516,2199.218207498408,17.418193406729262,-1901036.4792843054
4,5,4176,2673.0000000000014,2229.4741030883083,2509.2335312802907,2672.999999999996,2229.311304448015,2673.0000000000027,2229.151042847877,2450.710263647507,2391.7082015982346,2201.3286710778693,17.553284859912928,-1901005.7518385472
4,5,4320,2673.0000000000014,2233.069432672475,2515.2051396568,2672.999999999996,2232.901714636452,2673.0000000000027,2232.7366790624815,2457.4360438132408,2398.568128185675,2203.5415663980384,17.69665536611471,-1901049.9356771624
4,5,4464,2673.0000000000014,2236.7910205752805,2520.9580320208943,2672.999999999996,2236.618530776663,2673.0000000000027,2236.4488666301827,2463.99652605677,2405.337363150931,2205.8508982500916,17.846622265341228,-1900995.0151288242
4,5,4608,2673.0000000000014,2240.653800616091,2526.489149573529,2672.999999999996,2240.476471123673,2673.0000000000027,2240.302107255139,2470.3844266230335,2412.008198292203,2208.266051182067,18.006008728836004,-1901043.536225851
4,5,4752,2673.0000000000014,2244.646840864589,2531.819267823734,2672.999999999996,2244.4648656707727,2673.0000000000027,2244.2859809347597,2476.6136504859555,2418.585815311223,2210.7806781580002,18.17282849869196,-1900990.907803565
