% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 11:32"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),"Temperature (K), Point: 51"
116,1062.105271315775,1041.3837828613864,1072.9666178337393
117,1062.0578936494858,1041.3432176574522,1072.875194637764
118,1062.0105159831955,1041.3026524535196,1072.783771441789
119,1061.9631383169062,1041.2620872495859,1072.6923482458137
120,1061.9157606506162,1041.2215220456521,1072.6009250498385
121,1061.8683829843267,1041.1809568417193,1072.5095018538634
122,1061.8210053180362,1041.1403916377853,1072.4180786578881
123,1061.7736276517462,1041.0998264338523,1072.3266554619129
124,1061.7262499854562,1041.059261229919,1072.2352322659378
125,1061.6788723191669,1041.0186960259846,1072.1438090699628
126,1061.6314946528769,1040.9781308220518,1072.0523858739875
127,1061.5841169865873,1040.9375656181176,1071.9609626780123
128,1061.536739320297,1040.8970004141847,1071.8695394820372
129,1061.4893616540078,1040.856435210251,1071.778116286062
130,1061.441983987718,1040.815870006318,1071.6866930900867
131,1061.3946063214275,1040.775304802384,1071.5952698941117
132,1061.3472286551382,1040.7347395984514,1071.5038466981366
133,1061.2998509888484,1040.6941743945176,1071.4124235021613
134,1061.2524733225587,1040.653609190584,1071.321000306186
135,1061.2050956562687,1040.613043986651,1071.229577110211
136,1061.1577179899791,1040.5724787827169,1071.1381539142358
137,1061.1103403236887,1040.5319135787836,1071.0467307182605
138,1061.062962657399,1040.49134837485,1070.9553075222855
139,1061.0155849911093,1040.450783170917,1070.8638843263102
140,1060.9682073248196,1040.4102179669842,1070.7724611303352
141,1060.9208296585296,1040.3696527630502,1070.68103793436
142,1060.8734519922398,1040.3290875591167,1070.5896147383849
143,1060.8260743259498,1040.2885223551834,1070.4981915424096
144,1060.7786966596605,1040.2479571512504,1070.4067683464343
145,1060.7313189933707,1040.2073919473164,1070.3153451504593
146,1060.683941327081,1040.1668267433824,1070.223921954484
147,1060.6365636607907,1040.1262615394494,1070.1324987585087
