% Model,LargeGraphiteBlock_v5_PorousMedia_rad_longblock.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 12:45"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1"
20,45360,2172.9999999999973,2636.727544225786,2359.9883742834963,2172.9999999999955,2636.746332509536,2173.0000000000014,2636.7650241032297
20,46080,2172.9999999999973,2633.1204543711196,2355.3488652263,2172.9999999999955,2633.1402857655708,2173.0000000000014,2633.1600142419957
20,46800,2172.9999999999973,2629.325915047285,2350.7608806599696,2172.9999999999955,2629.3467374429883,2173.0000000000014,2629.3674730861776
20,47520,2172.9999999999973,2625.3452395661297,2346.2211133813335,2172.9999999999955,2625.367042914306,2173.0000000000014,2625.3887631823522
20,48240,2172.9999999999973,2621.175409259739,2341.7158005085053,2172.9999999999955,2621.198249826556,2173.0000000000014,2621.2209815162296
20,48960,2172.9999999999973,2616.807410069493,2337.2377926206195,2172.9999999999955,2616.831356631244,2173.0000000000014,2616.8551730935374
20,49680,2172.9999999999973,2612.2551624871003,2332.7900809495136,2172.9999999999955,2612.2798299339456,2173.0000000000014,2612.3043768398584
20,50400,2172.9999999999973,2607.6204913328397,2328.3429190458824,2172.9999999999955,2607.6455819228295,2173.0000000000014,2607.670529620226
20,51120,2172.9999999999973,2602.8912902248044,2323.8998679590136,2172.9999999999955,2602.9168519112777,2173.0000000000014,2602.9422195310535
20,51840,2172.9999999999973,2598.068651617485,2319.464052373671,2172.9999999999955,2598.0947343866346,2173.0000000000014,2598.12058425422
20,52560,2172.9999999999973,2593.1595780002003,2315.0405398168627,2172.9999999999955,2593.186274355766,2173.0000000000014,2593.2127109622334
20,53280,2172.9999999999973,2588.1122764193647,2310.6520236626966,2172.9999999999955,2588.1398444533074,2173.0000000000014,2588.1671329377027
20,54000,2172.9999999999973,2582.896845851151,2306.322628560231,2172.9999999999955,2582.925485329806,2173.0000000000014,2582.95383742296
20,54720,2172.9999999999973,2577.480930629192,2302.0691689595083,2172.9999999999955,2577.5107457458994,2173.0000000000014,2577.5402624043477
20,55440,2172.9999999999973,2571.8194642599915,2297.912738019448,2172.9999999999955,2571.850708255035,2173.0000000000014,2571.8816255983124
20,56160,2172.9999999999973,2565.8814752199105,2293.8695350371368,2172.9999999999955,2565.9143139181824,2173.0000000000014,2565.9468078623777
20,56880,2172.9999999999973,2559.6484664804234,2289.9436648782253,2172.9999999999955,2559.6829155957844,2173.0000000000014,2559.7170217064086
20,57600,2172.9999999999973,2553.0984003320186,2286.138331392727,2172.9999999999955,2553.134531495047,2173.0000000000014,2553.1703201953046
20,58320,2172.9999999999973,2546.232895574823,2282.4436599658457,2172.9999999999955,2546.2706820141543,2173.0000000000014,2546.3081237138704
20,59040,2172.9999999999973,2539.051874409286,2278.846984150317,2172.9999999999955,2539.091313959396,2173.0000000000014,2539.130431865611
20,59760,2172.9999999999973,2531.5838584252706,2275.3322634929577,2172.9999999999955,2531.6246839397922,2173.0000000000014,2531.6652672112073
20,60480,2172.9999999999973,2523.8764228834284,2271.874552999985,2172.9999999999955,2523.918240201765,2173.0000000000014,2523.959889530527
20,61200,2172.9999999999973,2516.1060891081106,2268.44751907041,2172.9999999999955,2516.1477285945416,2173.0000000000014,2516.1892045117747
20,61920,2172.9999999999973,2508.5282065158053,2265.0475038411864,2172.9999999999955,2508.5683605768772,2173.0000000000014,2508.6083386715563
20,62640,2172.9999999999973,2501.1432261831496,2261.714955356847,2172.9999999999955,2501.182413465351,2173.0000000000014,2501.221406135802
20,63360,2172.9999999999973,2493.9423035474006,2258.4563923229794,2172.9999999999955,2493.980464200722,2173.0000000000014,2494.0183640552405
20,64080,2172.9999999999973,2486.9158669021717,2255.276195428773,2172.9999999999955,2486.9532058884392,2173.0000000000014,2486.9901570580396
20,64800,2172.9999999999973,2479.8375347423325,2252.183333957669,2172.9999999999955,2479.8758660039607,2173.0000000000014,2479.913745532323
20,65520,2172.9999999999973,2472.371738457542,2249.172659100833,2172.9999999999955,2472.4129492836123,2173.0000000000014,2472.4537716769114
20,66240,2172.9999999999973,2464.5078554091324,2246.2238496117848,2172.9999999999955,2464.5510084987222,2173.0000000000014,2464.5938772513327
20,66960,2172.9999999999973,2456.5038279877313,2243.337650413137,2172.9999999999955,2456.5469403313755,2173.0000000000014,2456.5898843854707
20,67680,2172.9999999999973,2448.7931594970246,2240.518808955469,2172.9999999999955,2448.8332577884353,2173.0000000000014,2448.8731475141285
20,68400,2172.9999999999973,2441.2866045067517,2237.7856559066327,2172.9999999999955,2441.3256710814767,2173.0000000000014,2441.364491946537
20,69120,2172.9999999999973,2433.7936119010137,2235.162970943022,2172.9999999999955,2433.8338432712785,2173.0000000000014,2433.873917307314
20,69840,2172.9999999999973,2426.282712082796,2232.6232560332205,2172.9999999999955,2426.3230049740805,2173.0000000000014,2426.3631392902594
20,70560,2172.9999999999973,2418.7388129996134,2230.1305726154465,2172.9999999999955,2418.7793212299953,2173.0000000000014,2418.8195963685057
20,71280,2172.9999999999973,2411.2002637188793,2227.697955958438,2172.9999999999955,2411.2406763990066,2173.0000000000014,2411.2808502143207
20,72000,2172.9999999999973,2403.742254338342,2225.344384022432,2172.9999999999955,2403.782051738724,2173.0000000000014,2403.8216191982406
