% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2_halfduty.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:53"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,17280,2173.0917473579284,2672.8119639999527,2544.331756001496,2524.313561692771,2672.915026564844,0.06443734745432757,32.20064522971397
72,10,17460,2173.087986465432,2672.7983257713317,2542.9909304246726,2522.9727685135904,2672.9082474147303,0.06443905302954035,32.20086105394244
72,10,17640,2173.084295214672,2672.783959797199,2541.6501063566147,2521.6319877222395,2672.9010653846453,0.06444083813988898,32.201065203919434
72,10,17820,2173.0808071204406,2672.768757669958,2540.309283253172,2520.291204742517,2672.893418311553,0.0644427680314581,32.201274685377314
72,10,18000,2173.0776596300198,2672.752665882748,2538.9684605625844,2518.950411650313,2672.8852736720723,0.06444483746578519,32.201474563672214
72,10,18180,2173.07483316292,2672.735792469068,2537.627637543432,2517.609604607096,2672.876690048211,0.06444704871560675,32.20167418569013
72,10,18360,2173.0720943706874,2672.7179807903767,2536.286812725973,2516.2687752768097,2672.8675774807916,0.06444946368256173,32.20190941094715
72,10,18540,2173.0688446508493,2672.6992157312066,2534.945986883068,2514.9279646693976,2672.857923171265,0.06445187861770428,32.202116030589764
72,10,18720,2173.066422672094,2672.6792067339793,2533.6051620663957,2513.587164504933,2672.8475575249713,0.0644543985740351,32.20224151660806
72,10,18900,2173.063967179549,2672.6580650003466,2532.2643398034925,2512.2463909347016,2672.8365393571285,0.06445700244704569,32.202337985764764
72,10,19080,2173.061412706199,2672.635734595455,2530.923518569278,2510.9056152263192,2672.824833275024,0.06445985406027527,32.20248788124243
72,10,19260,2173.0587057604334,2672.6123830608917,2529.582696875327,2509.5648233225334,2672.8125338046552,0.06446292693798461,32.20269220142095
72,10,19440,2173.0561078146043,2672.587812366939,2528.2418727879776,2508.223995294338,2672.7995234078758,0.06446626569111072,32.20294358680423
72,10,19620,2173.0543286731427,2672.562010326308,2526.9010476627955,2506.883171569507,2672.785789534069,0.06446956981947767,32.20304535770415
72,10,19800,2173.0519794059055,2672.5346122884034,2525.560223615063,2505.542384611764,2672.77111209131,0.06447303300927582,32.20316027739334
72,10,19980,2173.0497118339554,2672.50576155515,2524.219402841779,2504.2016292567278,2672.7555698857846,0.06447660291157783,32.20322938965877
72,10,20160,2173.047672854459,2672.475273836263,2522.878582175883,2502.860847005629,2672.739049192144,0.06448056948727024,32.20337612896795
72,10,20340,2173.0460064167532,2672.443135730364,2521.537760029582,2501.520032123789,2672.7215367491067,0.06448481002230753,32.203529009473925
72,10,20520,2173.0445161058133,2672.4095535937386,2520.1969390787967,2500.1792410290186,2672.703150236954,0.06448907145712973,32.20358758575111
72,10,20700,2173.0428475656213,2672.374183591768,2518.8561173248872,2498.8384391553927,2672.683677410294,0.06449366811448799,32.203709464834226
72,10,20880,2173.040853468873,2672.3369601058293,2517.515293559599,2497.4976190380553,2672.6630731178057,0.06449856808867199,32.20388393033252
72,10,21060,2173.0392454616153,2672.2979463933725,2516.1744696874794,2496.156812298223,2672.6413683526803,0.06450361251311693,32.20398978870422
72,10,21240,2173.037972880693,2672.256814274909,2514.833643740035,2494.8159888977057,2672.6183563818413,0.06450902274188948,32.204119592679184
72,10,21420,2173.0364243901436,2672.213930220639,2513.4928207464404,2493.475215747391,2672.5942553350287,0.06451442391179057,32.204149218378916
72,10,21600,2173.0349283097826,2672.1692647905043,2512.1520015174815,2492.134470167786,2672.569042950624,0.06452002631873378,32.20416052631988
72,10,21780,2173.033538744362,2672.122561599008,2510.8111845642397,2490.793721046722,2672.542555371227,0.06452599027004,32.20421343260266
72,10,21960,2173.032287941113,2672.073710518786,2509.47036844482,2489.4529545596456,2672.514718101368,0.06453229679817038,32.20428919636353
72,10,22140,2173.031145444806,2672.0226286775246,2508.129552633091,2488.1121749743793,2672.485472566012,0.064538902656354,32.20436276270613
72,10,22320,2173.030032290721,2671.969237071809,2506.7887371090615,2486.7713890252203,2672.454762009576,0.06454580023875353,32.20443024308264
72,10,22500,2173.0288747377085,2671.913455876136,2505.447921966627,2485.430601329794,2672.422528779095,0.06455300308344966,32.20449790451441
72,10,22680,2173.0276633147246,2671.855203548596,2504.107107292049,2484.0898174472723,2672.3887137926563,0.06456052664268157,32.20456870137215
72,10,22860,2173.0264670776055,2671.7943967169117,2502.766293120736,2482.749039287593,2672.353256431199,0.06456838319126561,32.2046388044649
72,10,23040,2173.0254208076826,2671.7307428395648,2501.4254773451134,2481.4082407535943,2672.3159609151626,0.06457671730433462,32.20475259902001
72,10,23220,2173.0245682026884,2671.6641892141442,2500.08465918044,2480.067421639644,2672.2767848234485,0.0645854507037443,32.2048646617691
72,10,23400,2173.0237574891744,2671.595110727997,2498.743843341664,2478.726647640938,2672.2359604242824,0.0645942591468265,32.20484719429248
72,10,23580,2173.0228601285166,2671.5229562321883,2497.403027885782,2477.3858718578126,2672.193122673172,0.06460361222800784,32.20490690430628
72,10,23760,2173.0218407519237,2671.447624877977,2496.062210681793,2476.045070121367,2672.148197863823,0.06461348634320249,32.20502759572874
