% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 2 2023, 10:41"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),base_flowrate_factor,max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate","P_out (W), P_out"
4,10,10,7776,2673.0000000000014,2651.4346474036015,2641.107058921536,2672.999999999996,2651.4301207882386,2673.0000000000023,2651.42569912741,2638.0260051910095,2633.938046582932,2602.3878358046018,155.8333333333337,-820326.8335113147
4,10,10,7783.2,2673.0000000000014,2651.4804348827333,2641.186924444239,2672.999999999996,2651.4758766888226,2673.0000000000023,2651.4714345581006,2638.1114892848964,2634.0304147544302,2602.525543974284,155.83333333333366,-818587.8199848573
4,10,10,7790.400000000001,2673.0000000000014,2651.5264138718185,2641.2665876691062,2672.999999999996,2651.5217414972417,2673.0000000000023,2651.517236283769,2638.1967621281665,2634.1225648859227,2602.6629966353157,155.83333333333366,-816846.2857025281
4,10,10,7797.6,2673.0000000000014,2651.5725051197014,2641.346049426446,2672.999999999996,2651.567750973108,2673.0000000000023,2651.5631699120217,2638.281823479252,2634.214499037479,2602.8001945290007,155.8333333333336,-815099.7360441898
4,10,10,7804.8,2673.0000000000014,2651.6183143639964,2641.4253105250095,2672.999999999996,2651.61362091527,2673.0000000000023,2651.6090826724044,2638.366676273017,2634.306215947259,2602.9371363259625,155.8333333333336,-813353.9798520262
4,10,10,7812,2673.0000000000014,2651.663730205562,2641.5043725142555,2672.999999999996,2651.659169555998,2673.0000000000023,2651.654747458482,2638.4513221474535,2634.3977151296363,2603.0738232598787,155.83333333333357,-811617.6524694646
4,10,10,7819.2,2673.0000000000014,2651.708928670973,2641.5832335743557,2672.999999999996,2651.7044330782396,2673.0000000000023,2651.70007175641,2638.535761583083,2634.48899658584,2603.210255648761,155.83333333333357,-809894.2715813036
4,10,10,7826.400000000001,2673.0000000000014,2651.7542244533424,2641.661894718656,2672.999999999996,2651.749693157779,2673.0000000000023,2651.745322684524,2638.619992892839,2634.5800622720885,2603.346433770126,155.83333333333354,-808173.6804577418
4,10,10,7833.6,2673.0000000000014,2651.799563621297,2641.7403578548888,2672.999999999996,2651.794989137538,2673.0000000000023,2651.790569434987,2638.7040163536863,2634.6709150232828,2603.4823593788633,155.83333333333363,-806453.2481825893
4,10,10,7840.8,2673.0000000000014,2651.845021191505,2641.81862244953,2672.999999999996,2651.8403960812902,2673.0000000000023,2651.8359033336087,2638.7878330601575,2634.7615545291214,2603.6180325178875,155.83333333333357,-804729.502244048
4,10,10,7848,2673.0000000000014,2651.8902437348015,2641.896688239038,2672.999999999996,2651.8856203711966,2673.0000000000023,2651.8811542139456,2638.8714442987502,2634.851979445518,2603.7534506855145,155.83333333333366,-803008.9129375282
4,10,10,7855.2,2673.0000000000014,2651.9349465952305,2641.974557158664,2672.999999999996,2651.9304028190645,2673.0000000000023,2651.9260281738366,2638.954850665331,2634.9421873746737,2603.888616425253,155.83333333333363,-801302.6554025009
4,10,10,7862.400000000001,2673.0000000000014,2651.9796001671634,2642.052229576377,2672.999999999996,2651.9751252113388,2673.0000000000023,2651.9707777913736,2639.0380515007155,2635.0321807284295,2604.023533322696,155.83333333333366,-799601.1257783694
4,10,10,7869.6,2673.0000000000014,2652.024483736232,2642.1297056642256,2672.999999999996,2652.019992651949,2673.0000000000023,2652.015621337198,2639.121048647843,2635.121964939417,2604.1581985860885,155.83333333333354,-797896.0246878854
4,10,10,7876.8,2673.0000000000014,2652.0694262786556,2642.206986447421,2672.999999999996,2652.064874046589,2673.0000000000023,2652.060517559433,2639.2038426142244,2635.211538119665,2604.2926118105083,155.83333333333354,-796188.9206642678
4,10,10,7884,2673.0000000000014,2652.1141129020475,2642.2840716440737,2672.999999999996,2652.109549894559,2673.0000000000023,2652.1052208483206,2639.2864329201007,2635.3008990140615,2604.4267737659166,155.83333333333366,-794489.1526096347
4,10,10,7891.2,2673.0000000000014,2652.158350807716,2642.3609616611425,2672.999999999996,2652.153878635624,2673.0000000000023,2652.1495689502476,2639.3688210334526,2635.390047995222,2604.56068413744,155.83333333333348,-792802.8899476242
4,10,10,7898.400000000001,2673.0000000000014,2652.2024665479667,2642.437657696083,2672.999999999996,2652.198096643121,2673.0000000000023,2652.1937743653475,2639.451006221607,2635.478985798195,2604.694346432044,155.8333333333336,-791122.052714072
