% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 11 2022, 17:52"
% Table,Probe Table 1 - 
% discharge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
20,33120,2172.9999999999995,2668.665501643088,2173.349637255885,2172.9999999999895,2668.669171801965,2172.9999999999977,2668.672817129232,2173.160141150596,2173.01954991839,2670.1728947141787
20,33840,2172.9999999999995,2667.9341017040515,2173.206320149039,2172.9999999999895,2667.938261151302,2172.9999999999977,2667.9423921859698,2173.100218638655,2172.948944686979,2669.6581565401543
20,34560,2172.9999999999995,2667.107632412039,2173.0339087186735,2172.9999999999895,2667.112332214796,2172.9999999999977,2667.116996532044,2173.0286346159933,2172.930812048127,2669.0695060029075
20,35280,2172.9999999999995,2666.176982937638,2172.889962209509,2172.9999999999895,2666.182268782702,2172.9999999999977,2666.1875115807734,2172.970780873835,2172.9732596159006,2668.398587387974
20,36000,2172.9999999999995,2665.132486326852,2172.822609742593,2172.9999999999895,2665.138409522371,2172.9999999999977,2665.144280802229,2172.953829233516,2173.069151358857,2667.6362520052676
20,36720,2172.9999999999995,2663.9656584652653,2172.8431330431504,2172.9999999999895,2663.9722708019226,2172.9999999999977,2663.9788183752908,2172.9896309719566,2173.1984672707817,2666.774483857269
20,37440,2172.9999999999995,2662.6690039144305,2172.9294501079444,2172.9999999999895,2662.676345533664,2172.9999999999977,2662.683608606466,2173.0693719379396,2173.33419562406,2665.806123411355
20,38160,2172.9999999999995,2661.232667927144,2173.0331745056683,2172.9999999999895,2661.240771829301,2172.9999999999977,2661.2487881801208,2173.160145506193,2173.428219081635,2664.721357378411
20,38880,2172.9999999999995,2659.648586488422,2173.1208177067256,2172.9999999999895,2659.6575063729265,2172.9999999999977,2659.6663263155224,2173.2222770445023,2173.440490658787,2663.5119225397343
20,39600,2172.9999999999995,2657.908527018126,2173.187315994124,2172.9999999999895,2657.9183180760874,2172.9999999999977,2657.9279877030835,2173.227081776019,2173.354151229919,2662.1696439828847
20,40320,2172.9999999999995,2656.0045020012003,2173.2472101358026,2172.9999999999895,2656.015204370563,2172.9999999999977,2656.025759255936,2173.1746403936963,2173.1831237502824,2660.6862847476073
20,41040,2172.9999999999995,2653.9290325755032,2173.3075940178037,2172.9999999999895,2653.9406746106315,2172.9999999999977,2653.952146860638,2173.091207264684,2172.971360313193,2659.053681512752
20,41760,2172.9999999999995,2651.675144929107,2173.3533007089086,2172.9999999999895,2651.6877605084287,2172.9999999999977,2651.7001876403106,2173.0160542025997,2172.7811883613285,2657.2637171463157
20,42480,2172.9999999999995,2649.236661898835,2173.3546595878433,2172.9999999999895,2649.2502905694164,2172.9999999999977,2649.263710446975,2172.9809872875,2172.6702886498674,2655.3088776040536
20,43200,2172.9999999999995,2646.608071993057,2173.288940373319,2172.9999999999895,2646.6227500951545,2172.9999999999977,2646.6371910912007,2173.000553202651,2172.678828072858,2653.1820792768003
20,43920,2172.9999999999995,2643.78471621437,2173.1538808750774,2172.9999999999895,2643.8004676488326,2172.9999999999977,2643.815946272469,2173.064290610978,2172.8157153470606,2650.876904436977
20,44640,2172.9999999999995,2640.7628108145395,2172.9681941172084,2172.9999999999895,2640.7796461832722,2172.9999999999977,2640.796173373967,2173.1356434296035,2173.0489354669908,2648.387585258688
20,45360,2172.9999999999995,2637.5396167156973,2172.7667176195714,2172.9999999999895,2637.557539446396,2172.9999999999977,2637.5751246105715,2173.164425684508,2173.3064682723098,2645.709051910132
20,46080,2172.9999999999995,2634.1138445606707,2172.621498774432,2172.9999999999895,2634.132859902125,2172.9999999999977,2634.151512768963,2173.1252768606787,2173.4786839967205,2642.837208460574
20,46800,2172.9999999999995,2630.4857551484565,2172.6560711059783,2172.9999999999895,2630.505868765372,2172.9999999999977,2630.5255897665147,2173.0427206903687,2173.434886095259,2639.768661729016
20,47520,2172.9999999999995,2626.6562946631116,2172.8591107698344,2172.9999999999895,2626.6775038550563,2172.9999999999977,2626.698276251921,2172.9765767510335,2173.2223868630203,2636.502719944941
20,48240,2172.9999999999995,2622.6274887709583,2173.1283439176805,2172.9999999999895,2622.6497701638064,2172.9999999999977,2622.6715817786253,2172.9620983485015,2172.960614650458,2633.039192941548
20,48960,2172.9999999999995,2618.403080054014,2173.24597409647,2172.9999999999895,2618.4264167331908,2172.9999999999977,2618.4492502711632,2173.010185985797,2172.858900024449,2629.380219171927
20,49680,2172.9999999999995,2613.984994516547,2173.21290139558,2172.9999999999895,2614.009373658886,2172.9999999999977,2614.0332167984366,2173.0671709058747,2172.9037811217413,2625.5279120758514
20,50400,2172.9999999999995,2609.3773737667184,2173.1053611301295,2172.9999999999895,2609.402763524099,2172.9999999999977,2609.4275896218505,2173.058972931794,2173.0059859621792,2621.4857615549804
20,51120,2172.9999999999995,2604.5816015781825,2172.949049672969,2172.9999999999895,2604.6080006896054,2172.9999999999977,2604.633809824417,2173.0056136543158,2173.1247895974093,2617.2540388154794
20,51840,2172.9999999999995,2599.5991302899542,2172.783469146505,2172.9999999999895,2599.6265395110263,2172.9999999999977,2599.6533329817953,2172.9461952574784,2173.2176676249287,2612.8327857595605
20,52560,2172.9999999999995,2594.4314012678224,2172.6588621332785,2172.9999999999895,2594.4598130244976,2172.9999999999977,2594.4875832855855,2172.9097390966867,2173.245659886232,2608.2217812020112
20,53280,2172.9999999999995,2589.080490854814,2172.617766552101,2172.9999999999895,2589.1098906678317,2172.9999999999977,2589.138620649402,2172.901976958572,2173.187335110421,2603.4208089617887
20,54000,2172.9999999999995,2583.5491651830853,2172.6696097402328,2172.9999999999895,2583.5795352038967,2172.9999999999977,2583.6092037863327,2172.902873390199,2173.0505724049567,2598.4301471750623
20,54720,2172.9999999999995,2577.8413257684324,2172.791331718491,2172.9999999999895,2577.872643189263,2172.9999999999977,2577.903225042258,2172.8892777172346,2172.87063097098,2593.2509813618763
20,55440,2172.9999999999995,2571.9620801101146,2172.942354604696,2172.9999999999895,2571.9943137141063,2172.9999999999977,2572.025778350425,2172.857759319535,2172.6997943279093,2587.885637375297
20,56160,2172.9999999999995,2565.9181302615743,2173.0848112792705,2172.9999999999895,2565.9512416114817,2172.9999999999977,2565.9835515057193,2172.8292625574445,2172.5960772476337,2582.3380312277213
20,56880,2172.9999999999995,2559.7179709535685,2173.1989126601384,2172.9999999999895,2559.7519126103043,2172.9999999999977,2559.7850193608524,2172.8382286611445,2172.6036235258366,2576.6140185815134
20,57600,2172.9999999999995,2553.371807346771,2173.2824500050397,2172.9999999999895,2553.4065199264433,2172.9999999999977,2553.4403630578386,2172.9128386759435,2172.73490601924,2570.7215311230643
20,58320,2172.9999999999995,2546.8909299991383,2173.3372250251928,2172.9999999999895,2546.9263453566923,2172.9999999999977,2546.9608581112425,2173.0547276506295,2172.9622210488487,2564.6701691330873
20,59040,2172.9999999999995,2540.287406741334,2173.3532691558808,2172.9999999999895,2540.3234538649936,2172.9999999999977,2540.358569638441,2173.2316516427563,2173.225375639413,2558.4709076549016
20,59760,2172.9999999999995,2533.5735780200234,2173.3045735138962,2172.9999999999895,2533.610189481028,2172.9999999999977,2533.645846950474,2173.383503676368,2173.4482867130578,2552.135738871998
20,60480,2172.9999999999995,2526.7647715412613,2173.180210141214,2172.9999999999895,2526.8018689101614,2172.9999999999977,2526.837995084537,2173.4310398478997,2173.547285997798,2545.680911782456
20,61200,2172.9999999999995,2519.8808167198235,2173.0284581786905,2172.9999999999895,2519.918289810075,2172.9999999999977,2519.954780173059,2173.308094317207,2173.4513031261645,2539.1285989249864
20,61920,2172.9999999999995,2512.931400032609,2172.923110533713,2172.9999999999895,2512.9691858439865,2172.9999999999977,2513.005977005763,2173.098948833586,2173.2287606397567,2532.488169467522
20,62640,2172.9999999999995,2505.9148373189964,2172.9222078085604,2172.9999999999895,2505.952876301619,2172.9999999999977,2505.9899204045814,2172.955257493963,2173.023977774992,2525.7548474665887
20,63360,2172.9999999999995,2498.8456912397323,2172.917830802682,2172.9999999999895,2498.8839636400526,2172.9999999999977,2498.921254534439,2172.847879606243,2172.8544941348428,2518.9521765204745
20,64080,2172.9999999999995,2491.727973683678,2172.909619778509,2172.9999999999895,2491.766494941158,2172.9999999999977,2491.8040454801608,2172.7796617689473,2172.7306225683883,2512.08579482193
20,64800,2172.9999999999995,2484.5707946856483,2172.895686793328,2172.9999999999895,2484.6095851206865,2172.9999999999977,2484.647411367648,2172.7434151342427,2172.651831604576,2505.166718968892
20,65520,2172.9999999999995,2477.366080479251,2172.8701846211898,2172.9999999999895,2477.4051752853,2172.9999999999977,2477.4433041424572,2172.756817623412,2172.6520203994887,2498.1799053724803
20,66240,2172.9999999999995,2470.1147700965853,2172.8319672568273,2172.9999999999895,2470.1541458873603,2172.9999999999977,2470.192546246573,2172.8125639217133,2172.7309848452264,2491.122360006318
20,66960,2172.9999999999995,2462.821064079399,2172.7951274080724,2172.9999999999895,2462.8606467185346,2172.9999999999977,2462.8992398483683,2172.8743233909804,2172.849349601924,2483.9891066636637
20,67680,2172.9999999999995,2455.4977647909,2172.8127460393844,2172.9999999999895,2455.5374610912677,2172.9999999999977,2455.576137186767,2172.875990659606,2172.9127128297127,2476.7759229186017
20,68400,2172.9999999999995,2448.156862823466,2172.8860254488527,2172.9999999999895,2448.1966131279523,2172.9999999999977,2448.2352967891998,2172.8313536900937,2172.9090702676212,2469.4912933524665
20,69120,2172.9999999999995,2440.8172078483826,2172.998275005383,2172.9999999999895,2440.856949226817,2172.9999999999977,2440.8955786603724,2172.7840582752274,2172.841693642704,2462.152496025029
20,69840,2172.9999999999995,2433.496143125609,2173.1029935490574,2172.9999999999895,2433.535746947324,2172.9999999999977,2433.574216892854,2172.768182371931,2172.7323782112626,2454.7821639686495
20,70560,2172.9999999999995,2426.2133404070414,2173.158301802821,2172.9999999999895,2426.2526943641815,2172.9999999999977,2426.290897703663,2172.811202594566,2172.6375377184213,2447.4103805076065
20,71280,2172.9999999999995,2418.9871291006602,2173.1412924922797,2172.9999999999895,2419.0261580374495,2172.9999999999977,2419.064017463238,2172.8972101796794,2172.612288744085,2440.068475160514
20,72000,2172.9999999999995,2411.833079425875,2173.049310846147,2172.9999999999895,2411.871695437797,2172.9999999999977,2411.909141591369,2172.9866102622714,2172.688701428526,2432.785578753389
