hours,max_ff,time,inlet_T,outlet_T,mass_flow,SOC,power
50,5,65325.451257100576,2672.9999999999995,2659.296086921204,0.1223849055257927,0.9551627196540183,402.5165057957015
50,5,67125.45125710058,2672.9999999999995,2661.958069351061,0.1223849055257925,0.9563999480680694,324.3277534302439
50,5,68925.45125710058,2672.9999999999995,2664.147129856661,0.1223849055257925,0.9573946368369354,260.02984226989753
50,5,70725.45125710058,2672.9999999999995,2665.923174325361,0.1223849055257924,0.9581910805755298,207.8631939871586
50,5,72525.45125710058,2672.9999999999995,2667.371583287875,0.1223849055257925,0.9588263099522795,165.31997941755162
50,5,74325.45125710058,2672.9999999999995,2668.5446796572264,0.1223849055257927,0.9593304708182981,130.86335021698338
50,5,76125.45125710058,2672.9999999999995,2669.48856061731,0.1223849055257927,0.9597287882734922,103.13932250639563
50,5,77925.45125710058,2672.9999999999995,2670.2370379469075,0.1223849055257925,0.9600424921755665,81.15476396136329
50,5,79725.45125710058,2672.9999999999995,2670.8365382640977,0.1223849055257927,0.960288800669165,63.5460144376828
50,5,81525.45125710058,2672.9999999999995,2671.3135686156,0.1223849055257926,0.9604812854036482,49.53449895730806
50,5,83325.45125710058,2672.9999999999995,2671.690674920864,0.1223849055257927,0.9606310655064826,38.45799026701947
50,5,85125.45125710058,2672.9999999999995,2671.983996485751,0.1223849055257926,0.9607473259435642,29.842438585242103
50,10,0.0,2672.9999999999995,2173.0000042993925,0.2447700317533753,0.0,29372.403557838024
50,10,0.3742420935345791,2672.9999999999995,2173.000004430367,0.2447698111150699,2.0790164994280427e-05,29372.37707354754
50,10,0.7484841870691583,2672.9999999999995,2173.000004553026,0.2447698110230275,4.1580320609136894e-05,29372.377055296878
50,10,1.4969683741383166,2672.9999999999995,2173.000004784876,0.2447698113346752,8.316063184276196e-05,29372.37707907462
50,10,2.9939367482766333,2672.9999999999995,2173.0000051989027,0.24476981116715804,0.0001663212542807848,29372.37703465067
50,10,4.49090512241495,2672.9999999999995,2173.0000055642513,0.2447698110690034,0.00024948187660886326,29372.377001409805
50,10,5.9878734965532665,2672.9999999999995,2173.000005891145,0.2447698110511302,0.00033264249885966415,29372.376980061726
50,10,8.9818102448299,2672.9999999999995,2173.0000064661413,0.2447698110597711,0.0004989637432081258,29372.376947320623
50,10,11.975746993106531,2672.9999999999995,2173.0000069395833,0.2447698110522582,0.0006652849873825931,29372.376918606842
50,10,17.9636204896598,2672.9999999999995,2173.000007741304,0.2447698110510112,0.0009979274753014022,29372.376871360302
50,10,29.93936748276633,2672.9999999999995,2173.0000089989903,0.2447698110514626,0.001663212449767846,29372.376797532004
50,10,41.91511447587287,2672.9999999999995,2173.0000101505407,0.2447698110516509,0.002328497422632331,29372.37672990706
50,10,65.86660846208594,2672.9999999999995,2173.0000424480327,0.2447698110516027,0.00365906732385539,29372.374832593032
50,10,89.818102448299,2672.9999999999995,2173.000197370613,0.2447698110515792,0.004989636975968848,29372.36573170124
50,10,137.72109042072515,2672.9999999999995,2173.004379852755,0.244769811051583,0.007650764737754704,29372.12003281443
50,10,185.62407839315128,2672.9999999999995,2173.015842724918,0.2447698110515858,0.010311850865063341,29371.446649201935
50,10,281.4300543380035,2672.9999999999995,2173.102277413788,0.2447698110515855,0.01563350208146078,29366.36906461076
50,10,377.23603028285584,2672.9999999999995,2173.2472230597514,0.2447698110515853,0.020953921826956382,29357.854268200703
50,10,568.8479821725603,2672.9999999999995,2173.768889901226,0.2447698110515852,0.03158766552148184,29327.209077587984
50,10,760.4599340622647,2672.9999999999995,2174.407784485079,0.2447698110515854,0.042209055550549025,29289.67737201083
50,10,1143.6838378416735,2672.9999999999995,2176.050151955054,0.2447698110515855,0.06340326954811888,29193.19689793811
50,10,1910.1316454004918,2672.9999999999995,2180.4711479322496,0.2447698110515851,0.10553353020478404,28933.486573938546
50,10,3443.027260518128,2672.9999999999995,2194.323410786801,0.2447698110515852,0.18823796515154462,28119.738791167645
50,10,4975.922875635764,2672.9999999999995,2213.06423770045,0.2447698110515852,0.2681668873613782,27018.813512142606
50,10,6508.8184907534005,2672.9999999999995,2236.0616926493053,0.2447698110515854,0.3445415244834613,25667.833663542955
50,10,8308.818490753401,2672.9999999999995,2266.794114803896,0.2447698110515856,0.4288515980164904,23862.46506419817
50,10,10108.8184907534,2672.9999999999995,2300.943818090864,0.2447698110515852,0.5066737934198797,21856.349123153588
50,10,11908.818490753401,2672.9999999999995,2337.638617409908,0.244769811051585,0.5774119037083826,19700.722140138005
50,10,13708.818490753401,2672.9999999999995,2375.5944750915546,0.2447698110515854,0.6406853330601573,17471.014593009037
50,10,15508.818490753401,2672.9999999999995,2413.37995587504,0.2447698110515856,0.6963850189503344,15251.315794960947
50,10,17308.8184907534,2672.9999999999995,2449.435795781579,0.2447698110515851,0.7447009533633804,13133.224325865778
50,10,19108.8184907534,2672.9999999999995,2483.0241285077364,0.2447698110515851,0.7860528294721479,11160.085960685154
50,10,20908.8184907534,2672.9999999999995,2513.6222925737165,0.2447698110515853,0.8209863867308189,9362.604319815871
