% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk.mph
% Version,COMSOL 6.0.0.405
% Date,"Mar 26 2024, 13:19"
% Table,Accumulated Probe Table 2 - 
% k_C (W/(m*K)),D_C (m),H (m),k_Sn (W/(m*K)),U_Sn (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
10,0.2,1,60,0.01,14334.441920830628,2173.0000000000005,2514.9728722756195,2382.408772597704,2339.8695482078233,2545.3572376537463
10,0.2,1,60,0.01,14561.972744970797,2173.0000000000005,2510.7494607213216,2378.933174321572,2336.9201735202,2541.231462707122
10,0.2,1,60,0.01,14789.503569110966,2173.0000000000005,2506.528012405469,2375.5011961239948,2334.014775798806,2537.0872516589066
10,0.2,1,60,0.01,15017.034393251135,2173.0000000000005,2502.3092843892077,2372.112818778902,2331.152481492671,2532.927292417865
10,0.2,1,60,0.01,15244.565217391304,2173.0000000000005,2498.0942990958233,2368.767988145774,2328.332694507445,2528.7541672055722
10,0.2,1,60,0.01,15472.096041531471,2173.0000000000005,2493.8861044328273,2365.466601378419,2325.555166875834,2524.570420533832
10,0.2,1,60,0.01,15699.62686567164,2173.0000000000005,2489.6884771657724,2362.2085297408976,2322.8197795066076,2520.3786102746312
10,0.2,1,60,0.01,15927.15768981181,2173.0000000000005,2485.5033395525447,2358.9936472489508,2320.1262762406104,2516.1812658041813
10,0.2,1,60,0.01,16154.688513951978,2173.0000000000005,2481.330238250351,2355.821836290905,2317.474187896349,2511.9807869335373
10,0.2,1,60,0.01,16382.219338092147,2173.0000000000005,2477.1684205837423,2352.692969819784,2314.86317586845,2507.779387206762
10,0.2,1,60,0.01,16609.750162232314,2173.0000000000005,2473.0195148479056,2349.6068881318974,2312.2931259339857,2503.5791506099263
10,0.2,1,60,0.01,16837.280986372483,2173.0000000000005,2468.8881376546783,2346.563392431339,2309.763710669597,2499.3821570138534
10,0.2,1,60,0.01,17064.811810512652,2173.0000000000005,2464.779045913655,2343.5622578814678,2307.2741326545192,2495.190545454454
10,0.2,1,60,0.01,17292.34263465282,2173.0000000000005,2460.6939051910467,2340.6032510113555,2304.823507759285,2491.00645069697
10,0.2,1,60,0.01,17519.87345879299,2173.0000000000005,2456.6312487963387,2337.686138219527,2302.4115367442764,2486.831880482166
10,0.2,1,60,0.01,17747.40428293316,2173.0000000000005,2452.5894680787555,2334.810681032198,2300.0386113912705,2482.6686550356135
10,0.2,1,60,0.01,17974.93510707333,2173.0000000000005,2448.5695045572625,2331.9766307624363,2297.7049571845787,2478.5184626213545
10,0.2,1,60,0.01,18202.465931213497,2173.0000000000005,2444.5746995935524,2329.183726735018,2295.4097783397146,2474.3829637243293
10,0.2,1,60,0.01,18429.996755353666,2173.0000000000005,2440.6081858184584,2326.43169306603,2293.1514342767528,2470.2638348210376
10,0.2,1,60,0.01,18657.527579493835,2173.0000000000005,2436.6711384824057,2323.720234104616,2290.9287273866694,2466.1627209041517
10,0.2,1,60,0.01,18885.058403634004,2173.0000000000005,2432.7634501835973,2321.0490319569,2288.7420304190864,2462.081163905761
10,0.2,1,60,0.01,19112.58922777417,2173.0000000000005,2428.885600521272,2318.417753033533,2286.592678995677,2458.0205909365513
10,0.2,1,60,0.01,19340.12005191434,2173.0000000000005,2425.0391187114033,2315.826066691303,2284.4809285661377,2453.982363013547
10,0.2,1,60,0.01,19567.650876054508,2173.0000000000005,2421.2253162046586,2313.2736525830514,2282.4050585267373,2449.967814184981
10,0.2,1,60,0.01,19795.181700194677,2173.0000000000005,2417.4441652071623,2310.7601920806374,2280.36257203098,2445.9782302829863
10,0.2,1,60,0.01,20022.712524334846,2173.0000000000005,2413.699216416813,2308.2919079439894,2278.3572994144834,2442.0192290329323
10,0.2,1,60,0.01,20250.243348475014,2173.0000000000005,2409.9832195697445,2305.8577645427686,2276.3829815193817,2438.0847480904126
10,0.2,1,60,0.01,20477.774172615183,2173.0000000000005,2406.3083646823407,2303.4656975048542,2274.4494797029656,2434.181878410536
10,0.2,1,60,0.01,20705.304996755352,2173.0000000000005,2402.6679553787094,2301.1068137561106,2272.54565118416,2430.3052483886518
10,0.2,1,60,0.01,20932.83582089552,2173.0000000000005,2399.0628157474066,2298.783075457605,2270.6710748269197,2426.457514005289
10,0.2,1,60,0.01,21160.36664503569,2173.0000000000005,2395.4919532490926,2296.4957013942544,2268.826485509329,2422.640685624389
10,0.2,1,60,0.01,21387.89746917586,2173.0000000000005,2391.954623828737,2294.2446429709335,2267.013308191432,2418.8557247830504
10,0.2,1,60,0.01,21615.42829331603,2173.0000000000005,2388.4525520735724,2292.0295883791255,2265.2329307899718,2415.1033425699866
10,0.2,1,60,0.01,21842.959117456194,2173.0000000000005,2384.9889664446,2289.850159884973,2263.4850837766326,2411.384233340645
10,0.2,1,60,0.01,22070.489941596363,2173.0000000000005,2381.566070013074,2287.705956179324,2261.767898403923,2407.699129975676
10,0.2,1,60,0.01,22298.02076573653,2173.0000000000005,2378.1835444260596,2285.596569205477,2260.079544895416,2404.048750713521
10,0.2,1,60,0.01,22525.5515898767,2173.0000000000005,2374.8392983850226,2283.5215982487953,2258.419618358457,2400.4337152908574
10,0.2,1,60,0.01,22753.08241401687,2173.0000000000005,2371.5318865370987,2281.4806518540554,2256.7889461611676,2396.854519308845
10,0.2,1,60,0.01,22980.61323815704,2173.0000000000005,2368.2619395165857,2279.4733375452774,2255.188132946774,2393.311586495374
10,0.2,1,60,0.01,23208.144062297208,2173.0000000000005,2365.0312472398805,2277.499254111108,2253.616503913734,2389.805335854394
10,0.2,1,60,0.01,23435.674886437377,2173.0000000000005,2361.840682703641,2275.557994420731,2252.0725621386564,2386.33619388396
10,0.2,1,60,0.01,23663.205710577546,2173.0000000000005,2358.6895027976343,2273.649153376124,2250.5552958016974,2382.904548501035
10,0.2,1,60,0.01,23890.736534717715,2173.0000000000005,2355.5766570675846,2271.772331970726,2249.0647556247554,2379.5107069267947
10,0.2,1,60,0.01,24118.267358857884,2173.0000000000005,2352.502542714293,2269.927127406303,2247.6013813747154,2376.15491341181
10,0.2,1,60,0.01,24345.798182998053,2173.0000000000005,2349.46884680698,2268.1131241933854,2246.1649656847558,2372.8374070974787
10,0.2,1,60,0.01,24573.32900713822,2173.0000000000005,2346.4764734284076,2266.3299005638282,2244.7544843631485,2369.558446969769
10,0.2,1,60,0.01,24800.859831278387,2173.0000000000005,2343.5242731205212,2264.577043673235,2243.368954163833,2366.3182727195713
10,0.2,1,60,0.01,25028.390655418556,2173.0000000000005,2340.6100386643047,2262.854159897593,2242.0081353080577,2363.1170391196047
10,0.2,1,60,0.01,25255.921479558725,2173.0000000000005,2337.7325856926004,2261.160866763911,2240.6722847693263,2359.9547956525007
10,0.2,1,60,0.01,25483.452303698894,2173.0000000000005,2334.8928115322433,2259.4967749395432,2239.3612943743983,2356.8315397901115
10,0.2,1,60,0.01,25710.983127839063,2173.0000000000005,2332.0928115209754,2257.861476267392,2238.0743462124647,2353.7472974665243
10,0.2,1,60,0.01,25938.513951979232,2173.0000000000005,2329.3337852524855,2256.2545503332567,2236.8104892300075,2350.7021503607793
10,0.2,1,60,0.01,26166.0447761194,2173.0000000000005,2326.6148996644215,2254.6755847531012,2235.5693944403283,2347.696186657204
10,0.2,1,60,0.01,26393.57560025957,2173.0000000000005,2323.93412945816,2253.124187314554,2234.351283327229,2344.729425033084
