% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 10:00"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,2.5,14256,2673.0000000000014,2593.2649638237085,2661.6095755295783,2672.999999999996,2593.2135339278857,2673.0000000000023,2593.1659968844647,2655.893624960192,2646.669427238463,2536.2103605829657,38.958333333333385,-758888.7279488747
4,2.5,14400,2673.0000000000014,2595.560697602608,2662.0336442131465,2672.999999999996,2595.5144552337842,2673.0000000000023,2595.4703261679406,2656.5370580639956,2647.636254368322,2539.8437540877308,38.958333333333385,-736984.1578350576
4,5,0,2673.0000000000014,2172.999999999992,2173.1920879963764,2672.999999999996,2172.999999999961,2673.0000000000027,2172.999999999998,2173.0000004879917,2173.000000001063,2173.0000000000123,15.583333333333721,-1901166.6666666374
4,5,144,2673.0000000000014,2173.025513150731,2194.106079826926,2672.999999999996,2173.0226996783103,2673.0000000000027,2173.019911408273,2183.0389713292548,2177.0818665095935,2173.0016724134202,15.583967432984007,-1901168.313931864
4,5,288,2673.0000000000014,2173.7910598932185,2212.780474048094,2672.999999999996,2173.738418247743,2673.0000000000027,2173.686199671807,2195.2756795790438,2184.561946772586,2173.0445103893485,15.604984539455591,-1901195.3288077337
4,5,432,2673.0000000000014,2175.3433654347346,2230.7124114383896,2672.999999999996,2175.258774970866,2673.0000000000027,2175.1745574840143,2207.364509485485,2192.2055215560467,2173.18223621529,15.651303913797104,-1901154.6204284602
4,5,576,2673.0000000000014,2176.668428206135,2247.741756239148,2672.999999999996,2176.6016933135807,2673.0000000000027,2176.535051694623,2219.246257500814,2199.9574060779582,2173.4281551463023,15.694037714241675,-1901135.6678908258
4,5,720,2673.0000000000014,2177.763976851967,2264.0948263930964,2672.999999999996,2177.708645819275,2673.0000000000027,2177.653281637835,2230.948732924698,2207.7792313262917,2173.7333141446074,15.729601737040094,-1901152.0107870523
4,5,864,2673.0000000000014,2178.8287634600733,2279.7998159146173,2672.999999999996,2178.774829584796,2673.0000000000027,2178.720969019458,2242.4613194893195,2215.651801202543,2174.090407780004,15.76375993538681,-1901173.8204553055
4,5,1008,2673.0000000000014,2179.937109393694,2294.900453262231,2672.999999999996,2179.879970334494,2673.0000000000027,2179.8229696805,2253.784455312855,2223.562137596413,2174.497286454719,15.798274323386678,-1901088.427655197
4,5,1152,2673.0000000000014,2181.1036584607173,2309.5043786648716,2672.999999999996,2181.042699581489,2673.0000000000027,2180.981877288794,2264.94135637789,2231.4937586715055,2174.946575333508,15.834610278956225,-1900983.314488925
4,5,1296,2673.0000000000014,2182.3682048457745,2323.410149132267,2672.999999999996,2182.302978467706,2673.0000000000027,2182.2379111656446,2275.8599589493238,2239.4595663750683,2175.4633450005294,15.875788094469211,-1901061.3222204167
4,5,1440,2673.0000000000014,2183.7094290548844,2336.8284181385834,2672.999999999996,2183.6397149317395,2673.0000000000027,2183.570276702396,2286.599492387127,2247.4352194965613,2176.0303667375374,15.91824738089043,-1900970.6722868402
4,5,1584,2673.0000000000014,2185.146176655939,2349.681194809823,2672.999999999996,2185.071833862032,2673.0000000000027,2184.9979362837357,2297.123366016735,2255.420085990685,2176.661333725601,15.965604528279195,-1901064.501819738
4,5,1728,2673.0000000000014,2186.678083315876,2362.0005955284673,2672.999999999996,2186.5990279675602,2673.0000000000027,2186.5205966401645,2307.4328384685105,2263.4004618753534,2177.3571853625704,16.014857384356315,-1900979.1767171451
4,5,1872,2673.0000000000014,2188.325321875455,2373.731841752211,2672.999999999996,2188.241601062224,2673.0000000000027,2188.1585852578983,2317.4915216839076,2271.3676645234154,2178.133589569545,16.069745184420192,-1901071.8295011967
4,5,2016,2673.0000000000014,2190.077514620116,2384.959122074579,2672.999999999996,2189.989022840443,2673.0000000000027,2189.901330867977,2327.3262781358535,2279.313581794142,2178.9844994338846,16.128007441963334,-1901106.2191550916
4,5,2160,2673.0000000000014,2191.9115292876586,2395.812747645691,2672.999999999996,2191.818401847948,2673.0000000000027,2191.7261795946683,2336.983950274671,2287.227854374159,2179.8923908041816,16.187553712035605,-1900917.5795938533
4,5,2304,2673.0000000000014,2193.8564364147283,2406.206831306374,2672.999999999996,2193.75849035657,2673.0000000000027,2193.661490694439,2346.4168651261643,2295.103594843931,2180.8792058079653,16.253761316986107,-1901017.107751291
4,5,2448,2673.0000000000014,2195.9158200347847,2416.1493817505875,2672.999999999996,2195.8128860781794,2673.0000000000027,2195.710982868862,2355.623465159106,2302.9352079524137,2181.9490802252285,16.32430147481651,-1901103.9927291998
4,5,2592,2673.0000000000014,2198.0850901814774,2425.687124560333,2672.999999999996,2197.977130906769,2673.0000000000027,2197.8703352587395,2364.6173875540794,2310.7154884673528,2183.0997547623156,16.398652101418254,-1901122.6023378347
4,5,2736,2673.0000000000014,2200.350294893743,2434.885035110107,2672.999999999996,2200.237385316118,2673.0000000000027,2200.1257694375963,2373.4267421926515,2318.4438396555324,2184.3207242591034,16.475929012401735,-1901014.3101077373
4,5,2880,2673.0000000000014,2202.7302546311935,2443.7164601699374,2672.999999999996,2202.6123490772266,2673.0000000000027,2202.495846686273,2382.028564514494,2326.1094790711304,2185.6244303454114,16.559242359565886,-1901050.9226405667
