% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_topbottom_charge.mph
% Version,COMSOL 6.0.0.405
% Date,"Jan 19 2024, 21:48"
% Table,Accumulated Probe Table 2 - 
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,2880,2673.0000000000023,2197.6017864785754,2492.945927112343,2672.999999999995,2197.591808864845,2673.0000000000014,2197.5818098354653,2485.2713318774304,2476.3468963432283,2181.506403150765
4,3024,2673.0000000000023,2199.470713883247,2501.809873004076,2672.999999999995,2199.4604289578383,2673.0000000000014,2199.4501065234067,2494.22085280686,2485.353156862288,2182.426423977703
4,3168,2673.0000000000023,2201.4001163408334,2510.2746085739564,2672.999999999995,2201.389618491586,2673.0000000000014,2201.379018544826,2502.764221598086,2493.9708944801473,2183.3980646447076
4,3312,2673.0000000000023,2203.3904981455757,2518.368253319461,2672.999999999995,2203.3797776572233,2673.0000000000014,2203.368894982869,2510.922299023022,2502.2156892616995,2184.422418144984
4,3456,2673.0000000000023,2205.4422843855355,2526.089466899384,2672.999999999995,2205.43119384175,2673.0000000000014,2205.4199590576286,2518.7014510169333,2510.0905026525616,2185.5002773304595
4,3600,2673.0000000000023,2207.556571633065,2533.420409441255,2672.999999999995,2207.545001601784,2673.0000000000014,2207.533359492523,2526.0994439315305,2517.591082684639,2186.634659009749
4,3744,2673.0000000000023,2209.7333745194014,2540.378088317537,2672.999999999995,2209.7213513352194,2673.0000000000014,2209.709314392442,2533.135418032179,2524.734780476579,2187.8263554526065
4,3888,2673.0000000000023,2211.971382827664,2546.9623163017495,2672.999999999995,2211.959012949294,2673.0000000000014,2211.946639994544,2539.820759341311,2531.5348209484355,2189.074326922137
4,4032,2673.0000000000023,2214.2695547306043,2553.1620824955266,2672.999999999995,2214.256930132539,2673.0000000000014,2214.2442715768366,2546.159081704979,2537.997642074773,2190.379778840439
4,4176,2673.0000000000023,2216.626254109914,2559.016619178874,2672.999999999995,2216.613433060217,2673.0000000000014,2216.600516839928,2552.1799126532587,2544.153391076103,2191.742339376946
4,4320,2673.0000000000023,2219.0390004719447,2564.55213688858,2672.999999999995,2219.0259639330266,2673.0000000000014,2219.012782065519,2557.9032257517392,2550.0249746447366,2193.1592338197033
4,4464,2673.0000000000023,2221.506411771284,2569.775800479796,2672.999999999995,2221.493036891236,2673.0000000000014,2221.4795385235943,2563.334504017811,2555.6200815122465,2194.630689436708
4,4608,2673.0000000000023,2224.027327330167,2574.7458165122343,2672.999999999995,2224.013481725971,2673.0000000000014,2223.999610753408,2568.506830817113,2560.9684080815578,2196.157073156758
4,4752,2673.0000000000023,2226.5993197218577,2579.4960990131453,2672.999999999995,2226.5851702570176,2673.0000000000014,2226.571015534825,2573.441213387928,2566.088014405008,2197.7361812027134
4,4896,2673.0000000000023,2229.2216422227298,2584.0204757097868,2672.999999999995,2229.2073040548976,2673.0000000000014,2229.192923279509,2578.1370199270573,2570.974348727605,2199.3689790114922
4,5040,2673.0000000000023,2231.894414888337,2588.36182833848,2672.999999999995,2231.879924330981,2673.0000000000014,2231.86532672772,2582.623727508406,2575.647422657492,2201.0576710004693
4,5184,2673.0000000000023,2234.6165274028053,2592.5327306558866,2672.999999999995,2234.6018388850775,2673.0000000000014,2234.5870059105528,2586.916610187089,2580.1175928631337,2202.8007862624922
4,5328,2673.0000000000023,2237.387058130818,2596.4952509791065,2672.999999999995,2237.372082865653,2673.0000000000014,2237.3569774137145,2591.0022765564836,2584.3714938982926,2204.598685395887
4,5472,2673.0000000000023,2240.2059144885357,2600.2759641426296,2672.999999999995,2240.190538283289,2673.0000000000014,2240.175100830912,2594.903384295714,2588.429375773305,2206.4534924918994
4,5616,2673.0000000000023,2243.0712296758843,2603.880677957145,2672.999999999995,2243.055460239704,2673.0000000000014,2243.039703919033,2598.630024234333,2592.305710908002,2208.3627747717355
