% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_charge_constP.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 2 2024, 12:44"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
4,7.5,7344,2673.0000000000014,2338.947443230721,2603.849110932547,2672.999999999996,2338.710631705759,2673.0000000000023,2338.4744552828056,2565.875296368932,2519.586228082858,2272.6632703664313,23.298553977659193,-1901726.596361723
4,7.5,7488,2673.0000000000014,2345.809754429667,2606.4171441473427,2672.999999999996,2345.57025777669,2673.0000000000023,2345.3316451613377,2569.6717905941655,2524.4313836252704,2277.2715175202634,23.79438046867352,-1902386.3826282602
4,7.5,7632,2673.0000000000014,2352.859769266398,2608.8521983476558,2672.999999999996,2352.6179930517865,2673.0000000000023,2352.377383284117,2573.338432282377,2529.172203242623,2282.014968837234,24.320073260711272,-1902605.988727244
4,7.5,7776,2673.0000000000014,2360.0974877409144,2611.1542735908565,2672.999999999996,2359.853837531064,2673.0000000000023,2359.6116696511417,2576.875221559707,2533.808687038081,2286.8936246624203,24.87563235384503,-1902158.825097274
4,7.5,7920,2673.0000000000014,2367.522909853215,2613.3233699311872,2672.999999999996,2367.2777912145057,2673.0000000000023,2367.034504262413,2580.2821585479196,2538.340835114154,2291.9074853456023,25.46105774815502,-1900810.058043726
4,7.5,8064,2673.0000000000014,2375.2195179598007,2615.4112476658447,2672.999999999996,2374.9706791972108,2673.0000000000023,2374.72442585604,2583.570274508269,2542.747806114559,2297.1093930652264,26.120211095176302,-1901009.1145265847
4,7.5,8208,2673.0000000000014,2383.1539239112153,2617.416771712348,2672.999999999996,2382.902124635002,2673.0000000000023,2382.654307997456,2586.744565220066,2547.039167921012,2302.484027163293,26.836543733484184,-1901217.4661460693
4,7.5,8352,2673.0000000000014,2391.327293357461,2619.366101093578,2672.999999999996,2391.075789239791,2673.0000000000023,2390.830817326546,2589.8174147720533,2551.2162317378497,2308.0396828948533,27.611959637411925,-1901063.5562276456
4,7.5,8496,2673.0000000000014,2399.7191829243034,2621.2688458954576,2672.999999999996,2399.469206214065,2673.0000000000023,2399.22502550263,2592.8027338184656,2555.2944039755607,2313.7598556449548,28.462570061467027,-1901330.8118205292
4,7.5,8640,2673.0000000000014,2408.327393655521,2623.122089924424,2672.999999999996,2408.0804281238875,2673.0000000000023,2407.8366449725304,2595.6983288457063,2559.2720816089727,2319.6447463630752,29.386316206114888,-1901290.5040950323
4,7.5,8784,2673.0000000000014,2417.1067927481786,2624.934865674699,2672.999999999996,2416.863934406675,2673.0000000000023,2416.6234587904387,2598.516937448104,2563.1618667386533,2325.6756521337593,30.397524812949243,-1901543.7945815208
4,7.5,8928,2673.0000000000014,2426.0817985252443,2626.7043031180883,2672.999999999996,2425.843563919447,2673.0000000000023,2425.6074331944124,2601.2572479095898,2566.9631311771464,2331.854739828215,31.499877758080288,-1901451.889482436
4,7.5,9072,2673.0000000000014,2435.2796603493703,2628.430814285127,2672.999999999996,2435.044506547034,2673.0000000000023,2434.811513220124,2603.9277859462236,2570.6862543086363,2338.170195610282,32.717947945256654,-1901501.396835925
4,7.5,9216,2673.0000000000014,2444.6939121250434,2630.1127132408315,2672.999999999996,2444.4615685488966,2673.0000000000023,2444.231729003531,2606.5271957715436,2574.3297085925183,2344.624421012251,34.0606054069957,-1901244.5371643447
4,7.5,9360,2673.0000000000014,2454.329611791747,2631.7479744972193,2672.999999999996,2454.1004627681873,2673.0000000000023,2453.874291503511,2609.0579430492344,2577.8966585854473,2351.214691065416,35.55186829195153,-1900840.1119946206
4,7.5,9504,2673.0000000000014,2464.208754310375,2633.3295632560416,2672.999999999996,2463.983552975688,2673.0000000000023,2463.7617404184425,2611.5204134149576,2581.3880618058397,2357.946964561256,37.23948390966919,-1901229.6514375692
4,7.5,9648,2673.0000000000014,2474.333556116064,2634.8547485892764,2672.999999999996,2474.1127099999985,2673.0000000000023,2473.8956289576536,2613.9137551606213,2584.8033537940687,2364.8229737383685,39.132338086146795,-1901106.3731421141
4,7.5,9792,2673.0000000000014,2484.711010446881,2636.3078025179357,2672.999999999996,2484.4954345248725,2673.0000000000023,2484.2844483863155,2616.233644806243,2588.1390485198026,2371.857249000027,41.287942551462756,-1901169.1522765695
4,7.5,9936,2673.0000000000014,2495.320561859571,2637.708127028157,2672.999999999996,2495.115538718592,2673.0000000000023,2494.9123462612247,2618.4844225724173,2591.395682405681,2379.0537415452322,43.751801291214754,-1901163.9758663734
4,7.5,10080,2673.0000000000014,2506.1855228668246,2639.0690742821184,2672.999999999996,2505.986493430235,2673.0000000000023,2505.7923414278857,2620.6710015392614,2594.576289507645,2386.409229352162,46.599468761726385,-1901196.2872137174
4,7.5,10224,2673.0000000000014,2517.2963452043696,2640.387153204442,2672.999999999996,2517.109233684568,2673.0000000000023,2516.925183290737,2622.794634215254,2597.681987231399,2393.926354968906,49.924342472836805,-1901231.5545897058
4,7.5,10368,2673.0000000000014,2528.6726428439897,2641.663459535599,2672.999999999996,2528.4975448298123,2673.0000000000023,2528.324184370858,2624.8572247616903,2600.713895763329,2401.608706683045,53.88745034369554,-1902275.442678033
4,7.5,10512,2673.0000000000014,2540.3046255023683,2642.899112650405,2672.999999999996,2540.137393262465,2673.0000000000023,2539.969676576732,2626.859256797238,2603.672537030009,2409.4557964689348,58.569708736017496,-1901137.5402135998
4,7.5,10656,2673.0000000000014,2552.2300577057053,2644.0959702370624,2672.999999999996,2552.076820436532,2673.0000000000023,2551.92431278346,2628.8014772909373,2606.558611670308,2417.4675920555046,64.36002058585328,-1901353.8280950743
4,7.5,10800,2673.0000000000014,2564.4094267737823,2645.255017822576,2672.999999999996,2564.2628669754986,2673.0000000000023,2564.1186296212973,2630.686654463659,2609.3748672659467,2425.644274263908,71.56139296801288,-1901175.4179456807
4,7.5,10944,2673.0000000000014,2576.8929327588444,2646.3791930026155,2672.999999999996,2576.760150645077,2673.0000000000023,2576.630065136632,2632.5189497218107,2612.125548291903,2433.9799756447496,80.85422209003711,-1901227.5323633675
4,7.5,11088,2673.0000000000014,2589.648907296409,2647.4682359065673,2672.999999999996,2589.532603598543,2673.0000000000023,2589.417029959847,2634.297394321147,2614.8084549708337,2442.487169265992,93.22071612979518,-1901166.09490849
4,7.5,11232,2673.0000000000014,2602.7227038855494,2648.5232093138334,2672.999999999996,2602.622584633645,2673.0000000000023,2602.5232333187714,2636.023499943292,2617.4250773228714,2451.163967444247,110.5562180731679,-1901161.3278569826
4,7.5,11376,2673.0000000000014,2609.5194270600787,2649.541885758996,2672.999999999998,2609.506996547181,2673.000000000009,2609.4929609542623,2637.6886488038,2619.957584853911,2459.880924579842,116.87499999566033,-1811061.985919161
4,7.5,11520,2673.0000000000014,2612.1240254292443,2650.51647364275,2672.9999999999955,2612.108131774535,2673.0000000000055,2612.0932389085556,2639.26906432375,2622.3603295910316,2468.245244350928,116.875000006818,-1736908.5595259666
