% Model,LargeGraphiteBlockCharge_v3_rad_spacing_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 22 2023, 18:24"
% Table,Accumulated Probe Table 24 - 
% hours (h),rad_spac (m),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1,"Temperature (K), G_block"
5,0.02,2340,2672.9999999999995,2173.1984612805204,2240.3729675548566,2274.100213516126,2173.0274575096296,0.24229738871773054,5.233893360880596E8,2270.2340962064727
5,0.02,2430,2672.9999999999995,2173.231721116824,2242.946968483749,2276.6140801039305,2173.034166935097,0.24229738871773027,5.233893360880596E8,2272.7488702624346
5,0.02,2520,2672.9999999999995,2173.2693734064746,2245.520521302467,2279.138593689668,2173.0422513652256,0.24229738871773124,5.233893360880596E8,2275.2736515924
5,0.02,2610,2672.9999999999995,2173.3116632497486,2248.0945196401376,2281.668213590215,2173.0516473799958,0.24229738871773154,5.233893360880596E8,2277.803513902382
5,0.02,2700,2672.9999999999995,2173.3590273023037,2250.668934183179,2284.201208518722,2173.0624744966112,0.24229738871773104,5.233893360880596E8,2280.3374971810154
5,0.02,2790,2672.9999999999995,2173.409097025499,2253.242372731274,2286.7287494121942,2173.0746016072844,0.24229738871773046,5.233893360880596E8,2282.8659122385475
5,0.02,2880,2672.9999999999995,2173.4659956244072,2255.8162603276537,2289.2667187635375,2173.0886650730617,0.24229738871773088,5.233893360880596E8,2285.40432962594
5,0.02,2970,2672.9999999999995,2173.5295534712595,2258.3907964152836,2291.8074183599833,2173.104620648203,0.2422973887177303,5.233893360880596E8,2287.945388393558
5,0.02,3060,2672.9999999999995,2173.6000113734513,2260.9655045660097,2294.348329327209,2173.1226646435143,0.2422973887177304,5.233893360880596E8,2290.4873740465646
5,0.02,3150,2672.9999999999995,2173.6846689900044,2263.541471318333,2296.897427517021,2173.143261328863,0.24229738871773088,5.233893360880596E8,2293.0370975922206
5,0.02,3240,2672.9999999999995,2173.77377474735,2266.1159039136282,2299.4361444110054,2173.1664413007916,0.24229738871773068,5.233893360880596E8,2295.576498471515
5,0.02,3330,2672.9999999999995,2173.868215299935,2268.6887398470494,2301.970301013124,2173.192579665242,0.24229738871773068,5.233893360880596E8,2298.1118471339664
5,0.02,3420,2672.9999999999995,2173.9723365096256,2271.2610674623315,2304.50805355951,2173.2220510152943,0.24229738871773054,5.233893360880596E8,2300.650483695615
5,0.02,3510,2672.9999999999995,2174.082595293742,2273.8321651593155,2307.0427873175818,2173.2547742862475,0.24229738871773088,5.233893360880596E8,2303.18601046909
5,0.02,3600,2672.9999999999995,2174.200146031919,2276.402292932783,2309.5772742273793,2173.2910583674247,0.24229738871773096,5.233893360880596E8,2305.721671443468
5,0.02,3690,2672.9999999999995,2174.326018059856,2278.9717526463246,2312.112968957005,2173.331092622866,0.24229738871773063,5.233893360880596E8,2308.258622211221
