% Model,LargeGraphiteBlockDischarge_v3_longblock_sweep_LUDk_Ar.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 20 2024, 16:10"
% Table,Accumulated Probe Table 24 - 
% run_num,H (m),D_C (m),k_C (W/(m*K)),U_Ar (m/s),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block","Temperature (K), Sn_block","Temperature (K), bottom_right_corner"
1,2,0.2,30,25,411687.69230769225,2172.9999999999995,2206.280126636869,2199.784005267359,2193.145016203292,2209.683880882171
1,2,0.2,30,25,414276.92307692306,2172.9999999999995,2205.719349287314,2199.325018960033,2192.8021247253705,2209.053071798205
1,2,0.2,30,25,416866.1538461538,2172.9999999999995,2205.1696816494673,2198.8743874573142,2192.4688914816184,2208.4338467060124
1,2,0.2,30,25,419455.38461538457,2172.9999999999995,2204.627512738654,2198.4321826742907,2192.1416669294977,2207.82615501941
1,2,0.2,30,25,422044.6153846154,2172.9999999999995,2204.090978230497,2197.996877321522,2191.817571805252,2207.2278574367097
1,2,0.2,30,25,424633.8461538461,2172.9999999999995,2203.5629457649484,2197.5709966010018,2191.497812018731,2206.6424261443663
1,2,0.2,30,25,427223.0769230769,2172.9999999999995,2203.0451851980947,2197.151741158946,2191.1845464128214,2206.066136112786
1,2,0.2,30,25,429812.3076923077,2172.9999999999995,2202.5476163298395,2196.7419812168205,2190.8847552009643,2205.503039973451
1,2,0.2,30,25,432401.53846153844,2172.9999999999995,2202.0550533570668,2196.338339753766,2190.5873524397425,2204.94834481611
1,2,0.2,30,25,434990.7692307692,2172.9999999999995,2201.5644569391384,2195.943879935776,2190.289509422203,2204.4061435455733
1,2,0.2,30,25,437579.99999999994,2172.9999999999995,2201.0836488204345,2195.555130839475,2189.998903986806,2203.871812262942
1,2,0.2,30,25,440169.23076923075,2172.9999999999995,2200.6219249374612,2195.1750929632935,2189.720054229699,2203.3495433869584
1,2,0.2,30,25,442758.4615384615,2172.9999999999995,2200.165164848474,2194.800739617897,2189.4426839094726,2202.8350611817036
1,2,0.2,30,25,445347.69230769225,2172.9999999999995,2199.7116411770658,2194.4345499771175,2189.169332939602,2202.331716640201
1,2,0.2,30,25,447936.92307692306,2172.9999999999995,2199.265768414571,2194.073950521385,2188.902134994059,2201.8360642588214
1,2,0.2,30,25,450526.1538461538,2172.9999999999995,2198.8327553085096,2193.7211351700716,2188.6416303826472,2201.3511844039704
1,2,0.2,30,25,453115.38461538457,2172.9999999999995,2198.4098498383737,2193.3749536180603,2188.382421386173,2200.8754592666705
1,2,0.2,30,25,455704.6153846154,2172.9999999999995,2197.9931673623933,2193.0341544397643,2188.1264505920326,2200.407103785102
1,2,0.2,30,25,458293.8461538461,2172.9999999999995,2197.582910304451,2192.699508094419,2187.8763740956697,2199.947149101298
1,2,0.2,30,25,460883.0769230769,2172.9999999999995,2197.1777427825705,2192.37249325762,2187.6378653268903,2199.497577001687
1,2,0.2,30,25,463472.3076923077,2172.9999999999995,2196.779852116184,2192.050485676836,2187.4016490063736,2199.0549115682925
1,2,0.2,30,25,466061.53846153844,2172.9999999999995,2196.396081837929,2191.735654344204,2187.164003548061,2198.622242692702
1,2,0.2,30,25,468650.7692307692,2172.9999999999995,2196.0178493792346,2191.4265115584994,2186.9335461827177,2198.197369183106
1,2,0.2,30,25,471239.99999999994,2172.9999999999995,2195.6448116782713,2191.1231481977024,2186.709744641126,2197.7803802963517
1,2,0.2,30,25,473829.23076923075,2172.9999999999995,2195.2767815923307,2190.824496997839,2186.4890913504287,2197.369856253997
1,2,0.2,30,25,476418.4615384615,2172.9999999999995,2194.9150003786117,2190.5312146470105,2186.2711435839187,2196.9667314037324
1,2,0.2,30,25,479007.69230769225,2172.9999999999995,2194.560193716334,2190.2433454370484,2186.055828893771,2196.571084427735
1,2,0.2,30,25,481596.92307692306,2172.9999999999995,2194.2152830207992,2189.9619273157336,2185.8452474510664,2196.184348383102
1,2,0.2,30,25,484186.1538461538,2172.9999999999995,2193.878487478796,2189.685852856281,2185.6416310655463,2195.8049472236303
1,2,0.2,30,25,486775.38461538457,2172.9999999999995,2193.546450581335,2189.4141061921828,2185.4418538111636,2195.431471471367
1,2,0.2,30,25,489364.6153846154,2172.9999999999995,2193.2159425936984,2189.148441465101,2185.24200570814,2195.066285900798
1,2,0.2,30,25,491953.8461538461,2172.9999999999995,2192.893452286096,2188.887452145596,2185.046559733686,2194.7075412155273
1,2,0.2,30,25,494543.0769230769,2172.9999999999995,2192.5808234277883,2188.6313318967896,2184.85736630483,2194.355548930768
1,2,0.2,30,25,497132.30769230763,2172.9999999999995,2192.2737519123743,2188.379226397081,2184.671599249515,2194.0091056940646
1,2,0.2,30,25,499721.53846153844,2172.9999999999995,2191.971321789235,2188.1317095113145,2184.4885127262937,2193.66897029152
1,2,0.2,30,25,502310.7692307692,2172.9999999999995,2191.6719996707775,2187.889705271865,2184.3072220970707,2193.336344718722
1,2,0.2,30,25,504899.99999999994,2172.9999999999995,2191.3764662241456,2187.65145632939,2184.1287689773944,2193.0088245211878
1,2,0.2,30,25,507489.23076923075,2172.9999999999995,2191.0869611866146,2187.417483137521,2183.9546560994677,2192.6871495155046
1,2,0.2,30,25,510078.4615384615,2172.9999999999995,2190.8075310341173,2187.188745290242,2183.7866147601394,2192.3727253924044
1,2,0.2,30,25,512667.69230769225,2172.9999999999995,2190.533532788988,2186.963634738342,2183.6209600839616,2192.0633571954013
1,2,0.2,30,25,515256.92307692306,2172.9999999999995,2190.2641696169494,2186.7426322478254,2183.457030446341,2191.759686664795
1,2,0.2,30,25,517846.1538461538,2172.9999999999995,2189.9952132858543,2186.5266040398883,2183.294083876135,2191.4627402990104
2,4,0.4,30,12.5,0,2173,2660.0004312907554,2672.9476525136447,2567.9152613508363,2672.999999747428
2,4,0.4,30,12.5,10356.923076923076,2173,2657.3513547445104,2662.4082858123516,2556.7810496467523,2672.2670349408227
2,4,0.4,30,12.5,20713.846153846152,2173,2654.706856244493,2652.5487158017227,2547.869808324627,2671.231893765853
2,4,0.4,30,12.5,31070.769230769227,2173,2651.7618740634853,2643.148547770761,2539.4852789845518,2669.894661410947
2,4,0.4,30,12.5,41427.692307692305,2173,2648.556467482498,2634.0176182015816,2531.351087719478,2668.327752574159
2,4,0.4,30,12.5,51784.61538461538,2173,2645.100592591005,2625.1250522665946,2523.427896704233,2666.5240426201976
2,4,0.4,30,12.5,62141.538461538454,2173,2641.444311263729,2616.425372814645,2515.7198232860924,2664.4928785404877
2,4,0.4,30,12.5,72498.46153846153,2173,2637.5574566328673,2607.9389673354995,2508.2674821480755,2662.182474907485
2,4,0.4,30,12.5,82855.38461538461,2173,2633.4316212205376,2599.6530333542146,2501.0589702235743,2659.575996004708
2,4,0.4,30,12.5,93212.30769230769,2173,2629.057863128455,2591.5546192413008,2494.068279528334,2656.6634615050402
2,4,0.4,30,12.5,103569.23076923077,2173,2624.4443778345103,2583.6329020815506,2487.283492795936,2653.4414945107033
2,4,0.4,30,12.5,113926.15384615384,2173,2619.5866618325717,2575.9124752144626,2480.756179364968,2649.8520476322797
