hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
1,10,25992.0,2673,2672.998979584574,2672.9258898129488,2672.9999771752327,2672.880168898467,12.238490552579238,1.045300364501955,3.0971094484649018
1,10,26028.0,2673,2672.999091750281,2672.926843744516,2673.000028266864,2672.881677258093,12.238490552579243,1.0453005637870811,2.756670190227545
1,10,26064.0,2673,2672.999198954925,2672.927783950478,2673.000078108924,2672.883164628065,12.238490552579243,1.0453007404051062,2.43128848093418
1,10,26100.0,2673,2672.999306076207,2672.9287145476073,2673.0001278625664,2672.8846372618755,12.238490552579252,1.0453008948772604,2.106159786105111
1,10,26136.0,2673,2672.999416424629,2672.9296322959394,2673.000178068872,2672.886090115424,12.238490552579231,1.0453010268787035,1.771236252574895
1,10,26172.0,2673,2672.9995271598395,2672.9305407238066,2673.000227852724,2672.887528613421,12.238490552579234,1.0453011360360152,1.4351387594796368
1,10,26208.0,2673,2672.9996356513643,2672.931438636336,2673.000276574182,2672.888950942745,12.238490552579231,1.0453012225410654,1.1058511792477068
1,10,26244.0,2673,2672.999740228266,2672.9323258139952,2673.000324048563,2672.8903567934813,12.238490552579231,1.0453012870301794,0.7884450499942398
1,10,26280.0,2673,2672.999839919649,2672.933200236347,2673.000370299769,2672.8917430766005,12.238490552579265,1.0453013304126588,0.4858671826589434
1,10,26316.0,2673,2672.999939266754,2672.9340657259822,2673.0004164380725,2672.89311562212,12.238490552579243,1.0453013532288877,0.18433424736670323
1,10,26352.0,2673,2673.000039952893,2672.934921199614,2673.000462736142,2672.894472734785,12.238490552579231,1.0453013553760802,-0.12126284990481578
1,10,26388.0,2673,2673.000143536771,2672.935764516152,2673.000509140354,2672.8958110675503,12.238490552579238,1.0453013364164587,-0.43565500649698075
1,10,26424.0,2673,2673.0002457571936,2672.936599233144,2673.000554764903,2672.8971361404692,12.238490552579222,1.045301296191489,-0.7459088789163827
1,10,26460.0,2673,2673.000344266699,2672.937424261191,2673.0005991691005,2672.8984463108773,12.238490552579222,1.045301235225496,-1.0448995760390714
1,10,26496.0,2673,2673.0004369549038,2672.938237483328,2673.000642153501,2672.8997383479877,12.238490552579238,1.0453011545034245,-1.3262217784752417
