% Model,LargeGraphiteBlock_v5_PorousMedia_rad_PBC_grid_parallel_vary_flowrate_discharge_3.mph
% Version,COMSOL 6.0.0.405
% Date,"Feb 7 2024, 08:58"
% Table,Accumulated Probe Table 2 - 
% discharge_hrs (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T","massflowrate (kg/s), mass_flowrate",Global Variable Probe 1
20,1.5,16560,2173,2669.4811911503757,2285.6025240389463,2172.999999999966,2669.5037560344986,2173.0000000000014,2669.5219935519035,2386.0142253191684,2483.0809221951336,2669.452184476456,3.1384979526173566,380233.3154868976
20,1.5,16704,2173,2669.3849600181716,2284.5002141499936,2172.999999999966,2669.408044116754,2173.0000000000014,2669.4267292903382,2384.1839739043558,2481.0743480365186,2669.354780932309,3.13910020455208,380233.3123803634
20,1.5,16848,2173,2669.286384104834,2283.412436655493,2172.999999999966,2669.309997162191,2173.0000000000014,2669.3291386494807,2382.370214209156,2479.076814947219,2669.2549902457326,3.1397172665616395,380233.29262978205
20,1.5,16992,2173,2669.185403256213,2282.3374474744846,2172.999999999966,2669.2095549824135,2173.0000000000014,2669.2291627400186,2380.5712173751613,2477.0883662085735,2669.152757279179,3.1403500030106386,380233.3136599311
20,1.5,17136,2173,2669.081982853671,2281.2747745977404,2172.999999999966,2669.1066819729103,2173.0000000000014,2669.1267643132815,2378.787730793662,2475.10730422552,2669.0480486817423,3.1409981503243185,380233.3127644076
20,1.5,17280,2173,2668.976070471713,2280.2258463863686,2172.999999999966,2669.001325844786,2173.0000000000014,2669.0218901040903,2377.0210327079867,2473.1328228719417,2668.9408108341495,3.141662286272711,380233.31673461443
20,1.5,17424,2173,2668.867635217938,2279.191549619685,2172.999999999966,2668.8934553450918,2173.0000000000014,2668.9145093330176,2375.2704622891324,2471.1660133502014,2668.831010167259,3.1423424782635583,380233.3076965243
20,1.5,17568,2173,2668.756628735982,2278.1707460964312,2172.999999999966,2668.783021891304,2173.0000000000014,2668.8045729680102,2373.535855441282,2469.2082758381616,2668.7185923578827,3.1430393272486974,380233.3182382613
20,1.5,17712,2173,2668.643022469797,2277.161970411922,2172.999999999966,2668.669996593937,2173.0000000000014,2668.692051202882,2371.8176342623447,2467.2590752287974,2668.6035243934225,3.1437527513307977,380233.3129467916
20,1.5,17856,2173,2668.526764216197,2276.164205209788,2172.999999999966,2668.5543295680136,2173.0000000000014,2668.5768959156244,2370.1155243824037,2465.3166646158556,2668.485752914441,3.1444832975256234,380233.31833050575
20,1.5,18000,2173,2668.4078205521937,2275.1777797753166,2172.999999999966,2668.435986676869,2173.0000000000014,2668.4590737877256,2368.428607571222,2463.3816016713004,2668.3652446311216,3.1452309777167224,380233.3074046076
