% Model,tin_tegs_model.mph
% Version,COMSOL 6.1.0.357
% Date,"May 31 2024, 13:51"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K)
5071,868.2777418633065,821.2023418815528
5072,868.2316785973268,821.1592048365779
5073,868.1856153313472,821.1160677916035
5074,868.1395520653666,821.0729307466295
5075,868.0934887993868,821.0297937016554
5076,868.0474255334072,820.9866566566809
5077,868.0013622674276,820.9435196117062
5078,867.9552990014478,820.9003825667321
5079,867.9092357354679,820.8572455217579
5080,867.8631724694883,820.8141084767833
5081,867.8171092035084,820.7709714318091
5082,867.7710459375282,820.727834386835
5083,867.7249826715482,820.6846973418612
5084,867.6789194055688,820.6415602968863
5085,867.6328561395889,820.598423251912
5086,867.5867928736086,820.555286206938
5087,867.540729607629,820.5121491619636
5088,867.494666341649,820.4690121169891
5089,867.4486030756688,820.4258750720151
5090,867.4025398096894,820.3827380270405
5091,867.3564765437093,820.3396009820659
5092,867.3104132777299,820.2964639370923
5093,867.2643500117499,820.2533268921173
5094,867.2182867457699,820.2101898471423
5095,867.1722234797901,820.167052802169
5096,867.1261602138102,820.123915757195
5097,867.0800969478302,820.0807787122199
5098,867.0340336818504,820.0376416672461
5099,866.9879704158708,819.9945046222712
5100,866.9419071498909,819.9513675772971
5101,866.8958438839105,819.9082305323225
5102,866.8497806179305,819.8650934873488
5103,866.8037173519509,819.8219564423744
5104,866.7576540859714,819.7788193973998
5105,866.7115908199914,819.7356823524256
5106,866.6655275540119,819.6925453074512
5107,866.6194642880321,819.649408262477
5108,866.5734010220517,819.6062712175026
5109,866.5273377560719,819.5631341725286
5110,866.4812744900921,819.5199971275539
5111,866.4352112241125,819.4768600825797
5112,866.3891479581328,819.4337230376054
5113,866.3430846921526,819.3905859926311
5114,866.297021426173,819.3474489476569
5115,866.250958160193,819.3043119026826
5116,866.2048948942125,819.2611748577085
5117,866.1588316282332,819.218037812734
5118,866.1127683622536,819.1749007677598
5119,866.0667050962738,819.1317637227852
5120,866.0206418302932,819.0886266778114
5121,865.9745785643137,819.0454896328366
5122,865.9285152983339,819.0023525878621
5123,865.8824520323543,818.9592155428877
5124,865.836388766374,818.9160784979142
5125,865.7903255003946,818.8729414529398
5126,865.7442622344141,818.8298044079653
5127,865.6981989684343,818.7866673629907
5128,865.6521357024544,818.7435303180167
5129,865.6060724364748,818.700393273042
5130,865.5600091704948,818.657256228067
5131,865.5139459045153,818.6141191830939
5132,865.4678826385353,818.5709821381191
5133,865.4218193725555,818.5278450931447
5134,865.3757561065752,818.4847080481704
5135,865.3296928405955,818.441571003196
5136,865.2836295746159,818.3984339582217
5137,865.2375663086358,818.3552969132476
5138,865.1915030426566,818.3121598682732
5139,865.1454397766763,818.2690228232991
5140,865.0993765106962,818.2258857783247
5141,865.0533132447163,818.1827487333502
5142,865.0072499787364,818.1396116883756
5143,864.9611867127567,818.0964746434018
5144,864.9151234467772,818.0533375984273
5145,864.8690601807969,818.0102005534532
5146,864.8229969148175,817.967063508479
5147,864.7769336488373,817.923926463505
5148,864.7308703828577,817.8807894185304
5149,864.6848071168776,817.8376523735561
5150,864.6387438508975,817.7945153285818
5151,864.592680584918,817.7513782836076
5152,864.5466173189377,817.7082412386331
5153,864.5005540529584,817.6651041936589
5154,864.4544907869783,817.6219671486846
5155,864.4084275209985,817.5788301037103
5156,864.3623642550189,817.5356930587357
5157,864.3163009890391,817.4925560137615
5158,864.2702377230588,817.4494189687878
5159,864.2241744570792,817.4062819238133
5160,864.1781111910994,817.3631448788383
5161,864.1320479251194,817.3200078338641
5162,864.0859846591397,817.27687078889
5163,864.0399213931596,817.2337337439158
5164,863.9938581271798,817.1905966989414
5165,863.9477948612001,817.1474596539668
5166,863.9017315952199,817.1043226089928
5167,863.8556683292403,817.0611855640184
5168,863.8096050632602,817.0180485190442
5169,863.7635417972807,816.9749114740699
5170,863.7174785313003,816.9317744290953
5171,863.6714152653211,816.8886373841208
5172,863.6253519993412,816.8455003391466
5173,863.5792887333608,816.8023632941723
5174,863.5332254673813,816.7592262491985
5175,863.4871622014015,816.7160892042237
5176,863.4410989354212,816.672952159249
5177,863.3950356694417,816.6298151142753
5178,863.3489724034615,816.5866780693009
5179,863.3029091374817,816.5435410243269
5180,863.2568458715019,816.5004039793524
5181,863.2107826055221,816.4572669343773
5182,863.1647193395421,816.4141298894033
5183,863.1186560735625,816.3709928444295
5184,863.0725928075824,816.3278557994552
5185,863.0265295416026,816.2847187544805
5186,862.9804662756233,816.2415817095062
5187,862.9344030096435,816.1984446645317
5188,862.888339743663,816.155307619558
5189,862.8422764776834,816.1121705745835
5190,862.7962132117041,816.0690335296086
5191,862.7501499457237,816.0258964846345
5192,862.7040866797437,815.9827594396605
5193,862.658023413764,815.9396223946862
5194,862.6119601477841,815.8964853497118
5195,862.5658968818038,815.8533483047383
5196,862.5198336158247,815.8102112597632
5197,862.4737703498446,815.767074214789
5198,862.4277070838648,815.7239371698142
5199,862.381643817885,815.6808001248405
5200,862.3355805519052,815.6376630798661
5201,862.2895172859251,815.5945260348917
5202,862.243454019945,815.5513889899172
5203,862.1973907539652,815.5082519449428
5204,862.1513274879852,815.465114899969
5205,862.1052642220052,815.4219778549946
5206,862.0592009560255,815.3788408100196
5207,862.0131376900459,815.3357037650459
5208,861.9670744240664,815.2925667200716
5209,861.9210111580861,815.2494296750979
5210,861.8749478921064,815.2062926301232
5211,861.8288846261268,815.1631555851486
5212,861.782821360147,815.1200185401739
5213,861.7367580941668,815.0768814951999
5214,861.6906948281868,815.033744450226
5215,861.64590354615,814.9920143694417
5216,861.6021695683688,814.9514537918062
5217,861.5584355905872,814.9108932141705
5218,861.5147016128066,814.870332636535
5219,861.4709676350249,814.8297720588994
5220,861.4272336572437,814.7892114812639
