% Model,tin_tegs_model_2_HF.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 1 2024, 12:17"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (K),Temperature (K),Temperature (K)
95,1063.4026527959477,1042.3192181495306,1077.7110972973803
96,1063.3567401288929,1042.2852533674736,1077.630011365176
97,1063.3108274618378,1042.2512885854164,1077.548925432971
98,1063.264914794783,1042.217323803359,1077.467839500765
99,1063.219002127728,1042.1833590213023,1077.3867535685602
100,1063.1730894606726,1042.149394239244,1077.3056676363549
101,1063.1271767936182,1042.1154294571866,1077.2245817041508
102,1063.0812641265634,1042.081464675129,1077.1434957719448
103,1063.0353514595085,1042.0474998930722,1077.0624098397402
104,1062.9894387924537,1042.013535111015,1076.9813239075359
105,1062.9435261253984,1041.9795703289574,1076.90023797533
106,1062.8976134583436,1041.9456055468995,1076.8191520431246
107,1062.851700791289,1041.9116407648437,1076.7380661109191
108,1062.805788124234,1041.8776759827854,1076.6569801787143
109,1062.7598754571795,1041.843711200728,1076.57589424651
110,1062.7139627901242,1041.8097464186715,1076.4948083143042
111,1062.6680501230692,1041.7757816366131,1076.4137223820999
112,1062.6221374560146,1041.741816854555,1076.332636449894
113,1062.5762247889597,1041.7078520724986,1076.251550517689
114,1062.5303121219047,1041.6738872904405,1076.170464585484
115,1062.4841963815045,1041.6379782830088,1076.0910151028072
116,1062.4372683477225,1041.594292374078,1076.018111418247
117,1062.3903403139416,1041.5506064651456,1075.945207733686
118,1062.3434122801598,1041.5069205562138,1075.8723040491257
119,1062.2964842463775,1041.4632346472815,1075.799400364565
120,1062.2495562125964,1041.4195487383497,1075.726496680004
121,1062.2026281788144,1041.3758628294177,1075.6535929954441
122,1062.1557001450333,1041.3321769204867,1075.580689310882
123,1062.108772111251,1041.288491011555,1075.5077856263224
124,1062.0618440774697,1041.2448051026224,1075.4348819417608
125,1062.014916043688,1041.201119193691,1075.361978257201
126,1061.9679880099065,1041.1574332847588,1075.2890745726397
127,1061.9210599761254,1041.1137473758272,1075.2161708880785
128,1061.8741319423432,1041.0700614668956,1075.1432672035187
129,1061.8272039085616,1041.0263755579642,1075.070363518958
130,1061.7802758747798,1040.9826896490313,1074.9974598343972
131,1061.7333478409985,1040.9390037400997,1074.9245561498371
132,1061.686419807217,1040.8953178311679,1074.8516524652757
133,1061.639491773435,1040.8516319222358,1074.7787487807152
134,1061.5925637396535,1040.8079460133038,1074.7058450961547
135,1061.545635705871,1040.7642601043724,1074.6329414115933
136,1061.49870767209,1040.7205741954406,1074.5600377270318
137,1061.4517796383086,1040.6768882865092,1074.4871340424716
138,1061.4048516045268,1040.6332023775763,1074.4142303579122
139,1061.3579235707452,1040.5895164686451,1074.3413266733507
140,1061.3109955369637,1040.5458305597128,1074.2684229887905
141,1061.2640675031819,1040.5021446507815,1074.1955193042286
142,1061.2171394694,1040.4584587418506,1074.122615619668
143,1061.1702114356187,1040.414772832918,1074.049711935108
144,1061.123283401837,1040.3710869239867,1073.9768082505461
145,1061.0763553680556,1040.3274010150535,1073.9039045659854
146,1061.0294273342736,1040.2837151061221,1073.831000881426
147,1060.9824993004925,1040.24002919719,1073.7580971968653
148,1060.9355712667111,1040.196343288259,1073.6851935123043
149,1060.8886432329289,1040.152657379327,1073.6122898277433
150,1060.8412930727447,1040.1053524607655,1073.541772212803
151,1060.7933097229547,1040.052619027758,1073.474833702291
152,1060.7453263731659,1039.9998855947513,1073.4078951917786
153,1060.697343023376,1039.9471521617452,1073.3409566812684
154,1060.6493596735868,1039.8944187287377,1073.2740181707572
155,1060.6013763237986,1039.8416852957312,1073.2070796602452
156,1060.5533929740088,1039.788951862724,1073.1401411497336
157,1060.5054096242197,1039.736218429718,1073.0732026392222
158,1060.4574262744304,1039.6834849967106,1073.006264128711
159,1060.4094429246413,1039.6307515637045,1072.9393256181995
160,1060.361459574852,1039.5780181306973,1072.8723871076895
161,1060.3134762250631,1039.525284697691,1072.8054485971754
162,1060.2654928752736,1039.4725512646828,1072.7385100866652
163,1060.2175095254838,1039.4198178316765,1072.6715715761527
164,1060.169526175694,1039.3670843986697,1072.604633065643
165,1060.1215428259056,1039.3143509656634,1072.5376945551316
166,1060.0735594761165,1039.2616175326566,1072.4707560446195
167,1060.025576126327,1039.2088840996498,1072.4038175341072
168,1059.9775927765377,1039.1561506666428,1072.3368790235977
169,1059.9296094267484,1039.103417233636,1072.2699405130866
170,1059.8816260769597,1039.0506838006293,1072.2030020025734
171,1059.8336427271688,1038.9979503676227,1072.1360634920627
172,1059.78565937738,1038.9452169346152,1072.0691249815493
173,1059.7376760275913,1038.8924835016082,1072.0021864710388
174,1059.6896926778024,1038.8397500686017,1071.935247960528
175,1059.6417093280131,1038.787016635595,1071.8683094500159
176,1059.593725978224,1038.7342832025884,1071.8013709395047
177,1059.5457426284345,1038.6815497695814,1071.7344324289934
178,1059.4977592786452,1038.6288163365743,1071.6674939184823
179,1059.4497759288565,1038.5760829035673,1071.6005554079704
180,1059.4017925790672,1038.5233494705608,1071.533616897459
181,1059.353809229278,1038.4706160375538,1071.4666783869482
182,1059.3058258794883,1038.4178826045472,1071.399739876436
183,1059.257842529699,1038.3651491715402,1071.3328013659254
184,1059.2098591799095,1038.3124157385341,1071.2658628554136
185,1059.160885196645,1038.256437467512,1071.201047489854
186,1059.1112507910632,1038.1982959711486,1071.1376475542659
187,1059.0616163854818,1038.1401544747841,1071.0742476186756
188,1059.0119819798995,1038.0820129784208,1071.0108476830858
189,1058.9623475743176,1038.0238714820575,1070.9474477474962
190,1058.9127131687355,1037.9657299856929,1070.8840478119062
191,1058.8630787631535,1037.90758848933,1070.8206478763166
192,1058.8134443575723,1037.8494469929653,1070.7572479407268
193,1058.7638099519904,1037.7913054966011,1070.6938480051379
194,1058.7141755464083,1037.7331640002378,1070.6304480695476
195,1058.6645411408265,1037.6750225038734,1070.5670481339573
196,1058.614906735245,1037.6168810075096,1070.5036481983682
197,1058.5652723296623,1037.5587395111456,1070.4402482627775
198,1058.5156379240805,1037.5005980147819,1070.3768483271879
199,1058.466003518499,1037.442456518418,1070.3134483915985
200,1058.4163691129168,1037.384315022054,1070.250048456009
201,1058.366734707335,1037.3261735256913,1070.1866485204189
202,1058.317100301754,1037.2680320293264,1070.1232485848293
203,1058.2674658961716,1037.2098905329624,1070.0598486492393
204,1058.2178314905898,1037.151749036598,1069.9964487136501
205,1058.1681970850075,1037.0936075402349,1069.9330487780599
206,1058.118562679426,1037.035466043871,1069.8696488424705
207,1058.0689282738435,1036.9773245475064,1069.806248906881
208,1058.0192938682617,1036.9191830511434,1069.742848971291
209,1057.9696594626805,1036.8610415547794,1069.6794490357013
210,1057.920025057098,1036.8029000584147,1069.6160491001115
211,1057.8703906515161,1036.7447585620514,1069.5526491645214
212,1057.8207562459352,1036.6866170656886,1069.4892492289323
213,1057.771121840353,1036.6284755693239,1069.4258492933416
214,1057.7214874347706,1036.5703340729601,1069.3624493577538
215,1057.6718530291887,1036.5121925765964,1069.2990494221624
216,1057.6222186236075,1036.454051080232,1069.2356494865726
217,1057.5725842180254,1036.3959095838688,1069.1722495509828
218,1057.5229498124434,1036.3377680875046,1069.1088496153934
219,1057.473315406862,1036.2796265911409,1069.045449679803
220,1057.4224011082163,1036.217944830339,1068.984152161278
221,1057.3711668363048,1036.1553780034278,1068.9233802470158
222,1057.3199325643934,1036.0928111765163,1068.8626083327556
223,1057.2686982924813,1036.0302443496055,1068.8018364184943
224,1057.2174640205706,1035.9676775226949,1068.7410645042332
225,1057.1662297486591,1035.905110695784,1068.6802925899733
226,1057.1149954767473,1035.8425438688732,1068.619520675711
227,1057.0637612048363,1035.7799770419626,1068.5587487614512
228,1057.0125269329249,1035.7174102150504,1068.4979768471906
229,1056.9612926610127,1035.6548433881405,1068.437204932929
230,1056.9100583891009,1035.5922765612293,1068.3764330186684
231,1056.8588241171897,1035.529709734318,1068.3156611044074
232,1056.8075898452785,1035.4671429074076,1068.2548891901465
233,1056.7563555733666,1035.4045760804959,1068.1941172758864
234,1056.7051213014554,1035.3420092535857,1068.1333453616248
235,1056.6538870295444,1035.279442426674,1068.0725734473642
236,1056.602652757633,1035.2168755997632,1068.0118015331038
237,1056.5514184857213,1035.1543087728526,1067.951029618843
238,1056.5001842138097,1035.0917419459413,1067.8902577045822
239,1056.4489499418971,1035.0291751190307,1067.82948579032
240,1056.397715669987,1034.9666082921194,1067.7687138760589
241,1056.3464813980754,1034.9040414652086,1067.7079419617992
242,1056.2952471261635,1034.8414746382966,1067.6471700475386
243,1056.2440128542523,1034.7789078113867,1067.586398133276
244,1056.1927785823411,1034.7163409844754,1067.5256262190164
245,1056.1415443104295,1034.653774157564,1067.4648543047556
246,1056.090310038518,1034.5912073306536,1067.4040823904945
247,1056.039075766607,1034.528640503743,1067.3433104762323
248,1055.9878414946945,1034.4660736768317,1067.282538561972
249,1055.9366072227836,1034.403506849921,1067.2217666477122
250,1055.885372950872,1034.3409400230094,1067.1609947334512
251,1055.8341386789602,1034.2783731960992,1067.1002228191892
252,1055.7829044070495,1034.2158063691877,1067.03945090493
253,1055.7316701351376,1034.1532395422769,1066.9786789906689
254,1055.6804358632262,1034.0906727153656,1066.917907076408
255,1055.627313064807,1034.023049233107,1066.8588845081342
256,1055.5741902663876,1033.955425750849,1066.7998619398602
257,1055.5210674679684,1033.88780226859,1066.7408393715878
258,1055.4679446695488,1033.820178786331,1066.6818168033124
259,1055.41482187113,1033.752555304073,1066.6227942350392
260,1055.3616990727103,1033.684931821814,1066.5637716667654
