% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_reverse_2.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 17:12"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,7920,2173.8278164954904,2672.9990191977236,2614.0547284393106,2594.035605871433,2672.999754336708,0.06441323181959473,32.153230397324826
72,10,8100,2173.792993514627,2672.9988630848034,2612.713901033784,2592.6947586383303,2672.999709495044,0.06441325163424294,32.15547329391483
72,10,8280,2173.7570168969823,2672.9986861204407,2611.373072999888,2591.353957509193,2672.999657759121,0.06441327408803615,32.157790475859294
72,10,8460,2173.7196057155506,2672.9984910267276,2610.0322449890364,2590.013201697221,2672.999599970272,0.06441330076884616,32.16020100708309
72,10,8640,2173.687715859337,2672.9982718912047,2608.691417721378,2588.6723848508723,2672.999534051799,0.06441333095891878,32.16225609696242
72,10,8820,2173.659866800528,2672.9980266510684,2607.3505907040494,2587.331528158914,2672.9994591587383,0.06441336245130791,32.164049876222
72,10,9000,2173.6298694854404,2672.997743615548,2606.0097634446447,2585.9907380648865,2672.9993710325766,0.06441339543266987,32.16598034271433
72,10,9180,2173.6016027174255,2672.9974267499024,2604.6689364679796,2584.64994133687,2672.999270846113,0.06441343357821763,32.16779974055518
72,10,9360,2173.5755737293834,2672.997071797253,2603.3281098634757,2583.3091270899213,2672.999156908202,0.06441347874179733,32.16947604899126
72,10,9540,2173.552098234269,2672.996675462901,2601.98728347383,2581.968287511993,2672.999027815832,0.06441352968567028,32.17098810166348
72,10,9720,2173.53023413766,2672.996233861624,2600.646456892836,2580.6274361173537,2672.9988819217524,0.06441358614257993,32.17239619850931
72,10,9900,2173.508607295278,2672.9957427515574,2599.305629861911,2579.286597025309,2672.9987174116345,0.06441364871447748,32.17378888068137
72,10,10080,2173.4863861180747,2672.9951975662634,2597.964802463897,2577.945787877904,2672.998532309401,0.06441371816956072,32.17521980383578
72,10,10260,2173.4638838693145,2672.9945934068587,2596.623975104963,2576.605006985367,2672.9983244693867,0.06441379519883707,32.17666881968117
72,10,10440,2173.4423223912277,2672.993925021728,2595.283148167481,2575.2642332700057,2672.9980915658102,0.06441388046427252,32.178057217576836
72,10,10620,2173.4230483769093,2672.9931868036647,2593.9423217495887,2573.9234383893818,2672.99783108179,0.06441397467010988,32.179298242564315
72,10,10800,2173.406449507147,2672.9923727728637,2592.6014955911,2572.5826088435147,2672.997540298086,0.0644140785802661,32.18036691883266
72,10,10980,2173.391488567281,2672.99147655315,2591.2606692376485,2571.2417596829946,2672.9972162814825,0.06441419301424196,32.18133005603469
72,10,11160,2173.375525657165,2672.9904788187205,2589.919842100905,2569.900937765447,2672.996850732609,0.0644143269047551,32.18236091945229
72,10,11340,2173.358290352041,2672.9893883266436,2588.5790146877985,2568.5601513484185,2672.9964467735526,0.06441446647979672,32.18347061274908
72,10,11520,2173.341165166392,2672.988199675763,2587.2381876719783,2567.2193783399775,2672.9960017080034,0.06441461381299143,32.184570770727525
72,10,11700,2173.3267758859674,2672.986884071327,2585.8973611984948,2565.878570217657,2672.9955029817133,0.06441478805097396,32.18549996628669
72,10,11880,2173.3148893680773,2672.9854520795207,2584.556535043954,2564.5377319457484,2672.9949545114,0.06441497119090984,32.1862649020033
72,10,12060,2173.304013595314,2672.9838972393013,2583.2157087500295,2563.196890023606,2672.994352967575,0.0644151643614009,32.186961833013164
72,10,12240,2173.290056319818,2672.9821773233566,2581.8748816378657,2561.856105443729,2672.993679455166,0.06441539917670881,32.187867439899186
72,10,12420,2173.2753176632596,2672.980314706223,2580.534054644413,2560.5153449131685,2672.9929430374505,0.06441563717630289,32.18881578470509
72,10,12600,2173.2657372729245,2672.9782760331773,2579.1932279066186,2559.1745097715125,2672.9921281864936,0.064415904245024,32.18943504681828
72,10,12780,2173.255406567119,2672.976050793303,2577.8524008780087,2557.8336909100685,2672.991229424291,0.06441619318636256,32.1901015576874
72,10,12960,2173.243969563307,2672.973660234665,2576.511574076456,2556.4928980509303,2672.9902555447056,0.06441648673822056,32.19083099182658
72,10,13140,2173.2333278033907,2672.971084940644,2575.170747825913,2555.1521002203226,2672.989197062421,0.06441680374078532,32.19150902337067
72,10,13320,2173.223972701296,2672.968300125367,2573.829921987041,2553.8112884143534,2672.9880419167043,0.06441715631707545,32.192108458248114
72,10,13500,2173.2160052286226,2672.965335769816,2572.489096032166,2552.4704580003904,2672.9868035356885,0.06441755624870586,32.19263061039046
72,10,13680,2173.2073896545535,2672.962140181231,2571.148269437812,2551.129646255449,2672.9854571855235,0.06441798869381717,32.19319586910899
72,10,13860,2173.19878365458,2672.9587029801883,2569.8074425978457,2549.7888358591485,2672.9839968753436,0.0644184306126011,32.19374968603582
72,10,14040,2173.1907288475322,2672.955002483717,2568.4666158504183,2548.4480255012013,2672.982411482726,0.06441890620976236,32.19426787035932
72,10,14220,2173.18177217964,2672.950946547727,2567.125789592663,2547.1072545967327,2672.9806554922557,0.06441939688557169,32.19482879479232
72,10,14400,2173.1738735519693,2672.9465868513485,2565.7849639815845,2545.7664704197323,2672.978752211183,0.0644199344679539,32.19532543961751
