% Model,LargeGraphiteBlockDischarge_v3_finemesh_transient_k_10.mph
% Version,COMSOL 6.0.0.405
% Date,"Aug 9 2022, 18:29"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,2000,2174.802653997097,2549.263951845677,2650.5745360021842,2669.687508139289,2672.583082484714,2672.954119355617,2552.9000016027776,2653.587208364749,2670.3724514225246,2672.691544588009,2672.9679822287562,2396.7399232583225,2613.0017385485326,2662.9536106027613,2671.600101598663,2672.8320393685913
10,2100,2174.749659890637,2545.2781285515875,2649.20391102821,2669.3860230457467,2672.531424101212,2672.946744609487,2547.5784675215145,2652.110361083976,2670.0884297275265,2672.647681147222,2672.962241134985,2393.064876401145,2610.4281932811364,2662.2350289420756,2671.4572843784485,2672.809213208524
10,2200,2174.698314959682,2541.302051248318,2647.803817636741,2669.071093053096,2672.476186149849,2672.938649350771,2542.3138704550893,2650.596495186368,2669.7889368794245,2672.6001428934997,2672.9558379096243,2389.4431148238627,2607.834814477024,2661.494614449735,2671.306846309774,2672.7845855948185
10,2300,2174.648630089907,2537.336584129533,2646.3742405691482,2668.742378184204,2672.4172274196544,2672.929793486457,2537.106051114173,2649.0461933784904,2669.4737481532584,2672.5487870216334,2672.948730598926,2385.8740427378348,2605.222137442645,2660.7321413177237,2671.148550713848,2672.758074388491
10,2400,2174.6005462321905,2533.383515361331,2644.9151793384185,2668.3996083680076,2672.354405837532,2672.920135115913,2531.9548306743854,2647.4600558260586,2669.142643139857,2672.493468727614,2672.94087584152,2382.357014295185,2602.5909797985305,2659.9474453082603,2670.9821831558193,2672.729596451348
10,2500,2174.553956741315,2529.4431435498796,2643.426868512141,2668.0425552095767,2672.287581197704,2672.9096317434764,2526.8600300812104,2645.838680629761,2668.7954076906667,2672.434041480748,2672.9322288915278,2378.8914509728043,2599.9419456907845,2659.140421956671,2670.807542842049,2672.69906703506
10,2600,2174.508773740655,2525.5163039858976,2641.9096522113196,2667.670988608451,2672.2166134586387,2672.89823763395,2521.821452782788,2644.182678501006,2668.431835177074,2672.3703572280274,2672.9227436262604,2375.476821292781,2597.2757754888926,2658.3110284656336,2670.6244299654136,2672.6664004925346
10,2700,2174.464960751282,2521.604230681956,2640.36381643425,2667.28468664307,2672.1413595473496,2672.8859073539156,2516.8388842129407,2642.492674231378,2668.0517250885723,2672.302266873783,2672.9123724815945,2372.112497470357,2594.593410115271,2657.4592319675785,2670.432653922357,2672.6315091107545
10,2800,2174.4225071096234,2517.7073883749695,2638.7900060859365,2666.883468216974,2672.061688286957,2672.872593605121,2511.9121071827185,2640.769287261392,2667.6548882870247,2672.229620631224,2672.901066683695,2368.797824332486,2591.8955318037024,2656.585101832537,2670.2320380915844,2672.5943069948617
10,2900,2174.3813857584337,2513.826484694395,2637.188418748582,2666.467153698421,2671.977456297873,2672.858247771132,2507.040895018743,2639.01314406447,2667.2411412028973,2672.152268119832,2672.888776108715,2365.532230483729,2589.182820812197,2655.6886383990022,2670.0224073355976,2672.5547062891724
10,3000,2174.34153966544,2509.962516189156,2635.559245437086,2666.0355947013077,2671.888525120837,2672.842821170148,2502.22500386354,2637.2248822885267,2666.8103070942084,2672.0700585524028,2672.8754493830975,2362.3152114011914,2586.4561249566877,2654.76985145809,2669.803595324478,2672.5126190074566
10,3100,2174.3029027108464,2506.1160601972783,2633.9029924785946,2665.5886758138286,2671.7947703313903,2672.8262652736494,2497.464183971786,2635.4051381502827,2666.36221758044,2671.9828412954153,2672.8610339693546,2359.146269295857,2583.7162115601764,2653.8288057580535,2669.575449633099,2672.4679571722468
10,3200,2174.2654253939895,2502.288157549646,2632.2204133045298,2665.126238306905,2671.6960512710566,2672.8085278007547,2492.7581645569344,2633.5545606264686,2665.8967150115186,2671.890465459267,2672.8454760586224,2356.024753897783,2580.9640262642797,2652.865618997571,2669.3378046815,2672.420630503875
10,3300,2174.229079875153,2498.479416002111,2630.511668361512,2664.6481063595093,2671.5922293930494,2672.7895577233685,2488.106668704343,2631.673804248499,2665.4136461880807,2671.7927796165677,2672.828720633199,2352.950044389877,2578.2003483199464,2651.880314736389,2669.0905008054633,2672.3705491228757
10,3400,2174.1938445103865,2494.689881652256,2628.777270451734,2664.154177444802,2671.4831761153314,2672.7693002479696,2483.5094233767395,2629.7635105874383,2664.9128690429307,2671.689632459603,2672.8107116344254,2349.9216430050456,2575.4256714234634,2650.8730171409134,2668.833386599371,2672.317624497262
10,3500,2174.159687416567,2490.9200942693496,2627.0177359330132,2663.644326075532,2671.3687546880383,2672.747701775749,2478.966145807571,2627.8243228810543,2664.394250287464,2671.580872851262,2672.791391745604,2346.9390945750315,2572.6406600706787,2649.843851476614,2668.566303843303,2672.26176503038
10,3600,2174.1265648434874,2487.171561971075,2625.2333718262644,2663.1184531778995,2671.2488338450207,2672.724708174522,2474.4765305459773,2625.856901189206,2663.857662968896,2671.466350093562,2672.770702520777,2344.001817028729,2569.846206966724,2648.792895179004,2668.289115340787,2672.2028799868267
10,3700,2174.0944327265847,2483.444658516749,2623.4245692878526,2662.5764931832646,2671.1232949205364,2672.7002674005607,2470.040269078708,2623.861903514516,2663.302986955965,2671.3459140919604,2672.7485845447186,2341.1092443110574,2567.043048152814,2647.7202334983126,2668.001690907089,2672.1408795924676
10,3800,2174.0632573818157,2479.7396976690807,2621.5921924593404,2662.0183133902196,2670.991994073767,2672.674317621327,2465.6570428100113,2621.839988335359,2662.730113885174,2671.2194151950243,2672.7249772954956,2338.260724154683,2564.231942547101,2646.62605376305,2667.7038832801845,2672.0756695082437
10,3900,2174.0330150219565,2476.0574501369674,2619.736533986685,2661.4437511656,2670.854797086602,2672.6468040592667,2461.326523735139,2619.7918200401487,2662.1389411945197,2671.0867038367987,2672.6998190444224,2335.4556769773662,2561.4136288186687,2645.5104683934014,2667.3955495772007,2672.0071560567226
10,4000,2174.003682554861,2472.3979286838066,2617.8578895423375,2660.852743861675,2670.711588150665,2672.6176699108923,2457.0483884055257,2617.718051115119,2661.52937453912,2670.9476312139004,2672.6730471539868,2332.6936525890465,2558.588588683497,2644.3736019460066,2667.0765648090755,2671.9352486407643
10,4100,2173.9752306145733,2468.761571546951,2615.9565404962887,2660.2452055554436,2670.56222938279,2672.586854996896,2452.822302041836,2615.6193396828758,2660.901326745089,2670.8020486186247,2672.644597896003,2329.9741039049436,2555.757502013619,2643.2155708251007,2666.746778923082,2671.859852336409
10,4200,2173.947625503502,2465.1492085956666,2614.0331256046466,2659.6211074639705,2670.40657440883,2672.5542941762383,2448.647922129177,2613.4963429133477,2660.254719476214,2670.649808375714,2672.6144065532067,2327.296579370364,2552.921045947489,2642.0365357851056,2666.4060687752976,2671.7808721790507
10,4300,2173.920836153578,2461.5608182790406,2612.0882547950664,2658.9804367785573,2670.2445055586727,2672.5199363338756,2444.5249018728946,2611.3497169440857,2659.5894803574383,2670.490764203031,2672.5824074429274,2324.6605532997737,2550.079871125837,2640.836627781461,2666.054331428874,2671.6982156688846
10,4400,2173.8948378741725,2457.9969771209653,2610.1225264364743,2658.3230960644214,2670.0759068829525,2672.483716468075,2440.452885220711,2609.1801195563685,2658.9055454550257,2670.324770865014,2672.5485340192104,2322.065500166783,2547.2346265672572,2639.6160112982916,2665.6914407911095,2671.611789230476
10,4500,2173.869609799094,2454.459391720252,2608.136355703948,2657.648934565464,2669.9006425660127,2672.445569496141,2436.4315003257784,2606.9882177475897,2658.2028589617544,2670.15168362078,2672.5127186208697,2319.510747443698,2544.3861906521693,2638.374875728955,2665.317265087351,2671.5214949245583
10,4600,2173.845129948977,2450.9473427857642,2606.130122831577,2656.957891085508,2669.718575093225,2672.4054302451023,2432.460386065038,2604.774661598887,2657.481373302555,2669.9713586627236,2672.4748927301107,2316.9957464088643,2541.534954472337,2637.1134038308455,2664.9316902931446,2671.4272377649963
10,4700,2173.8213733813536,2447.4606151083735,2604.1042772237224,2656.2499417884637,2669.5295859934363,2672.363239907365,2428.5391749713917,2602.5400982142796,2656.741050596553,2669.783653051994,2672.4349869696407,2314.519976658227,2538.6813857362336,2635.831805053185,2664.5346017158845,2671.328923417937
10,4800,2173.798314575356,2443.9996919024434,2602.0593023670917,2655.5250489935524,2669.3335497593075,2672.318929386183,2424.667490587208,2600.2851754727667,2655.981860954841,2669.5884248332004,2672.3929310637272,2312.0829802530393,2535.8261873714705,2634.5302877974104,2664.1258892548535,2671.2264557611934
10,4900,2173.7759306423195,2440.564650398728,2599.995592350001,2654.7832729241145,2669.1303619495234,2672.272436434219,2420.844963814911,2598.0105297492128,2655.2037782838675,2669.3855342320057,2672.3486539935698,2309.6844464343376,2532.969772944529,2633.2090060303913,2663.7054625504493,2671.1197393124653
10,5000,2173.7542019022435,2437.1569022319354,2597.9137239179595,2654.0246584366337,2668.9198969237523,2672.223697958484,2417.071205302971,2595.7168117998817,2654.4067820349564,2669.174843569199,2672.3020838209486,2307.3238352604617,2530.112877351255,2631.868109159793,2663.2732279235875,2671.0086786000916
10,5100,2173.733109884928,2433.7769018710896,2595.8143499050516,2653.2490780831204,2668.702007906959,2672.1726496348315,2413.345818855681,2593.404670794538,2653.5908614122345,2668.9562157161736,2672.2531476136055,2305.000519927565,2527.2562362018853,2630.5078013330954,2662.8290826621896,2670.8931736016325
10,5200,2173.7126353202093,2430.4241672564003,2593.698127647881,2652.4564476770083,2668.476575817393,2672.119216921072,2409.6684128855945,2591.0747422672985,2652.7560161452548,2668.7295148994626,2672.201771924861,2302.7138813384613,2524.4002948897,2629.128355488849,2662.37293193187,2670.7731272903748
10,5300,2173.6927580417578,2427.0981639932334,2591.5650032242993,2651.646775539714,2668.243499958807,2672.0633302598662,2406.038599906854,2588.7276561984877,2651.9022478099405,2668.494606784136,2672.1478827738247,2300.463485795945,2521.545439654227,2627.7299200704324,2661.904669437081,2670.648450624529
10,5400,2173.6734584205115,2423.7995698305513,2589.4151257696403,2650.8200014787867,2668.0026417697454,2672.0049171626683,2402.4559847657465,2586.3640449765353,2651.0295636668943,2668.2513578113085,2672.0914051196014,2298.248878819073,2518.692221417845,2626.312643287159,2661.4242008485603,2670.519046636748
10,5500,2173.6547185838067,2420.5284780985653,2587.249414638031,2649.9762123159567,2667.753901600301,2671.943909006563,2398.9201742725945,2583.984527207806,2650.1379807231406,2667.9996369679034,2672.032263533063,2296.069687179781,2515.8410936724435,2624.8767619433174,2660.9314532000453,2670.384820048576
10,5600,2173.63652222532,2417.285626284408,2585.068917118634,2649.1154855442255,2667.4971543031443,2671.8802484014477,2395.430762097053,2581.5897250121475,2649.227524602958,2667.7393158715213,2671.97038147519,2293.9254152885915,2512.9926778019344,2623.4225772084733,2660.4263533627636,2670.245667399573
10,5700,2173.6188534836588,2414.07193919407,2582.874066945979,2648.2377307116494,2667.232296766933,2671.8138644554197,2391.9873324511445,2579.180264677992,2648.2982277810625,2667.4702666221388,2671.9056820167925,2291.8154923480456,2510.1476082851814,2621.9503469984174,2659.908820577518,2670.1014966026232
10,5800,2173.6016961867426,2410.8869495423855,2580.6653418841584,2647.3429425877453,2666.95923948068,2671.744680475782,2388.5894803135157,2576.756750988776,2647.350133979603,2667.1923627209703,2671.838087974755,2289.739460122317,2507.306190161484,2620.4603856829112,2659.3787699533927,2669.9522202289754
10,5900,2173.5850340926963,2407.7300159899355,2578.4427383012785,2646.4312174147426,2666.6778059614367,2671.672617395676,2385.2367988294186,2574.3197884573146,2646.3832885651896,2666.9054810871885,2671.7675209196473,2287.6968466638255,2504.4688334080442,2618.9528475360794,2658.836128155208,2669.797730434136
10,6000,2173.568851683312,2404.6012924888923,2576.206313444394,2645.5025633578366,2666.38789796648,2671.597604238889,2381.9288790239266,2571.8699805639685,2645.3977399758014,2666.609499869249,2671.693902076965,2285.6872183842615,2501.6360343668025,2617.4278803011443,2658.280830445907,2669.6379325815137
10,6100,2173.5531345895565,2401.500853620876,2573.9567261943434,2644.5571050202548,2666.0894614996264,2671.5195797457045,2378.665312164982,2569.407923908981,2644.3935404818717,2666.3043001917913,2671.617152571175,2283.7101052725875,2498.8082450401635,2615.8856834013473,2657.712856954867,2669.4727417737763
10,6200,2173.53786922828,2398.4295826549264,2571.6950806160303,2643.5948642193266,2665.782405834644,2671.4384684313727,2375.445683897483,2566.934208472075,2643.3707535890794,2665.989765433528,2671.537193101829,2281.765024022113,2495.985922393901,2614.326585902529,2657.1321485214708,2669.3020645095285
10,6300,2173.5230421806805,2395.3877193570074,2569.421564338787,2642.6156832965726,2665.4666009403836,2671.3541969097173,2372.2695771164817,2564.449425235008,2642.329447002631,2665.665778944027,2671.453943730936,2279.8515171009703,2493.1695534115415,2612.750786724647,2656.5386110660797,2669.1258087276
10,6400,2173.508640046743,2392.3746263105113,2567.136783246896,2641.6195850625872,2665.1419286376104,2671.266693689299,2369.1365772664744,2561.9541509338333,2641.26969981701,2665.3322254513196,2671.36732427432,2277.9691743226904,2490.3594441021164,2611.158614690947,2655.932167107686,2668.9438859975885
10,6500,2173.494649749648,2389.390011332727,2564.8409751498825,2640.6068205611214,2664.808217839457,2671.175874827708,2366.04626901736,2559.4489586222126,2640.1915927830355,2664.988994683401,2671.2772533580883,2276.1175489497737,2487.5560387994396,2609.550308591444,2655.3127790124977,2668.7561870388977
10,6600,2173.4810588181535,2386.4345343548653,2562.534524327984,2639.57745042252,2664.4654233694305,2671.0816662552434,2362.9982347890677,2556.934415686751,2639.095214656968,2664.6359773832105,2671.183649567345,2274.296207442285,2484.75979930161,2607.9261501590313,2654.6804095708667,2668.5626158097707
10,6700,2173.467855422327,2383.5080400017223,2560.217882160071,2638.531610723452,2664.113512106952,2670.9840065818075,2359.9920605358775,2554.4110796759546,2637.9806577049885,2664.273067869734,2671.08643148942,2272.504743712463,2481.9710019465174,2606.286360888368,2654.0350542454385,2668.3630910683605
10,6800,2173.455028195655,2380.6107268923733,2557.8920125336977,2637.4693403233255,2663.7523849706886,2670.8828159291497,2357.0273283093056,2551.879500524082,2636.84802396805,2663.9001632025643,2670.9855176829074,2270.742740352842,2479.190039819943,2604.6312935631363,2653.376682718566,2668.157530014329
10,6900,2173.4425660008947,2377.743133592046,2555.5569985071575,2636.3905395274346,2663.3818748733793,2670.778014155256,2354.103615483091,2549.340235581857,2635.697414459596,2663.517161197512,2670.8808259775797,2269.0097245640904,2476.417464451579,2602.9611079334472,2652.7052334609916,2667.9458364917655
10,7000,2173.4304578373576,2374.90462010462,2553.2132666894345,2635.295271346946,2663.0019035022747,2670.6695202907804,2351.2205062547064,2546.7938288220266,2634.5289362263966,2663.1239616140065,2670.772274272305,2267.3052652012398,2473.65350643548,2601.2760262783268,2652.0206722610474,2667.727923024759
10,7100,2173.418692988508,2372.0951444923658,2550.861266135427,2634.183715058256,2662.612360509554,2670.5572665440777,2348.3775840147423,2544.2408180602133,2633.3427012741304,2662.720468178817,2670.659779379035,2265.6289558260296,2470.8984950621684,2599.576272858655,2651.3229631108848,2667.5036830566905
10,7200,2173.4072612572354,2369.314861534677,2548.5016665818434,2633.055859519048,2662.2131971186113,2670.441173126672,2345.5744278752204,2541.6817350783435,2632.1388326712035,2662.306584261598,2670.543258529783,2263.9803496019877,2468.152795476695,2597.86219754534,2650.6120531159795,2667.2730334178154
10,7300,2173.3961529418957,2366.5630428899376,2546.1347477941563,2631.911957300041,2661.804388578342,2670.3211751929375,2342.810626737593,2539.1170957371805,2630.9174558827576,2661.8822174247794,2670.422629093011,2262.359072570546,2465.4166382450326,2596.1341201441987,2649.8879421215534,2667.0358975254453
10,7400,2173.38535856995,2363.840174977583,2543.7611378225843,2630.7522759193967,2661.385829504832,2670.1971953531547,2340.085764305223,2536.547408276703,2629.6787048981428,2661.4472799325854,2670.297808340117,2260.764732670758,2462.690378562907,2594.3924426162803,2649.1506375865542,2666.7921908860876
10,7500,2173.3748688102414,2361.1466360704007,2541.3807939405997,2629.5767167225363,2660.9573885639547,2670.0691599890542,2337.399422438555,2533.973184084244,2628.4227139267955,2661.001684967561,2670.168713038723,2259.1969443755042,2459.9744256485646,2592.637333053553,2648.400135887392,2666.5418198999923
10,7600,2173.364674615857,2358.481907613911,2538.994214782792,2628.3852204496657,2660.5190312394698,2669.9369771002994,2334.751190365343,2531.394922307912,2627.149622127745,2660.5453466182853,2670.0352610011632,2257.655352833672,2457.268979137738,2590.8690108475794,2647.6364175506656,2666.284717270255
10,7700,2173.354767285216,2355.8456170742234,2536.601786586905,2627.177973126678,2660.070597861395,2669.8005848271287,2332.1406594831265,2528.813119438891,2625.8595663562373,2660.078184698463,2669.897368532296,2256.139599114123,2454.5742518700395,2589.087639960817,2646.8594837384207,2666.02078427359
10,7800,2173.3451384057735,2353.2382971903494,2534.20419081636,2625.9550453755965,2659.6120300538787,2669.659884832853,2329.5674119104965,2526.2282697743285,2624.5526932475805,2659.6001200104033,2669.7549525260606,2254.64920659055,2451.8907259074545,2587.2935499735977,2646.0692985267883,2665.749935218324
10,7900,2173.3357798366505,2350.6598335413514,2531.8021310183076,2624.7167360085205,2659.1433559303755,2669.5148198913157,2327.0310350860586,2523.640852888463,2623.2291548091985,2659.11107652822,2669.607930504328,2253.183765941479,2449.2187356902896,2585.4870557694294,2645.2658887312123,2665.4720934511242
10,8000,2173.326683712188,2348.1100535850032,2529.396226796456,2623.4632582472336,2658.664448214304,2669.36532514405,2324.5311199479643,2521.0513342844906,2621.8891129055696,2658.6109819155886,2669.4562193310207,2251.742946578455,2446.558413044019,2583.6685673564148,2644.449270890054,2665.187171559555
10,8100,2173.3178423726918,2345.5889383244144,2526.9860370104097,2622.194523298716,2658.1751914275746,2669.2113140120327,2322.067253570778,2518.46018646955,2620.5327273377425,2658.0997646891137,2669.2997359782635,2250.3263829652055,2443.910087022909,2581.838291897079,2643.61942666709,2664.8950900321397
10,8200,2173.3092483203877,2343.096049692513,2524.571966942213,2620.9105433212135,2657.675590417556,2669.052712006581,2319.6390342868804,2515.867862323724,2619.160164749958,2657.577355131989,2669.138398232028,2248.933726553227,2441.273844305502,2579.9965294776584,2642.776351466617,2664.5957805110493
10,8300,2173.3008943211066,2340.631224802235,2522.1545529436958,2619.6115382835983,2657.1655713422074,2668.889450259549,2317.2460576100043,2513.2748155162253,2617.771590438035,2657.0436882038216,2668.9721232073034,2247.564570646851,2438.649966921264,2578.14345511384,2641.920046060454,2664.289146715099
10,8400,2173.2927734408177,2338.1946215087055,2519.734551632982,2618.2975931248097,2656.6450672039427,2668.72141139092,2314.887918761403,2510.681491793652,2616.3671777351656,2656.4986993302723,2668.8008287259254,2246.218578365807,2436.0387243830573,2576.2793678280627,2641.0505361220735,2663.9751217535763
10,8500,2173.2848789425734,2335.7860610284874,2517.312539265125,2616.969071377609,2656.114048639206,2668.5485443928414,2312.5642184380195,2508.0883213885018,2614.9471037690982,2655.9423295052006,2668.624433060203,2244.895456109894,2433.440326315101,2574.404628804437,2640.1678932515147,2663.6536362104935
10,8600,2173.2772042466345,2333.405542440809,2514.8887726254957,2615.626279094151,2655.5723825274295,2668.3707733817705,2310.2745543923647,2505.495730682793,2613.511548555523,2655.3745254366218,2668.4428544785455,2243.5948312988194,2430.8550643064996,2572.5195753431512,2639.2721586063653,2663.3246014000465
10,8700,2173.269742980001,2331.0529407449153,2512.462937071576,2614.269146297736,2655.020011314561,2668.1880430233077,2308.0185248156026,2502.9041498514202,2612.060690113914,2654.795233582713,2668.256011456774,2242.316296538592,2428.2832275059723,2570.624336084463,2638.3633421619907,2662.9879519535743
10,8800,2173.2624889726303,2328.7274629213853,2510.035674022785,2612.897562168997,2654.456983749027,2668.0002880896755,2305.7957368142447,2500.3139900961637,2610.5947175779534,2654.2043992429208,2668.0638235554725,2241.0595132167173,2425.7248457211017,2568.719264765057,2637.4414200224655,2662.6436388051634
