hours,max_ff,time,inlet_T,outlet_T,block_1,Sn_block_1,bottom_right_T,mass_flow,SOC,power
5,2,31140.0,2673,2668.365000269493,2670.436091103065,2671.911210780419,2662.9447026149514,0.4895396221031702,1.0042927320835047,562.7159720971238
5,2,31320.0,2673,2668.527543633367,2670.5291948505583,2671.952643266008,2663.276002768447,0.4895396221031695,1.0044809431415982,542.9822606994433
5,2,31500.0,2673,2668.6846304944597,2670.619030439516,2671.9925397306297,2663.597023995301,0.4895396221031688,1.0046625488488454,523.9110005304757
5,2,31680.0,2673,2668.836433421428,2670.705707723517,2672.030955288197,2663.908058566966,0.48953962210316904,1.0048377711628351,505.4812407499347
5,2,31860.0,2673,2668.9831196892223,2670.789333080908,2672.067943278657,2664.209391572734,0.4895396221031704,1.005006825018083,487.6726732041958
5,2,32040.0,2673,2669.124852644613,2670.8700094979213,2672.103555080748,2664.501301055093,0.4895396221031706,1.005169918516609,470.46546664367133
5,2,32220.0,2673,2669.2617904726435,2670.94783667951,2672.137840266439,2664.784058127304,0.4895396221031706,1.0053272531157837,453.8404164824144
5,2,32400.0,2673,2669.3940867567967,2671.022911139204,2672.1708467440994,2665.057927096181,0.4895396221031704,1.0054790238300944,437.77887679081164
5,2,32580.0,2673,2669.5218894908303,2671.095326313707,2672.202620803353,2665.3231655740537,0.4895396221031698,1.005625419441753,422.2628802644168
5,2,32760.0,2673,2669.645343680748,2671.165172624201,2672.233207041311,2665.580024622685,0.4895396221031706,1.0057666226779551,407.27482232955487
5,2,32940.0,2673,2669.764589379858,2671.232537586497,2672.262648528921,2665.828748877234,0.4895396221031712,1.005902810374974,392.7976996985498
5,2,33120.0,2673,2669.879762654027,2671.2975058885,2672.2909868820457,2666.0695766827803,0.4895396221031702,1.0060341536629147,378.8149931824892
5,2,33300.0,2673,2669.990995017013,2671.3601594864986,2672.3182622579025,2666.3027402131424,0.4895396221031699,1.0061608181421877,365.3107362449323
5,2,33480.0,2673,2670.0984149688297,2671.4205776659114,2672.344513326507,2666.528465600365,0.4895396221031698,1.006282964039863,352.2693282355085
5,2,33660.0,2673,2670.202146172492,2671.478837144717,2672.3697774730945,2666.746973051385,0.4895396221031698,1.0064007463719093,339.6757557436924
5,2,33840.0,2673,2670.3023091893306,2671.5350121320653,2672.3940907146757,2666.958476983293,0.4895396221031697,1.0065143151072533,327.51538192156374
5,2,34020.0,2673,2670.399020763639,2671.589174413008,2672.4174878263666,2667.1631861337282,0.4895396221031694,1.0066238153107574,315.7740333316712
5,2,34200.0,2673,2670.492394256576,2671.641393416175,2672.4400023548487,2667.361303681849,0.4895396221031697,1.0067293872920167,304.4379472688341
5,2,34380.0,2673,2670.582538535793,2671.691736307511,2672.4616666874545,2667.553027360819,0.4895396221031699,1.0068311667681342,293.49390656594494
5,2,34560.0,2673,2670.669560425769,2671.740268030416,2672.4825120403,2667.738549591084,0.4895396221031697,1.0069292849988054,282.92894210884043
5,2,34740.0,2673,2670.75356273962,2671.787051394966,2672.5025685626115,2667.918057590755,0.4895396221031689,1.007023868911439,272.73057178616807
5,2,34920.0,2673,2670.834645699813,2671.832147127,2672.5218652696885,2668.091733499977,0.4895396221031692,1.0071150412375909,262.88662800660245
5,2,35100.0,2673,2670.912906083826,2671.8756139425423,2672.540430144953,2668.2597544845357,0.4895396221031695,1.007202920637695,253.38536142039104
5,2,35280.0,2673,2670.988437589213,2671.9175086082137,2672.558290190588,2668.4222928457825,0.4895396221031695,1.0072876218359035,244.21539659858274
5,2,35460.0,2673,2671.061330678045,2671.9578860092065,2672.575471489381,2668.5795161290216,0.4895396221031702,1.0073692557505998,235.36575091869423
5,2,35640.0,2673,2671.131673741022,2671.996799192844,2672.591999146974,2668.7315872413465,0.4895396221031706,1.0074479296040668,226.82569323480408
5,2,35820.0,2673,2671.1995520086584,2672.034299437546,2672.6078973918256,2668.87866455665,0.4895396221031698,1.007523747030601,218.5848760658454
5,2,36000.0,2673,2671.265048080412,2672.07043630409,2672.623189566949,2669.0209020260572,0.4895396221031697,1.0075968081961915,210.63327135642737
5,2,36180.0,2673,2671.3282416195075,2672.105257696152,2672.6378981938237,2669.1584492758043,0.4895396221031697,1.007667209913571,202.96120752686056
5,2,36360.0,2673,2671.389210429214,2672.138809899336,2672.6520449641685,2669.2914517165227,0.4895396221031704,1.0077350457413328,195.5592388070339
