% Model,LargeGraphiteBlockCharge_v3_mdotbnd_charge_discharge_halfDC.mph
% Version,COMSOL 6.0.0.405
% Date,"Oct 3 2022, 18:26"
% Table,Accumulated Probe Table 24 - 
% hours (h),max_flowrate_factor,Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), Sn_block_1","Temperature (K), bottom_right_T","Outward mass flow rate across feature selection (kg/s), mass_flowrate",Global Variable Probe 1
72,10,69840,2173,2617.998787460314,2429.2066446858776,2409.1928982226327,2620.4903078206503,0.07237401407811295,32.206348508395926
72,10,70020,2173,2617.7427580162157,2427.8658176124477,2407.8520722807352,2620.32639359576,0.07241608237065754,32.20652819825566
72,10,70200,2173,2617.4758082014455,2426.524997294207,2406.511374872894,2620.154553583939,0.07245920038101836,32.20636165098359
72,10,70380,2173,2617.2012322013393,2425.1841920967827,2405.170810878468,2619.977140561824,0.07250313109116446,32.20598016915046
72,10,70560,2173,2616.9182254794637,2423.8433988017837,2403.8302544055164,2619.793575206449,0.07254883070603949,32.205748187635116
72,10,70740,2173,2616.624702459563,2422.5025942912253,2402.489422896864,2619.602355825864,0.07259772033461022,32.20614208268397
72,10,70920,2173,2616.3227256980067,2421.1617917775675,2401.148665050926,2619.4049119521424,0.07264700516157514,32.20606834202662
72,10,71100,2173,2616.010281002225,2419.8209856071117,2399.807893913066,2619.199757588177,0.0726985601777166,32.20620957278736
72,10,71280,2173,2615.689091862829,2418.4801867652823,2398.4672224557894,2618.9881168893166,0.07275083608488414,32.206001558678864
72,10,71460,2173,2615.3585740623575,2417.1394002401917,2397.126646825472,2618.769544791448,0.072804553229359,32.20571835178622
72,10,71640,2173,2615.018075505952,2415.7986215304495,2395.7860550258174,2618.5435569969195,0.07286036520970182,32.205598410653174
72,10,71820,2173,2614.6655852970503,2414.45782667012,2394.4451668206266,2618.3086788689197,0.07291961859854405,32.2060860279636
72,10,72000,2173,2614.3035497372775,2413.117033262115,2393.1043837244356,2618.0666300892963,0.07297926138858656,32.206007107987794
72,10,72180,2173,2613.931439404713,2411.776252317067,2391.7637927739333,2617.816984660753,0.0730401246328032,32.205687288641506
72,10,72360,2173,2613.5467309188316,2410.435460416099,2390.422985684251,2617.5579022775237,0.07310478151123126,32.20607250930837
72,10,72540,2173,2613.152938210725,2409.0946450069505,2389.081859414926,2617.292048246701,0.07317200335954675,32.206872273469514
72,10,72720,2173,2612.749145644039,2407.7538207269567,2387.740957170623,2617.018617670761,0.07323899167874233,32.20678401855775
72,10,72900,2173,2612.3348096382506,2406.4130007834847,2386.400267631809,2616.7371674119936,0.07330749317515017,32.206533559161926
72,10,73080,2173,2611.9063612469463,2405.0722158273957,2385.0599218877683,2616.4448699173613,0.07337725727298255,32.20574498796576
72,10,73260,2173,2611.466107987887,2403.731454975757,2383.7196203829712,2616.1435375897154,0.07344989236925777,32.205288439277645
72,10,73440,2173,2611.013477448335,2402.3907004667517,2382.3791143987446,2615.832781660736,0.07352579959480593,32.20529116269026
72,10,73620,2173,2610.5483733098904,2401.049945695148,2381.038453818885,2615.5124986728456,0.07360414702435017,32.205374799366396
72,10,73800,2173,2610.070627916463,2399.709191060565,2379.6977576158984,2615.1825118605584,0.07368464436784268,32.205393781654216
72,10,73980,2173,2609.5800382317316,2398.368438021068,2378.357078314101,2614.842628476865,0.07376738575325609,32.205368092411334
72,10,74160,2173,2609.0763823493926,2397.027687201134,2377.016415726172,2614.492651412273,0.07385251134320389,32.205335973961766
72,10,74340,2173,2608.559431878133,2395.686938566507,2375.675761504456,2614.1323816089493,0.07394010384444964,32.20530962349866
72,10,74520,2173,2608.028956729582,2394.3461920085333,2374.335112839816,2613.761618491015,0.07403021369693474,32.20528663104547
72,10,74700,2173,2607.4847277206636,2393.005447455098,2372.9944668102003,2613.380159976149,0.07412289025084304,32.205263788506166
