% Model,LargeGraphiteBlockDischarge_v3_finemesh.mph
% Version,COMSOL 5.6.0.401
% Date,"Apr 30 2022, 12:31"
% Table,Accumulated Probe Table 2 - 
% hours (h),Time (s) (s),"Temperature (K), inlet_T","Temperature (K), outlet_T_1","Temperature (K), outlet_T_2","Temperature (K), outlet_T_3","Temperature (K), outlet_T_4","Temperature (K), outlet_T_5","Temperature (K), block_1","Temperature (K), block_2","Temperature (K), block_3","Temperature (K), block_4","Temperature (K), block_5","Temperature (K), Sn_block_1","Temperature (K), Sn_block_2","Temperature (K), Sn_block_3","Temperature (K), Sn_block_4","Temperature (K), Sn_block_5"
10,5900,2173.4005307814905,2445.0526188395484,2643.1255034314777,2671.1314595220897,2672.9271401451642,2672.9979666236513,2329.2707790315326,2601.5570002848012,2667.1160325675564,2672.7260309223248,2672.9913575362525,2286.0652928241116,2570.099305869701,2662.6934129791134,2672.4442875642726,2672.980312587648
10,6000,2173.381680477681,2439.965490388989,2641.515841228807,2670.974764330945,2672.918973100702,2672.997682471029,2325.463535553718,2598.6792351869485,2666.697159534857,2672.6985105439453,2672.990248131245,2283.0686624081086,2566.6669014506615,2662.044088327385,2672.393365461274,2672.9779687844716
10,6100,2173.363765360266,2434.9134501486105,2639.8544970634493,2670.8079662130463,2672.9100418173934,2672.9973639437403,2321.7285251481485,2595.7529284028233,2666.256969325628,2672.668748816509,2672.989016971631,2280.1386085987524,2563.1998473692206,2661.366829116805,2672.3387244065925,2672.9753884782344
10,6200,2173.3467350987025,2429.8995209984264,2638.1412095327405,2670.630620014304,2672.90029006535,2672.9970075639053,2318.0652003676632,2592.779368983678,2665.7948698607524,2672.6366073501304,2672.9876529605453,2277.274224066902,2559.699856076513,2660.6610758176207,2672.2801670109934,2672.972552258193
10,6300,2173.3305422753438,2424.92476111814,2636.3762537282664,2670.4422910660455,2672.889656614002,2672.99660945963,2314.47300064847,2589.7598570690484,2665.310278705842,2672.6019423921534,2672.9861441835474,2274.474522424284,2556.1683895146693,2659.9263310601455,2672.2174859775696,2672.9694390555137
10,6400,2173.315143103601,2419.991261504411,2634.5598116632364,2670.2425128280115,2672.878076121206,2672.996165432398,2310.951332312503,2586.695723508995,2664.8026216704734,2672.5646042908156,2672.9844778576094,2271.738599306021,2552.6070544615613,2659.162117744747,2672.150467293646,2672.9660264949584
10,6500,2173.3004969740286,2415.102122613409,2632.6920259660105,2670.0308549466886,2672.8654816903017,2672.995671034137,2307.4995562420795,2583.5883411894024,2664.2713318495325,2672.524438268178,2672.98264031304,2269.0655779504227,2549.0177748879705,2658.3679605459583,2672.078898779919,2672.9622910966204
10,6600,2173.286565397801,2410.2591930065405,2630.7727279699866,2669.8068638653253,2672.851805968787,2672.995121487331,2304.117013705266,2580.439105527268,2663.7158472910096,2672.4812839573283,2672.9806169939047,2266.4544865958333,2545.402273741269,2657.543366632231,2672.002561493168,2672.958208244071
10,6700,2173.2733113447052,2405.4644302252223,2628.8018850597996,2669.5700363127576,2672.8369745093382,2672.994511566965,2300.8030100498877,2577.249446358613,2663.1356155214744,2672.4349749090857,2672.9783923595496,2263.904282598084,2541.7622749824604,2656.6878654178995,2671.9212225918795,2672.953751591202
10,6800,2173.2606994092757,2400.719548915549,2626.7794782862707,2669.319881337167,2672.820911809979,2672.993835774432,2297.556826645182,2574.0208179498704,2662.530091459106,2672.385338817241,2672.9759498668286,2261.4139199398287,2538.0993824022044,2655.8009949753427,2671.8346433063257,2672.9488934750448
