% Model,tin_tegs_model_4_constin.mph
% Version,COMSOL 6.1.0.357
% Date,"Jun 4 2024, 18:19"
% Table,Table 2 - Surface Average 1
% Time (s),Temperature (degC),Temperature (degC),"Temperature (degC), Point: 51"
4118,519.0461602166436,500,520.4156455104653
4119,519.0376948851964,500,520.406473004732
4120,519.029229553749,500,520.3973004989987
4121,519.0207642223023,500,520.3881279932654
4122,519.0122988908552,500,520.378955487532
4123,519.0038335594081,500,520.3697829817987
4124,518.9953682279611,500,520.3606104760654
4125,518.986902896514,500,520.3514379703321
4126,518.9784375650669,500,520.3422654645987
4127,518.9699722336198,500,520.3330929588654
4128,518.9615069021729,500,520.323920453132
4129,518.9530415707258,500,520.3147479473988
4130,518.9445762392788,500,520.3055754416654
4131,518.9361109078314,500,520.2964029359322
4132,518.9276455763845,500,520.2872304301987
4133,518.9191802449375,500,520.2780579244655
4134,518.9107149134903,500,520.2688854187321
4135,518.9022495820435,500,520.2597129129989
4136,518.8937842505962,500,520.2505404072655
4137,518.8853189191493,500,520.2413679015323
4138,518.8768535877022,500,520.2321953957988
4139,518.868388256255,500,520.2230228900655
4140,518.8599229248078,500,520.2138503843323
4141,518.8514575933609,500,520.2046778785989
4142,518.8429922619138,500,520.1955053728657
4143,518.834526930467,500,520.1863328671323
4144,518.8260615990199,500,520.177160361399
4145,518.8175962675728,500,520.1679878556656
4146,518.8091309361256,500,520.1588153499324
4147,518.8006656046784,500,520.149642844199
4148,518.7922002732316,500,520.1404703384658
4149,518.7837349417844,500,520.1312978327323
4150,518.7752696103372,500,520.122125326999
4151,518.7668042788902,500,520.1129528212657
4152,518.758338947443,500,520.1037803155324
4153,518.7498736159959,500,520.0946078097991
4154,518.741408284549,500,520.0854353040658
4155,518.7329429531018,500,520.0762627983324
4156,518.7244776216551,500,520.0670902925991
4157,518.7160122902078,500,520.0579177868657
4158,518.7075469587606,500,520.0487452811325
4159,518.6990816273136,500,520.039572775399
4160,518.6906162958667,500,520.0304002696658
4161,518.6821509644194,500,520.0212277639324
4162,518.6736856329725,500,520.0120552581992
4163,518.6652203015253,500,520.0028827524658
4164,518.6567549700784,500,519.9937102467326
4165,518.6482896386311,500,519.9845377409991
4166,518.6398243071842,500,519.9753652352659
4167,518.631358975737,500,519.9661927295325
4168,518.6228936442901,500,519.9570202237992
4169,518.6144283128433,500,519.9478477180659
4170,518.6059629813957,500,519.9386752123326
4171,518.5974976499488,500,519.9295027065992
4172,518.5890323185016,500,519.9203302008659
4173,518.5805669870548,500,519.9111576951326
4174,518.5721016556078,500,519.9019851893993
4175,518.5636363241607,500,519.892812683666
4176,518.5551709927136,500,519.8836401779326
4177,518.5467056612662,500,519.8744676721992
4178,518.5382403298191,500,519.865295166466
4179,518.5297749983725,500,519.8561226607326
4180,518.5213096669252,500,519.8469501549994
4181,518.5128443354781,500,519.837777649266
4182,518.5043790040311,500,519.8286051435327
4183,518.495913672584,500,519.8194326377993
4184,518.487448341137,500,519.8102601320661
4185,518.4789830096901,500,519.8010876263327
4186,518.4705176782429,500,519.7919151205995
4187,518.4620523467955,500,519.782742614866
4188,518.4535870153487,500,519.7735701091327
4189,518.4451216839016,500,519.7643976033994
4190,518.4366563524547,500,519.7552250976661
4191,518.4281910210076,500,519.7460525919328
4192,518.4197256895604,500,519.7368800861994
4193,518.4112603581134,500,519.7277075804661
4194,518.4027950266665,500,519.7185350747328
4195,518.3943296952194,500,519.7093625689995
4196,518.3858643637718,500,519.7001900632662
4197,518.377399032325,500,519.6910175575327
4198,518.3689337008778,500,519.6818450517995
4199,518.360468369431,500,519.6726725460662
4200,518.3520030379838,500,519.6635000403329
4201,518.3435377065368,500,519.6543275345996
4202,518.3350723750897,500,519.6451550288663
4203,518.3266070436426,500,519.635982523133
4204,518.3181417121955,500,519.6268100173996
