% Model,,,,,,,,,,,
% Version,,,,,,,,,,,
% Date,,,,,,,,,,,
% Table,,,,,,,,,,,
% charge_hrs (h),Time (s),"Temperature (K), inlet_T","Temperature (K), outlet_T","Temperature (K), block1_T","Temperature (K), inlet_T_2","Temperature (K), outlet_T_2","Temperature (K), inlet_T 1","Temperature (K), outlet_T 1","Temperature (K), block2_T","Temperature (K), block3_T","Temperature (K), block4_T"
4,324,2673.0000000000014,2173.7537541918546,2217.571193453374,2672.9999999999955,2173.6319357451107,2673.0000000000023,2173.5123809655906,2198.3703273829656,2186.4552044683296,2173.023158559731
4,331.2,2673.0000000000014,2173.897908479064,2218.4807702735607,2672.9999999999955,2173.7604632577663,2673.0000000000023,2173.6254048526166,2198.9772450822065,2186.834649573716,2173.027610535367
4,338.40000000000003,2673.0000000000014,2174.057694314753,2219.3883117223622,2672.9999999999955,2173.9045007366763,2673.0000000000023,2173.753795890163,2199.5837017313315,2187.214322209738,2173.0327325852595
4,345.6,2673.0000000000014,2174.2319434030787,2220.2938279248037,2672.9999999999955,2174.063492451864,2673.0000000000023,2173.8975535083523,2200.189698,2187.5942190878595,2173.0385514676454
4,352.8,2673.0000000000014,2174.4172821233115,2221.1973301085955,2672.9999999999955,2174.235716515188,2673.0000000000023,2174.0565,2200.795230316286,2187.9743373704828,2173.0450721748452
4,360,2673.0000000000014,2174.6084168854827,2222.0988249164266,2672.9999999999955,2174.417960136372,2673.0000000000023,2174.2294623762905,2201.4002989061687,2188.354679681844,2173.0522775293316
4,367.2,2673.0000000000014,2174.799043064453,2222.998317014237,2672.9999999999955,2174.605594713074,2673.0000000000023,2174.4135385207096,2202.004902523141,2188.7352462203626,2173.0601329420624
4,374.40000000000003,2673.0000000000014,2174.9835105376087,2223.8958125865265,2672.9999999999955,2174.7933358635914,2673.0000000000023,2174.603927611475,2202.609039922912,2189.116036515147,2173.0685906569324
4,381.6,2673.0000000000014,2175.1578326729405,2224.7913195934107,2672.9999999999955,2174.976100682132,2673.0000000000023,2174.794577091807,2203.212710558468,2189.4970463366317,2173.077593115264
4,388.8,2673.0000000000014,2175.3199758192254,2225.6848437283015,2672.9999999999955,2175.149755822355,2673.0000000000023,2174.979309102977,2203.8159125343627,2189.878270077846,2173.0870709852943
4,396,2673.0000000000014,2175.468329,2226.576390161443,2672.9999999999955,2175.311053640264,2673.0000000000023,2175.153235595461,2204.4186433309064,2190.259703625379,2173.0969397006897
4,403.2,2673.0000000000014,2175.5987713814116,2227.4659647541494,2672.9999999999955,2175.4567437592113,2673.0000000000023,2175.313804132735,2205.020904,2190.641343196796,2173.1070899572733
4,410.40000000000003,2673.0000000000014,2175.7031393059947,2228.353574007085,2672.9999999999955,2175.582341806912,2673.0000000000023,2175.4599925258553,2205.622689458237,2191.0231853100913,2173.1173871210594
4,417.6,2673.0000000000014,2175.7733156227364,2229.239224284794,2672.9999999999955,2175.6827700305225,2673.0000000000023,2175.5898367528275,2206.2240042100752,2191.4052290307172,2173.1277370201205
4,424.8,2673.0000000000014,2175.8092400920864,2230.1229202558784,2672.9999999999955,2175.7549426784244,2673.0000000000023,2175.6983670420336,2206.8248427605404,2191.7874766677974,2173.1381276596658
4,432,2673.0000000000014,2175.8359186485227,2231.004668665189,2672.9999999999955,2175.8040124317986,2673.0000000000023,2175.7706713805715,2207.4252080279134,2192.1699312026117,2173.148600670753
4,439.2,2673.0000000000014,2175.8677709898384,2231.8844741347552,2672.9999999999955,2175.8399706239684,2673.0000000000023,2175.8122316273907,2208.0250939445227,2192.5525894122547,2173.1592214975663
4,446.40000000000003,2673.0000000000014,2175.909070489045,2232.7623441640576,2672.9999999999955,2175.8748272014586,2673.0000000000023,2175.8417866945656,2208.6245023848232,2192.9354436283893,2173.170047609503
4,453.6,2673.0000000000014,2175.9651114158755,2233.6382819974215,2672.9999999999955,2175.9183787194247,2673.0000000000023,2175.8732305679555,2209.223429,2193.3184885701207,2173.181119788462
4,460.8,2673.0000000000014,2176.037847589245,2234.512295140784,2672.9999999999955,2175.975157979382,2673.0000000000023,2175.9139631761554,2209.821878767198,2193.7017205719885,2173.192449135089
4,468,2673.0000000000014,2176.1163651133184,2235.3843867685114,2672.9999999999955,2176.042710077915,2673.0000000000023,2175.9698460431546,2210.419843632483,2194.0851414244344,2173.203964797468
4,475.2,2673.0000000000014,2176.184981988342,2236.2545651461733,2672.9999999999955,2176.1128924874347,2673.0000000000023,2176.0402522071936,2211.0173287451667,2194.468750551488,2173.2155707013494
4,482.40000000000003,2673.0000000000014,2176.2270529319903,2237.122832742784,2672.9999999999955,2176.174393512827,2673.0000000000023,2176.1198740403474,2211.6143261264788,2194.852545668678,2173.227195792175
4,489.6,2673.0000000000014,2176.2525614666174,2237.989198110733,2672.9999999999955,2176.220858768718,2673.0000000000023,2176.1870926916577,2212.210844193187,2195.236526184766,2173.238840749182
